learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,119.1875,-3.083389148943954E-11,1000.0,95.7,88.37058352625542,32.812499999999886,83.26848249027236,1000.0,-1.0
2000.0,271.53125,-7.024532856626643E-11,2000.0,77.8,54.83527080527493,17.777777777777793,54.69387755102041,2000.0,-1.0
3000.0,390.171875,-1.0093774310209685E-10,3000.0,92.7,74.2613355898738,41.60000000000004,61.57894736842107,3000.0,-1.0
4000.0,539.375,-1.3953669824533992E-10,4000.0,91.9,76.66513021433511,-6.578947368421062,68.23529411764707,4000.0,-1.0
5000.0,694.015625,-1.7954233852732513E-10,5000.0,92.2,73.23266986959507,-39.285714285714086,61.3861386138614,5000.0,-1.0
6000.0,837.46875,-2.1665376455833515E-10,6000.0,94.6,75.27472527472524,18.181818181818045,63.51351351351349,6000.0,-1.0
7000.0,1007.96875,-2.607622364949849E-10,7000.0,92.0,79.14059240717565,13.043478260869582,72.60273972602741,7000.0,-1.0
8000.0,1117.15625,-2.890091208327148E-10,8000.0,98.4,84.8714069591528,-60.0,73.33333333333333,8000.0,-1.0
9000.0,1192.265625,-3.0843996986125906E-10,9000.0,99.8,90.80882352941175,66.66666666666666,83.33333333333334,9000.0,-1.0
9324.0,1235.484375,-3.1962069139505427E-10,9324.0,97.8,69.99127018769096,4.3478260869565215,54.166666666666664,9324.0,-1.0
