learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
100.0,8.84375,-2.287884449793233E-12,100.0,100.0,?,?,?,100.0,-1.0,10.0
200.0,13.21875,-3.4197000786662104E-12,200.0,98.5,65.9863945578232,25.0,50.0,200.0,-1.0,10.0
300.0,18.09375,-4.6808660651246705E-12,300.0,99.0,66.21621621621627,24.99999999999979,50.0,300.0,-1.0,10.0
400.0,22.8125,-5.901610064837668E-12,400.0,99.25,66.32996632996662,25.000000000000554,50.00000000000037,400.0,-1.0,10.0
500.0,27.453125,-7.102143071177933E-12,500.0,99.0,54.145267791636165,16.666666666666664,37.5,500.0,-1.0,10.0
600.0,45.6875,-1.181938892437352E-11,600.0,98.83333333333333,52.808988764044706,12.49999999999948,29.999999999999932,600.0,-1.0,10.0
700.0,55.4375,-1.4341720897290441E-11,700.0,98.57142857142858,71.52619589977235,16.66666666666688,54.545454545454774,700.0,-1.0,10.0
800.0,63.625,-1.645983300275273E-11,800.0,95.25,79.09446003190847,-192.30769230769246,68.85245901639344,800.0,-1.0,10.0
900.0,68.859375,-1.7813969558725754E-11,900.0,93.77777777777779,80.24319683891152,-100.0,72.1393034825871,900.0,-1.0,10.0
1000.0,74.359375,-1.9236823492166068E-11,1000.0,93.7,82.26211525683333,1.5625000000000027,75.48638132295721,1000.0,-1.0,10.0
1100.0,83.578125,-2.1621720710148414E-11,1100.0,91.0,78.20031488434056,6.250000000000007,72.30769230769232,1100.0,-1.0,10.0
1200.0,91.46875,-2.366303104079432E-11,1200.0,90.10000000000001,77.34989155402624,12.389380530973463,71.95467422096317,1200.0,-1.0,10.0
1300.0,105.6875,-2.7341431834631495E-11,1300.0,89.7,78.24948474507552,14.876033057851254,75.06053268765133,1300.0,-1.0,10.0
1400.0,113.21875,-2.928977159576283E-11,1400.0,89.1,77.97552656676851,22.695035460992926,76.90677966101696,1400.0,-1.0,10.0
1500.0,118.109375,-3.0554979780895837E-11,1500.0,88.5,77.07427933495474,33.52601156069366,77.5390625,1500.0,-1.0,10.0
1600.0,125.21875,-3.239418017781443E-11,1600.0,87.5,74.68528749412698,41.86046511627906,77.31397459165154,1600.0,-1.0,10.0
1700.0,134.078125,-3.468610682628221E-11,1700.0,87.0,72.66805989479306,42.98245614035087,77.58620689655172,1700.0,-1.0,10.0
1800.0,143.765625,-3.719227000450094E-11,1800.0,88.6,76.64623553705465,57.93357933579336,78.61163227016887,1800.0,-1.0,10.0
