learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
100.0,8.515625,-2.2029982776277594E-12,100.0,100.0,?,?,?,100.0,-1.0,10.0
200.0,12.03125,-3.1124929794006876E-12,200.0,98.5,65.9863945578232,25.0,50.0,200.0,-1.0,10.0
300.0,15.890625,-4.110916052013635E-12,300.0,99.0,66.21621621621627,24.99999999999979,50.0,300.0,-1.0,10.0
400.0,19.65625,-5.0850859325793055E-12,400.0,99.25,66.32996632996662,25.000000000000554,50.00000000000037,400.0,-1.0,10.0
500.0,23.40625,-6.055213614470429E-12,500.0,99.0,54.145267791636165,16.666666666666664,37.5,500.0,-1.0,10.0
600.0,43.8125,-1.1334325083427958E-11,600.0,99.0,56.73076923076955,24.99999999999979,40.000000000000135,600.0,-1.0,10.0
700.0,49.8125,-1.2886529374453756E-11,700.0,98.42857142857143,65.95330739299624,8.33333333333344,50.00000000000018,700.0,-1.0,10.0
800.0,54.65625,-1.4139610963563125E-11,800.0,95.125,78.29535019617666,-200.0,68.03278688524593,800.0,-1.0,10.0
900.0,58.03125,-1.5012725877265136E-11,900.0,94.11111111111111,81.33802816901408,-89.28571428571439,73.63184079601992,900.0,-1.0,10.0
1000.0,64.859375,-1.6779166698041892E-11,1000.0,93.2,80.61562494655044,-6.250000000000011,73.54085603112843,1000.0,-1.0,10.0
1100.0,77.203125,-1.9972503650933505E-11,1100.0,88.7,71.84151507600299,-17.708333333333353,65.23076923076923,1100.0,-1.0,10.0
1200.0,85.46875,-2.211082674976852E-11,1200.0,88.2,72.27560864437123,-4.424778761061951,66.57223796033995,1200.0,-1.0,10.0
1300.0,91.578125,-2.3691326431516144E-11,1300.0,87.8,73.84320502210464,-0.8264462809917362,70.46004842615012,1300.0,-1.0,10.0
1400.0,100.9375,-2.6112603437569407E-11,1400.0,87.1,73.81582579608008,8.510638297872347,72.66949152542372,1400.0,-1.0,10.0
1500.0,107.5,-2.7810326880878874E-11,1500.0,86.3,72.84052431665174,20.80924855491331,73.2421875,1500.0,-1.0,10.0
1600.0,116.828125,-3.022351948958304E-11,1600.0,85.5,71.18396158921445,32.5581395348837,73.6842105263158,1600.0,-1.0,10.0
1700.0,121.71875,-3.1488727674716047E-11,1700.0,85.2,69.8469938675305,35.0877192982456,74.48275862068965,1700.0,-1.0,10.0
1800.0,128.765625,-3.331175927693645E-11,1800.0,87.1,74.04614555082529,52.398523985239855,75.79737335834898,1800.0,-1.0,10.0
1900.0,134.703125,-3.4847794773264063E-11,1900.0,87.9,75.63019117208711,55.839416058394164,75.1028806584362,1900.0,-1.0,10.0
2000.0,141.078125,-3.649701183247897E-11,2000.0,88.4,76.64275905395121,57.03703703703704,76.32653061224491,2000.0,-1.0,10.0
2100.0,148.421875,-3.8396845209515756E-11,2100.0,92.2,84.08429609738779,71.63636363636365,82.58928571428572,2100.0,-1.0,10.0
2200.0,151.546875,-3.920528494442502E-11,2200.0,92.4,84.00134725496801,72.95373665480429,82.76643990929706,2200.0,-1.0,10.0
2300.0,155.625,-4.0260298798481616E-11,2300.0,91.8,82.76615777792725,70.92198581560285,80.5225653206651,2300.0,-1.0,10.0
2400.0,163.046875,-4.2180343168891134E-11,2400.0,91.3,81.76635788238254,69.5804195804196,78.72860635696823,2400.0,-1.0,10.0
2500.0,169.0,-4.3720420863893294E-11,2500.0,91.7,82.63917939793511,70.35714285714288,80.0959232613909,2500.0,-1.0,10.0
2600.0,178.171875,-4.6093191485852E-11,2600.0,92.10000000000001,82.81024248437691,66.52542372881356,78.98936170212767,2600.0,-1.0,10.0
2700.0,181.59375,-4.6978432995577656E-11,2700.0,92.4,82.52833398468931,65.29680365296805,77.3134328358209,2700.0,-1.0,10.0
2800.0,187.8125,-4.85872280680471E-11,2800.0,93.10000000000001,82.56677682442472,60.57142857142861,75.53191489361704,2800.0,-1.0,10.0
2900.0,191.15625,-4.945225858440002E-11,2900.0,93.2,81.62162162162163,56.687898089172016,72.80000000000003,2900.0,-1.0,10.0
3000.0,195.421875,-5.055577882255117E-11,3000.0,93.7,79.73624959794147,49.600000000000044,66.84210526315792,3000.0,-1.0,10.0
3100.0,201.65625,-5.216861609369516E-11,3100.0,94.19999999999999,79.45244303366964,34.09090909090901,64.63414634146339,3100.0,-1.0,10.0
3200.0,207.9375,-5.37935799608628E-11,3200.0,94.19999999999999,77.2636398560553,10.769230769230617,59.440559440559404,3200.0,-1.0,10.0
3300.0,212.5,-5.497390197383033E-11,3300.0,94.19999999999999,75.62205783456622,12.121212121211974,57.35294117647055,3300.0,-1.0,10.0
3400.0,215.578125,-5.577021511271596E-11,3400.0,95.19999999999999,73.57846645015685,-4.3478260869565215,49.47368421052626,3400.0,-1.0,10.0
3500.0,221.5625,-5.7318377205067214E-11,3500.0,95.19999999999999,72.86909337553695,-77.77777777777779,46.6666666666666,3500.0,-1.0,10.0
3600.0,230.8125,-5.971135882039865E-11,3600.0,95.39999999999999,80.66918247451272,-35.294117647058826,65.41353383458643,3600.0,-1.0,10.0
3700.0,234.515625,-6.066935990626613E-11,3700.0,95.7,85.46531279998918,-13.157894736842104,75.97765363128491,3700.0,-1.0,10.0
3800.0,242.046875,-6.261769966739746E-11,3800.0,95.7,86.73560041458958,27.11864406779661,78.81773399014776,3800.0,-1.0,10.0
3900.0,250.21875,-6.47317695741852E-11,3900.0,96.0,89.4177094632133,47.368421052631504,84.31372549019606,3900.0,-1.0,10.0
4000.0,255.765625,-6.616675010364916E-11,4000.0,96.3,90.17316477212364,51.315789473684134,85.49019607843135,4000.0,-1.0,10.0
4100.0,264.578125,-6.844655015609329E-11,4100.0,96.1,89.90317402785686,49.99999999999993,85.28301886792453,4100.0,-1.0,10.0
4200.0,269.515625,-6.972388493724994E-11,4200.0,96.5,91.23334335236949,58.33333333333328,87.49999999999999,4200.0,-1.0,10.0
4300.0,276.453125,-7.151862114874852E-11,4300.0,97.5,93.28844646327974,66.66666666666661,89.9598393574297,4300.0,-1.0,10.0
4400.0,286.265625,-7.405712191636362E-11,4400.0,96.89999999999999,92.26955801821391,61.72839506172835,88.9679715302491,4400.0,-1.0,10.0
4500.0,293.953125,-7.604588366424042E-11,4500.0,97.2,92.82981567504724,62.666666666666615,89.59107806691449,4500.0,-1.0,10.0
4600.0,301.65625,-7.803868761079177E-11,4600.0,97.2,92.07104345068188,59.4202898550724,87.9310344827586,4600.0,-1.0,10.0
4700.0,307.625,-7.958280750446847E-11,4700.0,97.0,91.42504344644652,55.88235294117639,86.84210526315789,4700.0,-1.0,10.0
4800.0,313.59375,-8.112692739814518E-11,4800.0,96.1,88.90469416785206,33.89830508474576,83.04347826086955,4800.0,-1.0,10.0
4900.0,318.640625,-8.243255757002364E-11,4900.0,95.8,86.46383911305917,12.5,78.3505154639175,4900.0,-1.0,10.0
5000.0,323.5625,-8.370585015250575E-11,5000.0,95.8,86.87532811679705,25.0,79.2079207920792,5000.0,-1.0,10.0
5100.0,333.328125,-8.623222432409721E-11,5100.0,95.7,86.63849356783292,23.214285714285715,79.02439024390242,5100.0,-1.0,10.0
5200.0,338.796875,-8.764699386018843E-11,5200.0,95.6,85.40959252971136,12.0,76.59574468085104,5200.0,-1.0,10.0
5300.0,343.828125,-8.894858183339235E-11,5300.0,95.5,85.29219505817753,18.181818181818183,76.56249999999997,5300.0,-1.0,10.0
5400.0,348.34375,-9.011677725033625E-11,5400.0,95.3,83.61273046776937,7.8431372549019605,73.29545454545453,5400.0,-1.0,10.0
5500.0,352.296875,-9.113945351499648E-11,5500.0,94.8,79.61567711232544,3.7037037037037033,66.87898089171972,5500.0,-1.0,10.0
5600.0,361.640625,-9.35566883223752E-11,5600.0,94.89999999999999,79.49930056437219,7.2727272727272725,66.66666666666664,5600.0,-1.0,10.0
5700.0,369.609375,-9.561820964639384E-11,5700.0,95.19999999999999,78.21904381602349,22.58064516129032,64.17910447761192,5700.0,-1.0,10.0
5800.0,376.015625,-9.727551110295784E-11,5800.0,95.8,79.2293084348789,32.25806451612903,66.12903225806448,5800.0,-1.0,10.0
5900.0,382.421875,-9.893281255952184E-11,5900.0,95.1,77.09167071847999,23.437499999999865,63.97058823529409,5900.0,-1.0,10.0
6000.0,387.390625,-1.0021823173802757E-10,6000.0,94.69999999999999,76.70862044719448,19.696969696969564,64.18918918918916,6000.0,-1.0,10.0
6100.0,396.65625,-1.0261525555203356E-10,6100.0,93.89999999999999,76.84130599848137,21.794871794871685,65.14285714285712,6100.0,-1.0,10.0
6200.0,403.140625,-1.042927680019703E-10,6200.0,92.9,76.67910447761196,22.826086956521767,66.02870813397132,6200.0,-1.0,10.0
6300.0,409.59375,-1.0596219605455794E-10,6300.0,92.5,77.58785560602439,21.875000000000025,68.08510638297875,6300.0,-1.0,10.0
6400.0,418.359375,-1.0822986951097845E-10,6400.0,93.30000000000001,80.16695281510864,31.632653061224524,71.48936170212768,6400.0,-1.0,10.0
6500.0,426.28125,-1.1027926423897344E-10,6500.0,93.8,82.98601010960301,37.373737373737306,75.87548638132293,6500.0,-1.0,10.0
6600.0,437.140625,-1.1308859231778315E-10,6600.0,93.0,82.27848101265825,33.33333333333337,75.86206896551727,6600.0,-1.0,10.0
6700.0,444.09375,-1.1488737072795628E-10,6700.0,92.9,82.40832507433103,31.730769230769262,76.33333333333336,6700.0,-1.0,10.0
6800.0,451.46875,-1.1679528850234215E-10,6800.0,92.60000000000001,82.01298953836582,26.00000000000003,75.65789473684212,6800.0,-1.0,10.0
6900.0,454.921875,-1.176886144094169E-10,6900.0,93.60000000000001,83.6964274796715,31.914893617021313,76.97841726618707,6900.0,-1.0,10.0
7000.0,463.125,-1.1981076871355373E-10,7000.0,93.7,84.46623007732367,31.521739130434824,78.4246575342466,7000.0,-1.0,10.0
7100.0,472.75,-1.2230076309707429E-10,7100.0,95.0,86.9441470611275,38.27160493827152,81.1320754716981,7100.0,-1.0,10.0
7200.0,480.515625,-1.243097358383238E-10,7200.0,96.3,89.75523313766752,42.1874999999999,84.58333333333331,7200.0,-1.0,10.0
7300.0,486.984375,-1.25983206089586E-10,7300.0,96.5,90.36449730205923,39.6551724137931,85.41666666666666,7300.0,-1.0,10.0
7400.0,490.515625,-1.2689674299003347E-10,7400.0,96.7,90.24049779376101,34.0,84.8623853211009,7400.0,-1.0,10.0
7500.0,494.9375,-1.280406852149301E-10,7500.0,96.89999999999999,89.65480417545452,31.11111111111111,83.15217391304347,7500.0,-1.0,10.0
7600.0,501.640625,-1.2977478844631048E-10,7600.0,97.89999999999999,91.83222614621093,43.24324324324324,85.90604026845637,7600.0,-1.0,10.0
7700.0,506.015625,-1.3090660407518345E-10,7700.0,98.0,90.5317376155128,28.57142857142857,82.75862068965516,7700.0,-1.0,10.0
7800.0,509.28125,-1.3175142359816363E-10,7800.0,98.8,93.15005936615215,40.0,87.49999999999999,7800.0,-1.0,10.0
7900.0,513.546875,-1.3285494383631478E-10,7900.0,99.0,94.12897468413884,44.44444444444444,89.36170212765956,7900.0,-1.0,10.0
8000.0,520.328125,-1.346092580610679E-10,8000.0,99.4,94.84181568088033,40.0,90.0,8000.0,-1.0,10.0
8100.0,530.375,-1.372083918088012E-10,8100.0,99.4,93.5626461815763,14.285714285714285,87.2340425531915,8100.0,-1.0,10.0
8200.0,533.78125,-1.380895911198523E-10,8200.0,99.4,91.35645960585457,0.0,82.35294117647058,8200.0,-1.0,10.0
8300.0,539.53125,-1.3957712023208536E-10,8300.0,99.7,57.02005730659082,-50.0,-50.0,8300.0,-1.0,10.0
8400.0,542.953125,-1.40462361741811E-10,8400.0,99.6,49.849548645937666,-100.0,-100.0,8400.0,-1.0,10.0
8500.0,546.25,-1.4131526566214028E-10,8500.0,99.5,0.0,-Infinity,-Infinity,8500.0,-1.0,10.0
8600.0,553.953125,-1.4330806960869162E-10,8600.0,99.5,0.0,-Infinity,-Infinity,8600.0,-1.0,10.0
8700.0,558.203125,-1.4440754764816821E-10,8700.0,99.6,0.0,-Infinity,-Infinity,8700.0,-1.0,10.0
8800.0,564.953125,-1.4615377747557223E-10,8800.0,99.5,70.35807446051692,-25.0,16.666666666666664,8800.0,-1.0,10.0
8900.0,569.3125,-1.4728155090577067E-10,8900.0,99.4,79.70779220779221,0.0,50.0,8900.0,-1.0,10.0
9000.0,573.609375,-1.4839315554127092E-10,9000.0,99.5,82.51259093452717,16.666666666666664,58.333333333333336,9000.0,-1.0,10.0
9100.0,579.609375,-1.4994535983229672E-10,9100.0,99.4,79.70779220779221,0.0,50.0,9100.0,-1.0,10.0
9200.0,583.375,-1.509195297128624E-10,9200.0,99.3,77.08224201152434,-16.666666666666664,41.66666666666667,9200.0,-1.0,10.0
9300.0,590.15625,-1.526738439376155E-10,9300.0,97.8,74.40610530724304,-15.789473684210526,48.837209302325576,9300.0,-1.0,10.0
9324.0,591.390625,-1.5299317763290468E-10,9324.0,97.6,74.24892703862663,-4.3478260869565215,50.0,9324.0,-1.0,10.0
