learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,1.9375,-5.012326356437471E-12,1000.0,0.0,61.480000000000004,2.737720057111598,22.96,5.475440114223194,61.480000000000004,2.737720057111598,0.0,0.0
2000.0,3.5625,-9.216212977965672E-12,2000.0,0.0,70.07000000000001,3.340675247777182,40.14,6.681350495554353,70.07000000000001,3.340675247777182,40.14,6.681350495554353
3000.0,5.25,-1.3581787546475732E-11,3000.0,0.0,74.54,3.016325947609482,49.07999999999999,6.032651895218961,74.54,3.016325947609482,49.07999999999999,6.032651895218961
4000.0,6.75,-1.7462298274040218E-11,4000.0,0.0,76.50000000000001,3.1534813214040858,53.0,6.306962642808167,76.50000000000001,3.1534813214040858,53.0,6.306962642808167
5000.0,8.203125,-2.1221543041368328E-11,5000.0,0.0,77.40999999999998,3.146232314654743,54.82,6.292464629309496,77.40999999999998,3.146232314654743,54.82,6.292464629309496
6000.0,9.546875,-2.469783390147818E-11,6000.0,0.0,79.48,3.471727075806633,58.96000000000001,6.943454151613268,79.48,3.471727075806633,58.96000000000001,6.943454151613268
7000.0,10.8125,-2.7972014827860717E-11,7000.0,0.0,77.68,3.7852931781361985,55.36000000000001,7.570586356272397,77.68,3.7852931781361985,55.36000000000001,7.570586356272397
8000.0,12.15625,-3.144830568797059E-11,8000.0,0.0,79.23000000000002,2.818214564814628,58.46,5.636429129629264,79.23000000000002,2.818214564814628,58.46,5.636429129629264
9000.0,13.453125,-3.4803330587844066E-11,9000.0,0.0,79.23,2.9405403887343162,58.46,5.881080777468634,79.23,2.9405403887343162,58.46,5.881080777468634
10000.0,14.78125,-3.823919946120848E-11,10000.0,0.0,82.69,3.4053715737868515,65.38,6.810743147573704,82.69,3.4053715737868515,65.38,6.810743147573704
11000.0,16.0625,-4.155380237433649E-11,11000.0,0.0,81.64,3.393523242884894,63.28,6.787046485769784,81.64,3.393523242884894,63.28,6.787046485769784
12000.0,17.34375,-4.4868405287464494E-11,12000.0,0.0,83.28,2.8824372403305554,66.55999999999999,5.764874480661115,83.28,2.8824372403305554,66.55999999999999,5.764874480661115
13000.0,18.625,-4.81830082005925E-11,13000.0,0.0,82.72,2.9738863461806986,65.44,5.947772692361398,82.72,2.9738863461806986,65.44,5.947772692361398
14000.0,19.90625,-5.1497611113720507E-11,14000.0,0.0,83.83999999999999,3.042367499169024,67.67999999999999,6.084734998338052,83.83999999999999,3.042367499169024,67.67999999999999,6.084734998338052
15000.0,21.15625,-5.4731370053357573E-11,15000.0,0.0,84.17,2.448605045054567,68.33999999999997,4.897210090109126,84.17,2.448605045054567,68.33999999999997,4.897210090109126
16000.0,22.375,-5.78842850195037E-11,16000.0,0.0,85.03,2.182786190985175,70.05999999999999,4.365572381970349,85.03,2.182786190985175,70.05999999999999,4.365572381970349
17000.0,23.578125,-6.099677799890436E-11,17000.0,0.0,83.83,2.3285904176847727,67.66,4.657180835369548,83.83,2.3285904176847727,67.66,4.657180835369548
18000.0,24.78125,-6.410927097830502E-11,18000.0,0.0,85.45,2.212715777299725,70.89999999999998,4.425431554599443,85.45,2.212715777299725,70.89999999999998,4.425431554599443
19000.0,25.984375,-6.722176395770567E-11,19000.0,0.0,84.07,2.5794271543202076,68.13999999999999,5.158854308640417,84.07,2.5794271543202076,68.13999999999999,5.158854308640417
20000.0,27.1875,-7.033425693710633E-11,20000.0,0.0,86.12,2.476467017524947,72.24000000000001,4.952934035049891,86.12,2.476467017524947,72.24000000000001,4.952934035049891
21000.0,28.390625,-7.344674991650699E-11,21000.0,0.0,84.63000000000001,3.3353493903271283,69.25999999999999,6.670698780654259,84.63000000000001,3.3353493903271283,69.25999999999999,6.670698780654259
22000.0,29.625,-7.664008686939858E-11,22000.0,0.0,85.43999999999998,2.3688722117403365,70.88,4.737744423480681,85.43999999999998,2.3688722117403365,70.88,4.737744423480681
23000.0,30.796875,-7.96717358753083E-11,23000.0,0.0,86.65,1.690003287307786,73.3,3.3800065746155665,86.65,1.690003287307786,73.3,3.3800065746155665
24000.0,31.96875,-8.270338488121802E-11,24000.0,0.0,87.15,2.075920144043224,74.3,4.151840288086456,87.15,2.075920144043224,74.3,4.151840288086456
25000.0,33.09375,-8.561376792689133E-11,25000.0,0.0,86.14999999999999,1.6277114131333128,72.30188102460156,3.2498326381304032,86.13613613613613,1.6293407538872002,72.3,3.2554228262666265
26000.0,37.53125,-9.709361216260294E-11,26000.0,0.0,52.54,1.6208365466977577,5.0800000000000045,3.2416730933955176,52.54,1.6208365466977577,-47359.999999999956,1620.836546697757
27000.0,39.296875,-1.0166129666484025E-10,27000.0,0.0,60.59,1.9046434486975956,21.179999999999996,3.809286897395192,60.59,1.9046434486975956,21.179999999999996,3.809286897395192
28000.0,40.953125,-1.059460272598594E-10,28000.0,0.0,65.7,2.3089199014065196,31.400000000000002,4.617839802813047,65.7,2.3089199014065196,31.400000000000002,4.617839802813047
29000.0,42.609375,-1.1023075785487856E-10,29000.0,0.0,65.57000000000001,2.645772309007547,31.14,5.291544618015089,65.57000000000001,2.645772309007547,31.14,5.291544618015089
