learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.109375,-2.8295390721824433E-14,1000.0,79.60000000000001,59.20000000000001,79.60000000000001,-Infinity,1000.0,-1.0,9.0
2000.0,0.15625,-4.042198674546348E-14,2000.0,86.9,73.8,86.9,73.8,2000.0,-1.0,9.0
3000.0,0.1875,-4.8506384094556176E-14,3000.0,88.9,77.8,88.9,77.8,3000.0,-1.0,9.0
4000.0,0.21875,-5.659078144364887E-14,4000.0,91.2,82.4,91.2,82.4,4000.0,-1.0,9.0
5000.0,0.265625,-6.871737746728791E-14,5000.0,93.8,87.6,93.8,87.6,5000.0,-1.0,9.0
6000.0,0.296875,-7.680177481638061E-14,6000.0,92.80000000000001,85.60000000000001,92.80000000000001,85.60000000000001,6000.0,-1.0,9.0
7000.0,0.328125,-8.48861721654733E-14,7000.0,94.39999999999999,88.79999999999998,94.39999999999999,88.79999999999998,7000.0,-1.0,9.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,94.1,88.19999999999999,94.1,88.19999999999999,8000.0,-1.0,9.0
9000.0,0.375,-9.701276818911235E-14,9000.0,93.0,86.00000000000001,93.0,86.00000000000001,9000.0,-1.0,9.0
10000.0,0.40625,-1.0509716553820505E-13,10000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,10000.0,-1.0,9.0
11000.0,0.421875,-1.091393642127514E-13,11000.0,94.5,88.99999999999999,94.5,88.99999999999999,11000.0,-1.0,9.0
12000.0,0.46875,-1.2126596023639043E-13,12000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,12000.0,-1.0,9.0
13000.0,0.5,-1.2935035758548313E-13,13000.0,93.2,86.4,93.2,86.4,13000.0,-1.0,9.0
14000.0,0.53125,-1.3743475493457582E-13,14000.0,94.69999999999999,89.39999999999999,94.69999999999999,89.39999999999999,14000.0,-1.0,9.0
15000.0,0.5625,-1.4551915228366852E-13,15000.0,93.7,87.4,93.7,87.4,15000.0,-1.0,9.0
16000.0,0.59375,-1.5360354963276122E-13,16000.0,95.3,90.6,95.3,90.6,16000.0,-1.0,9.0
17000.0,0.625,-1.6168794698185392E-13,17000.0,94.5,88.99999999999999,94.5,88.99999999999999,17000.0,-1.0,9.0
18000.0,0.65625,-1.697723443309466E-13,18000.0,94.8,89.6,94.8,89.6,18000.0,-1.0,9.0
19000.0,0.671875,-1.7381454300549296E-13,19000.0,93.60000000000001,87.20000000000002,93.60000000000001,87.20000000000002,19000.0,-1.0,9.0
20000.0,0.6875,-1.778567416800393E-13,20000.0,94.8,89.6,94.8,89.6,20000.0,-1.0,9.0
21000.0,0.71875,-1.85941139029132E-13,21000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,21000.0,-1.0,9.0
22000.0,0.734375,-1.8998333770367835E-13,22000.0,94.39999999999999,88.79999999999998,94.39999999999999,88.79999999999998,22000.0,-1.0,9.0
