learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.015625,-4.042198674546348E-15,1000.0,82.3,64.6,82.3,-Infinity,1000.0,-1.0,3.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,91.0,82.0,91.0,82.0,2000.0,-1.0,4.0
3000.0,0.03125,-8.084397349092695E-15,3000.0,91.5,83.0,91.5,83.0,3000.0,-1.0,4.0
4000.0,0.046875,-1.2126596023639042E-14,4000.0,91.60000000000001,83.2,91.60000000000001,83.2,4000.0,-1.0,6.0
5000.0,0.0625,-1.616879469818539E-14,5000.0,93.30000000000001,86.60000000000001,93.30000000000001,86.60000000000001,5000.0,-1.0,7.0
6000.0,0.0625,-1.616879469818539E-14,6000.0,93.7,87.4,93.7,87.4,6000.0,-1.0,7.0
7000.0,0.078125,-2.021099337273174E-14,7000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,7000.0,-1.0,7.0
8000.0,0.09375,-2.4253192047278088E-14,8000.0,94.39999999999999,88.79999999999998,94.39999999999999,88.79999999999998,8000.0,-1.0,7.0
9000.0,0.109375,-2.8295390721824436E-14,9000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,9000.0,-1.0,7.0
10000.0,0.125,-3.233758939637078E-14,10000.0,94.5,88.99999999999999,94.5,88.99999999999999,10000.0,-1.0,7.0
11000.0,0.125,-3.233758939637078E-14,11000.0,92.10000000000001,84.2,92.10000000000001,84.2,11000.0,-1.0,9.0
12000.0,0.15625,-4.042198674546348E-14,12000.0,93.60000000000001,87.20000000000002,93.60000000000001,87.20000000000002,12000.0,-1.0,10.0
13000.0,0.171875,-4.446418542000983E-14,13000.0,93.5,87.00000000000001,93.5,87.00000000000001,13000.0,-1.0,11.0
14000.0,0.1875,-4.8506384094556176E-14,14000.0,95.19999999999999,90.39999999999999,95.19999999999999,90.39999999999999,14000.0,-1.0,11.0
15000.0,0.203125,-5.2548582769102524E-14,15000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,15000.0,-1.0,11.0
16000.0,0.21875,-5.659078144364887E-14,16000.0,94.89999999999999,89.8,94.89999999999999,89.8,16000.0,-1.0,11.0
17000.0,0.25,-6.467517879274156E-14,17000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,17000.0,-1.0,11.0
18000.0,0.265625,-6.871737746728791E-14,18000.0,94.6,89.19999999999999,94.6,89.19999999999999,18000.0,-1.0,11.0
19000.0,0.28125,-7.275957614183426E-14,19000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,19000.0,-1.0,11.0
20000.0,0.3125,-8.084397349092696E-14,20000.0,95.5,90.99999999999999,95.5,90.99999999999999,20000.0,-1.0,11.0
21000.0,0.328125,-8.48861721654733E-14,21000.0,93.8,87.6,93.8,87.6,21000.0,-1.0,12.0
22000.0,0.34375,-8.892837084001965E-14,22000.0,93.60000000000001,87.20000000000002,93.60000000000001,87.20000000000002,22000.0,-1.0,13.0
23000.0,0.375,-9.701276818911235E-14,23000.0,94.0,87.99999999999999,94.0,87.99999999999999,23000.0,-1.0,14.0
24000.0,0.390625,-1.010549668636587E-13,24000.0,95.0,89.99999999999999,95.0,89.99999999999999,24000.0,-1.0,15.0
25000.0,0.421875,-1.091393642127514E-13,25000.0,93.2,86.40168619091234,93.1931931931932,86.4,25000.0,-1.0,16.0
