learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.015507696,-4.011852045853933E-15,1000.0,70.8,41.599999999999994,70.8,-Infinity,1000.0,-1.0,750.0,353.5533905932738,-18.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.044821674,-1.1595399118959903E-14,2000.0,92.7,85.4,92.7,85.4,2000.0,-1.0,1250.0,645.4972243679028,-36.75,28.929512036442418,11.0,9.521904571390467,8.25,9.215023964519391,8.25,9.215023964519391,2.5,0.5773502691896257,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.078605237,-2.03352310280833E-14,3000.0,92.10000000000001,84.2,92.10000000000001,84.2,3000.0,-1.0,1750.0,935.4143466934853,-41.833333333333336,34.60298638364421,12.666666666666666,11.201190412927845,9.833333333333332,10.225784403490358,9.833333333333332,10.225784403490358,2.6666666666666665,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.141735577,-3.6667095135069555E-14,4000.0,92.5,85.00000000000001,92.5,85.00000000000001,4000.0,-1.0,2250.0,1224.744871391589,-69.0,46.94677837722202,21.5,15.222164291397124,18.0,13.959124000349838,18.0,13.959124000349838,3.125,0.8345229603962802,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.193540421,-5.0069045327189896E-14,5000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,5000.0,-1.0,2750.0,1513.8251770487457,-66.30000000000001,45.37755196374329,20.6,14.690889088895275,17.1,13.4035650315711,17.1,13.4035650315711,3.2,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.260987836,-6.751773982412284E-14,6000.0,93.30000000000001,86.60000000000001,93.30000000000001,86.60000000000001,6000.0,-1.0,3350.0000000000005,1972.7307638567072,-73.80000000000001,59.71004010121655,23.000000000000004,19.41362637141472,19.199999999999996,17.961687621774914,19.199999999999996,17.961687621774914,3.3000000000000003,0.9486832980505139,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.319128523,-8.255877713155415E-14,7000.0,94.69999999999999,89.39999999999999,94.69999999999999,89.39999999999999,7000.0,-1.0,3899.999999999999,2378.141197564929,-75.2,60.190069317491606,23.400000000000002,19.545957240423004,19.4,18.01974225984132,19.4,18.01974225984132,3.4000000000000004,1.1737877907772674,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.379461086,-9.816685432775152E-14,8000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,8000.0,-1.0,4000.0,2728.450923957483,-75.9,60.97258035835088,23.6,19.777652933438677,19.5,18.149074050454722,19.5,18.149074050454722,3.5,1.1785113019775793,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.437370361,-1.1314802518528368E-13,9000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,9000.0,-1.0,4700.0,3093.0028559098787,-83.39999999999999,57.57738753673664,26.0,18.696404883173543,21.599999999999998,17.218852716975334,21.599999999999998,17.218852716975334,3.6999999999999997,1.0593499054713802,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.48502703,-1.254768395382497E-13,10000.0,95.3,90.6,95.3,90.6,10000.0,-1.0,5450.0,3419.3079221776247,-83.4,57.577387536736644,26.0,18.696404883173546,21.599999999999998,17.218852716975334,21.599999999999998,17.218852716975334,3.6999999999999997,1.0593499054713802,0.0,0.0,0.0,0.0,1.0,0.0
