learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,0.0,-100.0,0.0,-Infinity,1000.0,-1.0
2000.0,0.0,0.0,2000.0,0.0,-100.0,0.0,-100.0,2000.0,-1.0
3000.0,0.0,0.0,3000.0,0.0,-100.0,0.0,-100.0,3000.0,-1.0
4000.0,0.0,0.0,4000.0,0.0,-100.0,0.0,-100.0,4000.0,-1.0
5000.0,0.0,0.0,5000.0,0.0,-100.0,0.0,-100.0,5000.0,-1.0
6000.0,0.015625,-4.042198674546348E-15,6000.0,0.0,-100.0,0.0,-100.0,6000.0,-1.0
7000.0,0.015625,-4.042198674546348E-15,7000.0,0.0,-100.0,0.0,-100.0,7000.0,-1.0
8000.0,0.015625,-4.042198674546348E-15,8000.0,0.0,-100.0,0.0,-100.0,8000.0,-1.0
9000.0,0.015625,-4.042198674546348E-15,9000.0,0.0,-100.0,0.0,-100.0,9000.0,-1.0
10000.0,0.015625,-4.042198674546348E-15,10000.0,0.0,-100.0,0.0,-100.0,10000.0,-1.0
11000.0,0.015625,-4.042198674546348E-15,11000.0,0.0,-100.0,0.0,-100.0,11000.0,-1.0
12000.0,0.015625,-4.042198674546348E-15,12000.0,0.0,-100.0,0.0,-100.0,12000.0,-1.0
13000.0,0.015625,-4.042198674546348E-15,13000.0,0.0,-100.0,0.0,-100.0,13000.0,-1.0
14000.0,0.03125,-8.084397349092695E-15,14000.0,0.0,-100.0,0.0,-100.0,14000.0,-1.0
15000.0,0.03125,-8.084397349092695E-15,15000.0,0.0,-100.0,0.0,-100.0,15000.0,-1.0
16000.0,0.03125,-8.084397349092695E-15,16000.0,0.0,-100.0,0.0,-100.0,16000.0,-1.0
17000.0,0.03125,-8.084397349092695E-15,17000.0,0.0,-100.0,0.0,-100.0,17000.0,-1.0
18000.0,0.03125,-8.084397349092695E-15,18000.0,0.0,-100.0,0.0,-100.0,18000.0,-1.0
19000.0,0.03125,-8.084397349092695E-15,19000.0,0.0,-100.0,0.0,-100.0,19000.0,-1.0
20000.0,0.03125,-8.084397349092695E-15,20000.0,0.0,-100.0,0.0,-100.0,20000.0,-1.0
21000.0,0.03125,-8.084397349092695E-15,21000.0,0.0,-100.0,0.0,-100.0,21000.0,-1.0
22000.0,0.03125,-8.084397349092695E-15,22000.0,0.0,-100.0,0.0,-100.0,22000.0,-1.0
23000.0,0.046875,-1.2126596023639042E-14,23000.0,0.0,-100.0,0.0,-100.0,23000.0,-1.0
24000.0,0.046875,-1.2126596023639042E-14,24000.0,0.0,-100.0,0.0,-100.0,24000.0,-1.0
25000.0,0.046875,-1.2126596023639042E-14,25000.0,0.1,-99.8,0.0,-99.8,25000.0,-1.0
26000.0,0.046875,-1.2126596023639042E-14,26000.0,0.0,-100.0,0.0,-99899.99999999991,26000.0,-1.0
27000.0,0.046875,-1.2126596023639042E-14,27000.0,0.0,-100.0,0.0,-100.0,27000.0,-1.0
28000.0,0.046875,-1.2126596023639042E-14,28000.0,0.0,-100.0,0.0,-100.0,28000.0,-1.0
29000.0,0.046875,-1.2126596023639042E-14,29000.0,0.0,-100.0,0.0,-100.0,29000.0,-1.0
30000.0,0.0625,-1.616879469818539E-14,30000.0,0.0,-100.0,0.0,-100.0,30000.0,-1.0
31000.0,0.0625,-1.616879469818539E-14,31000.0,0.0,-100.0,0.0,-100.0,31000.0,-1.0
32000.0,0.0625,-1.616879469818539E-14,32000.0,0.0,-100.0,0.0,-100.0,32000.0,-1.0
33000.0,0.0625,-1.616879469818539E-14,33000.0,0.0,-100.0,0.0,-100.0,33000.0,-1.0
34000.0,0.0625,-1.616879469818539E-14,34000.0,0.0,-100.0,0.0,-100.0,34000.0,-1.0
35000.0,0.0625,-1.616879469818539E-14,35000.0,0.0,-100.0,0.0,-100.0,35000.0,-1.0
36000.0,0.0625,-1.616879469818539E-14,36000.0,0.0,-100.0,0.0,-100.0,36000.0,-1.0
37000.0,0.0625,-1.616879469818539E-14,37000.0,0.0,-100.0,0.0,-100.0,37000.0,-1.0
38000.0,0.0625,-1.616879469818539E-14,38000.0,0.0,-100.0,0.0,-100.0,38000.0,-1.0
39000.0,0.078125,-2.021099337273174E-14,39000.0,0.0,-100.0,0.0,-100.0,39000.0,-1.0
40000.0,0.078125,-2.021099337273174E-14,40000.0,0.0,-100.0,0.0,-100.0,40000.0,-1.0
41000.0,0.078125,-2.021099337273174E-14,41000.0,0.0,-100.0,0.0,-100.0,41000.0,-1.0
