learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.15625,-4.042198674546348E-14,1000.0,69.6,39.19999999999999,69.6,-Infinity,1000.0,-1.0,9.0
2000.0,0.3125,-8.084397349092696E-14,2000.0,74.6,49.2,74.6,49.2,2000.0,-1.0,9.0
3000.0,0.453125,-1.1722376156184408E-13,3000.0,75.4,50.8,75.4,50.8,3000.0,-1.0,9.0
4000.0,0.609375,-1.5764574830730757E-13,4000.0,71.2,42.39999999999999,71.2,42.39999999999999,4000.0,-1.0,9.0
5000.0,0.734375,-1.8998333770367835E-13,5000.0,76.0,52.0,76.0,52.0,5000.0,-1.0,9.0
6000.0,0.890625,-2.3040532444914184E-13,6000.0,74.5,49.0,74.5,49.0,6000.0,-1.0,9.0
7000.0,1.03125,-2.6678511252005895E-13,7000.0,69.8,39.599999999999994,69.8,39.599999999999994,7000.0,-1.0,9.0
8000.0,1.15625,-2.9912270191642974E-13,8000.0,75.5,51.0,75.5,51.0,8000.0,-1.0,9.0
9000.0,1.296875,-3.3550248998734685E-13,9000.0,71.5,42.99999999999999,71.5,42.99999999999999,9000.0,-1.0,9.0
10000.0,1.453125,-3.7592447673281034E-13,10000.0,72.8,45.599999999999994,72.8,45.599999999999994,10000.0,-1.0,9.0
11000.0,1.609375,-4.163464634782738E-13,11000.0,63.9,27.800000000000004,63.9,27.800000000000004,11000.0,-1.0,9.0
12000.0,1.75,-4.5272625154919093E-13,12000.0,71.0,41.99999999999999,71.0,41.99999999999999,12000.0,-1.0,9.0
13000.0,1.890625,-4.891060396201081E-13,13000.0,76.7,53.400000000000006,76.7,53.400000000000006,13000.0,-1.0,9.0
14000.0,2.03125,-5.254858276910253E-13,14000.0,71.0,41.99999999999999,71.0,41.99999999999999,14000.0,-1.0,9.0
15000.0,2.1875,-5.659078144364887E-13,15000.0,64.0,28.000000000000004,64.0,28.000000000000004,15000.0,-1.0,9.0
16000.0,2.34375,-6.063298011819521E-13,16000.0,76.2,52.400000000000006,76.2,52.400000000000006,16000.0,-1.0,9.0
17000.0,2.46875,-6.386673905783229E-13,17000.0,70.7,41.39999999999999,70.7,41.39999999999999,17000.0,-1.0,9.0
18000.0,2.625,-6.790893773237863E-13,18000.0,71.0,41.99999999999999,71.0,41.99999999999999,18000.0,-1.0,9.0
19000.0,2.78125,-7.195113640692498E-13,19000.0,73.7,47.4,73.7,47.4,19000.0,-1.0,9.0
20000.0,2.9375,-7.599333508147132E-13,20000.0,76.8,53.6,76.8,53.6,20000.0,-1.0,9.0
21000.0,3.078125,-7.963131388856304E-13,21000.0,71.3,42.599999999999994,71.3,42.599999999999994,21000.0,-1.0,9.0
22000.0,3.21875,-8.326929269565475E-13,22000.0,77.10000000000001,54.2,77.10000000000001,54.2,22000.0,-1.0,9.0
23000.0,3.359375,-8.690727150274647E-13,23000.0,68.7,37.40000000000001,68.7,37.40000000000001,23000.0,-1.0,9.0
24000.0,3.5,-9.054525030983819E-13,24000.0,73.3,46.599999999999994,73.3,46.599999999999994,24000.0,-1.0,9.0
25000.0,3.671875,-9.499166885183918E-13,25000.0,72.89999999999999,45.81863838839438,72.87287287287288,45.8,25000.0,-1.0,9.0
26000.0,3.8125,-9.86296476589309E-13,26000.0,53.400000000000006,6.800000000000006,53.400000000000006,-46499.999999999956,26000.0,-1.0,9.0
27000.0,3.984375,-1.0307606620093188E-12,27000.0,53.400000000000006,6.800000000000006,53.400000000000006,6.800000000000006,27000.0,-1.0,9.0
28000.0,4.109375,-1.0630982514056896E-12,28000.0,56.49999999999999,12.99999999999999,56.49999999999999,12.99999999999999,28000.0,-1.0,9.0
29000.0,4.265625,-1.1035202381511532E-12,29000.0,54.900000000000006,9.800000000000008,54.900000000000006,9.800000000000008,29000.0,-1.0,9.0
30000.0,4.4375,-1.147984423571163E-12,30000.0,56.2,12.400000000000011,56.2,12.400000000000011,30000.0,-1.0,9.0
31000.0,4.578125,-1.1843642116420802E-12,31000.0,52.2,4.400000000000004,52.2,4.400000000000004,31000.0,-1.0,9.0
32000.0,4.71875,-1.2207439997129974E-12,32000.0,59.0,17.999999999999993,59.0,17.999999999999993,32000.0,-1.0,9.0
33000.0,4.875,-1.261165986458461E-12,33000.0,56.39999999999999,12.79999999999999,56.39999999999999,12.79999999999999,33000.0,-1.0,9.0
34000.0,5.03125,-1.3015879732039245E-12,34000.0,54.300000000000004,8.600000000000009,54.300000000000004,8.600000000000009,34000.0,-1.0,9.0
35000.0,5.1875,-1.342009959949388E-12,35000.0,55.2,10.40000000000001,55.2,10.40000000000001,35000.0,-1.0,9.0
36000.0,5.359375,-1.386474145369398E-12,36000.0,51.9,3.8000000000000034,51.9,3.8000000000000034,36000.0,-1.0,9.0
37000.0,5.5,-1.422853933440315E-12,37000.0,58.4,16.799999999999994,58.4,16.799999999999994,37000.0,-1.0,9.0
38000.0,5.65625,-1.4632759201857786E-12,38000.0,59.0,17.999999999999993,59.0,17.999999999999993,38000.0,-1.0,9.0
39000.0,5.796875,-1.4996557082566958E-12,39000.0,55.2,10.40000000000001,55.2,10.40000000000001,39000.0,-1.0,9.0
40000.0,5.953125,-1.5400776950021593E-12,40000.0,56.2,12.400000000000011,56.2,12.400000000000011,40000.0,-1.0,9.0
41000.0,6.09375,-1.5764574830730765E-12,41000.0,57.199999999999996,14.399999999999991,57.199999999999996,14.399999999999991,41000.0,-1.0,9.0
42000.0,6.265625,-1.6209216684930864E-12,42000.0,53.800000000000004,7.600000000000007,53.800000000000004,7.600000000000007,42000.0,-1.0,9.0
43000.0,6.421875,-1.66134365523855E-12,43000.0,54.7,9.40000000000001,54.7,9.40000000000001,43000.0,-1.0,9.0
44000.0,6.5625,-1.697723443309467E-12,44000.0,55.7,11.40000000000001,55.7,11.40000000000001,44000.0,-1.0,9.0
45000.0,6.71875,-1.7381454300549306E-12,45000.0,54.400000000000006,8.800000000000008,54.400000000000006,8.800000000000008,45000.0,-1.0,9.0
46000.0,6.859375,-1.7745252181258478E-12,46000.0,57.49999999999999,14.999999999999991,57.49999999999999,14.999999999999991,46000.0,-1.0,9.0
47000.0,7.015625,-1.8149472048713113E-12,47000.0,56.10000000000001,12.20000000000001,56.10000000000001,12.20000000000001,47000.0,-1.0,9.0
48000.0,7.15625,-1.8513269929422283E-12,48000.0,56.49999999999999,12.99999999999999,56.49999999999999,12.99999999999999,48000.0,-1.0,9.0
49000.0,7.3125,-1.8917489796876916E-12,49000.0,53.5,7.000000000000006,53.5,7.000000000000006,49000.0,-1.0,9.0
50000.0,7.484375,-1.9362131651077015E-12,50000.0,55.300000000000004,10.600000000000009,55.255255255255264,10.420841683366742,50000.0,-1.0,9.0
51000.0,7.609375,-1.968550754504072E-12,51000.0,53.7,7.400000000000007,53.7,-46199.999999999956,51000.0,-1.0,9.0
52000.0,7.765625,-2.0089727412495354E-12,52000.0,51.800000000000004,3.600000000000003,51.800000000000004,3.600000000000003,52000.0,-1.0,9.0
53000.0,7.890625,-2.041310330645906E-12,53000.0,54.50000000000001,9.000000000000007,54.50000000000001,9.000000000000007,53000.0,-1.0,9.0
54000.0,8.0625,-2.085774516065916E-12,54000.0,53.6,7.200000000000006,53.6,7.200000000000006,54000.0,-1.0,9.0
55000.0,8.21875,-2.1261965028113793E-12,55000.0,55.00000000000001,10.000000000000009,55.00000000000001,10.000000000000009,55000.0,-1.0,9.0
56000.0,8.359375,-2.1625762908822964E-12,56000.0,53.400000000000006,6.800000000000006,53.400000000000006,6.800000000000006,56000.0,-1.0,9.0
57000.0,8.484375,-2.194913880278667E-12,57000.0,56.00000000000001,12.00000000000001,56.00000000000001,12.00000000000001,57000.0,-1.0,9.0
58000.0,8.640625,-2.2353358670241303E-12,58000.0,54.300000000000004,8.600000000000009,54.300000000000004,8.600000000000009,58000.0,-1.0,9.0
59000.0,8.8125,-2.2798000524441403E-12,59000.0,53.400000000000006,6.800000000000006,53.400000000000006,6.800000000000006,59000.0,-1.0,9.0
60000.0,8.96875,-2.3202220391896036E-12,60000.0,54.0,8.000000000000007,54.0,8.000000000000007,60000.0,-1.0,9.0
61000.0,9.09375,-2.352559628585974E-12,61000.0,53.1,6.2000000000000055,53.1,6.2000000000000055,61000.0,-1.0,9.0
62000.0,9.265625,-2.397023814005984E-12,62000.0,51.6,3.200000000000003,51.6,3.200000000000003,62000.0,-1.0,9.0
63000.0,9.453125,-2.44553019810054E-12,63000.0,58.5,16.999999999999993,58.5,16.999999999999993,63000.0,-1.0,9.0
64000.0,9.625,-2.48999438352055E-12,64000.0,53.900000000000006,7.800000000000007,53.900000000000006,7.800000000000007,64000.0,-1.0,9.0
65000.0,9.75,-2.5223319729169207E-12,65000.0,52.7,5.400000000000005,52.7,5.400000000000005,65000.0,-1.0,9.0
66000.0,9.921875,-2.5667961583369306E-12,66000.0,55.2,10.40000000000001,55.2,10.40000000000001,66000.0,-1.0,9.0
67000.0,10.0625,-2.6031759464078477E-12,67000.0,52.800000000000004,5.600000000000005,52.800000000000004,5.600000000000005,67000.0,-1.0,9.0
68000.0,10.203125,-2.639555734478765E-12,68000.0,55.2,10.40000000000001,55.2,10.40000000000001,68000.0,-1.0,9.0
69000.0,10.359375,-2.6799777212242282E-12,69000.0,54.6,9.200000000000008,54.6,9.200000000000008,69000.0,-1.0,9.0
70000.0,10.484375,-2.712315310620599E-12,70000.0,55.400000000000006,10.80000000000001,55.400000000000006,10.80000000000001,70000.0,-1.0,9.0
71000.0,10.640625,-2.752737297366062E-12,71000.0,50.3,0.6000000000000005,50.3,0.6000000000000005,71000.0,-1.0,9.0
72000.0,10.796875,-2.7931592841115255E-12,72000.0,52.6,5.200000000000005,52.6,5.200000000000005,72000.0,-1.0,9.0
73000.0,10.9375,-2.8295390721824426E-12,73000.0,60.099999999999994,20.199999999999996,60.099999999999994,20.199999999999996,73000.0,-1.0,9.0
74000.0,11.078125,-2.86591886025336E-12,74000.0,53.0,6.000000000000005,53.0,6.000000000000005,74000.0,-1.0,9.0
75000.0,11.234375,-2.906340846998823E-12,75000.0,56.89999999999999,13.79655186207447,56.85685685685685,13.627254509018025,75000.0,-1.0,9.0
76000.0,11.375,-2.9427206350697403E-12,76000.0,61.0,21.999999999999996,61.0,-19399.99999999998,76000.0,-1.0,9.0
77000.0,11.53125,-2.9831426218152036E-12,77000.0,62.1,24.2,62.1,24.2,77000.0,-1.0,9.0
78000.0,11.6875,-3.023564608560667E-12,78000.0,61.199999999999996,22.4,61.199999999999996,22.4,78000.0,-1.0,9.0
79000.0,11.84375,-3.0639865953061303E-12,79000.0,62.3,24.6,62.3,24.6,79000.0,-1.0,9.0
80000.0,11.984375,-3.1003663833770475E-12,80000.0,58.4,16.799999999999994,58.4,16.799999999999994,80000.0,-1.0,9.0
81000.0,12.140625,-3.1407883701225108E-12,81000.0,58.9,17.799999999999994,58.9,17.799999999999994,81000.0,-1.0,9.0
82000.0,12.28125,-3.177168158193428E-12,82000.0,62.4,24.8,62.4,24.8,82000.0,-1.0,9.0
83000.0,12.40625,-3.2095057475897985E-12,83000.0,63.9,27.800000000000004,63.9,27.800000000000004,83000.0,-1.0,9.0
84000.0,12.53125,-3.241843336986169E-12,84000.0,61.5,23.0,61.5,23.0,84000.0,-1.0,9.0
85000.0,12.671875,-3.2782231250570863E-12,85000.0,61.8,23.599999999999998,61.8,23.599999999999998,85000.0,-1.0,9.0
86000.0,12.796875,-3.310560714453457E-12,86000.0,63.3,26.6,63.3,26.6,86000.0,-1.0,9.0
87000.0,12.953125,-3.3509827011989202E-12,87000.0,61.5,23.0,61.5,23.0,87000.0,-1.0,9.0
88000.0,13.09375,-3.3873624892698374E-12,88000.0,64.5,29.000000000000004,64.5,29.000000000000004,88000.0,-1.0,9.0
89000.0,13.25,-3.4277844760153007E-12,89000.0,58.9,17.799999999999994,58.9,17.799999999999994,89000.0,-1.0,9.0
90000.0,13.390625,-3.464164264086218E-12,90000.0,64.2,28.400000000000002,64.2,28.400000000000002,90000.0,-1.0,9.0
91000.0,13.53125,-3.500544052157135E-12,91000.0,61.4,22.799999999999997,61.4,22.799999999999997,91000.0,-1.0,9.0
92000.0,13.6875,-3.5409660389025984E-12,92000.0,64.2,28.400000000000002,64.2,28.400000000000002,92000.0,-1.0,9.0
93000.0,13.828125,-3.5773458269735155E-12,93000.0,62.6,25.2,62.6,25.2,93000.0,-1.0,9.0
94000.0,13.96875,-3.6137256150444327E-12,94000.0,60.699999999999996,21.4,60.699999999999996,21.4,94000.0,-1.0,9.0
95000.0,14.140625,-3.658189800464442E-12,95000.0,57.699999999999996,15.399999999999991,57.699999999999996,15.399999999999991,95000.0,-1.0,9.0
96000.0,14.28125,-3.694569588535359E-12,96000.0,65.9,31.800000000000004,65.9,31.800000000000004,96000.0,-1.0,9.0
97000.0,14.40625,-3.72690717793173E-12,97000.0,63.2,26.400000000000002,63.2,26.400000000000002,97000.0,-1.0,9.0
98000.0,14.5625,-3.767329164677194E-12,98000.0,58.4,16.799999999999994,58.4,16.799999999999994,98000.0,-1.0,9.0
99000.0,14.703125,-3.803708952748111E-12,99000.0,61.5,23.0,61.5,23.0,99000.0,-1.0,9.0
100000.0,14.84375,-3.840088740819028E-12,100000.0,62.5,25.0,62.5,25.0,100000.0,-1.0,9.0
