learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,2.0,-5.174014303419325E-12,1000.0,0.0,61.480000000000004,2.737720057111598,22.96,5.475440114223194,61.480000000000004,2.737720057111598,0.0,0.0
2000.0,3.703125,-9.580010858674842E-12,2000.0,0.0,70.07000000000001,3.340675247777182,40.14,6.681350495554353,70.07000000000001,3.340675247777182,40.14,6.681350495554353
3000.0,5.640625,-1.459233721511232E-11,3000.0,0.0,74.54,3.016325947609482,49.07999999999999,6.032651895218961,74.54,3.016325947609482,49.07999999999999,6.032651895218961
4000.0,7.28125,-1.8836645823385972E-11,4000.0,0.0,76.50000000000001,3.1534813214040858,53.0,6.306962642808167,76.50000000000001,3.1534813214040858,53.0,6.306962642808167
5000.0,8.890625,-2.3000110458168714E-11,5000.0,0.0,77.40999999999998,3.146232314654743,54.82,6.292464629309496,77.40999999999998,3.146232314654743,54.82,6.292464629309496
6000.0,10.3125,-2.6678511252005884E-11,6000.0,0.0,79.48,3.471727075806633,58.96000000000001,6.943454151613268,79.48,3.471727075806633,58.96000000000001,6.943454151613268
7000.0,11.71875,-3.0316490059097584E-11,7000.0,0.0,77.68,3.7852931781361985,55.36000000000001,7.570586356272397,77.68,3.7852931781361985,55.36000000000001,7.570586356272397
8000.0,13.09375,-3.3873624892698345E-11,8000.0,0.0,79.23000000000002,2.818214564814628,58.46,5.636429129629264,79.23000000000002,2.818214564814628,58.46,5.636429129629264
9000.0,14.53125,-3.7592447673280984E-11,9000.0,0.0,79.23,2.9405403887343162,58.46,5.881080777468634,79.23,2.9405403887343162,58.46,5.881080777468634
10000.0,15.875,-4.106873853339087E-11,10000.0,0.0,82.69,3.4053715737868515,65.38,6.810743147573704,82.69,3.4053715737868515,65.38,6.810743147573704
11000.0,17.21875,-4.4545029393500755E-11,11000.0,0.0,81.64,3.393523242884894,63.28,6.787046485769784,81.64,3.393523242884894,63.28,6.787046485769784
12000.0,18.578125,-4.8061742240356046E-11,12000.0,0.0,83.28,2.8824372403305554,66.55999999999999,5.764874480661115,83.28,2.8824372403305554,66.55999999999999,5.764874480661115
13000.0,19.90625,-5.149761111372046E-11,13000.0,0.0,82.72,2.9738863461806986,65.44,5.947772692361398,82.72,2.9738863461806986,65.44,5.947772692361398
14000.0,21.265625,-5.501432396057575E-11,14000.0,0.0,83.83999999999999,3.042367499169024,67.67999999999999,6.084734998338052,83.83999999999999,3.042367499169024,67.67999999999999,6.084734998338052
15000.0,22.5625,-5.836934886044922E-11,15000.0,0.0,84.17,2.448605045054567,68.33999999999997,4.897210090109126,84.17,2.448605045054567,68.33999999999997,4.897210090109126
16000.0,23.8125,-6.160310780008629E-11,16000.0,0.0,84.91,2.1931458886469213,69.82218117485013,4.380231633623803,84.8948948948949,2.195341229876798,29.485981308411194,10.248345274051038
17000.0,25.03125,-6.475602276623242E-11,17000.0,0.0,84.16,2.1700998440932047,68.31995842399914,4.343861437329887,84.14414414414415,2.1722721162094145,65.41484716157204,4.7382092665790445
18000.0,26.25,-6.790893773237854E-11,18000.0,0.0,85.53,2.094994033404391,71.06,4.189988066808787,85.53,2.094994033404391,71.06,4.189988066808787
19000.0,27.46875,-7.106185269852467E-11,19000.0,0.0,83.84,2.459539252244889,67.67999999999999,4.919078504489778,83.7424547283702,2.474385565638719,52.88629737609328,7.170668373891804
20000.0,28.671875,-7.417434567792533E-11,20000.0,0.0,85.96,2.3528705871764397,71.92203880526986,4.7019023205117545,85.86102719033234,2.3694567846691257,46.0,9.049502258370929
21000.0,29.921875,-7.74081046175624E-11,21000.0,0.0,84.02,2.396200696473017,68.04,4.792401392946034,83.62704918032787,2.455123664419072,63.43249427917621,5.483296788267775
22000.0,31.234375,-8.080355150418134E-11,22000.0,0.0,84.46000000000001,1.824037036661022,68.92,3.648074073322045,83.67647058823529,1.9160052906103167,60.25575447570333,4.665056359746859
23000.0,32.53125,-8.415857640405482E-11,23000.0,0.0,82.59,1.5877657257920634,65.1776584255001,3.1790506070237052,80.677025527192,1.7622261107570036,57.84503631961259,3.8444690697144392
24000.0,34.0625,-8.811993110511021E-11,24000.0,0.0,76.82000000000001,1.6212478047616439,53.645231309065984,3.2379771700761966,71.27633209417596,2.008981170708348,34.8876404494382,4.554066867307988
25000.0,36.53125,-9.45066050108934E-11,25000.0,0.0,69.74999999999999,0.9969397619158782,39.499999999999986,1.9938795238317542,60.40575916230367,1.3048949763296829,21.42857142857142,2.5894539270542287
26000.0,39.453125,-1.0206551653229509E-10,26000.0,0.0,60.19,1.4184890239656818,20.365718930927187,2.8368406877762014,47.68725361366623,1.8639803205856555,-9.06849315068494,3.8862712985361165
27000.0,41.390625,-1.0707784288873257E-10,27000.0,0.0,56.519999999999996,1.6450599448719843,13.044311000806736,3.292046979034195,46.38717632552405,2.0284339640838263,-12.061855670103098,4.239845218742227
28000.0,43.109375,-1.115242614307336E-10,28000.0,0.0,59.85,1.9483611346747598,19.699999999999996,3.896722269349521,55.586283185840706,2.1552667418968565,-5.380577427821527,5.113808752427191
29000.0,44.84375,-1.160111019594801E-10,29000.0,0.0,61.269999999999996,1.7857771417508965,22.54,3.5715542835017953,58.88535031847133,1.8957294498417132,-1.1227154046997398,4.662603503266051
30000.0,46.453125,-1.2017456659426283E-10,30000.0,0.0,64.16000000000001,1.6893128122931467,28.314670646925634,3.377498743923089,63.31627430910952,1.7290816911905302,-8.277945619335355,5.103664085477788
31000.0,48.0625,-1.2433803122904558E-10,31000.0,0.0,66.32,1.781884146377402,32.64389866347334,3.5620245950309943,65.9453993933266,1.8017028780357858,16.218905472636827,4.432547627804473
32000.0,49.6875,-1.2854191785057366E-10,32000.0,0.0,67.39,1.92841327981783,34.78000000000001,3.8568265596356652,67.25903614457832,1.9361579114636864,17.233502538071072,4.8944499487762245
33000.0,51.25,-1.3258411652512012E-10,33000.0,0.0,69.17,1.4757672204276928,38.336993616455466,2.9520813248827107,69.13913913913915,1.4772444648925864,-87.98780487804875,8.99858061236398
