learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.078125,-2.021099337273174E-14,1000.0,79.60000000000001,59.20000000000001,79.60000000000001,-Infinity,1000.0,-1.0,9.0
2000.0,0.125,-3.233758939637078E-14,2000.0,86.9,73.8,86.9,73.8,2000.0,-1.0,9.0
3000.0,0.171875,-4.446418542000983E-14,3000.0,88.9,77.8,88.9,77.8,3000.0,-1.0,9.0
4000.0,0.21875,-5.659078144364887E-14,4000.0,91.2,82.4,91.2,82.4,4000.0,-1.0,9.0
5000.0,0.265625,-6.871737746728791E-14,5000.0,93.8,87.6,93.8,87.6,5000.0,-1.0,9.0
6000.0,0.296875,-7.680177481638061E-14,6000.0,92.80000000000001,85.60000000000001,92.80000000000001,85.60000000000001,6000.0,-1.0,9.0
7000.0,0.328125,-8.48861721654733E-14,7000.0,94.39999999999999,88.79999999999998,94.39999999999999,88.79999999999998,7000.0,-1.0,9.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,94.1,88.19999999999999,94.1,88.19999999999999,8000.0,-1.0,9.0
9000.0,0.390625,-1.010549668636587E-13,9000.0,93.0,86.00000000000001,93.0,86.00000000000001,9000.0,-1.0,9.0
10000.0,0.421875,-1.091393642127514E-13,10000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,10000.0,-1.0,9.0
11000.0,0.4375,-1.1318156288729775E-13,11000.0,94.5,88.99999999999999,94.5,88.99999999999999,11000.0,-1.0,9.0
12000.0,0.484375,-1.2530815891093678E-13,12000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,12000.0,-1.0,9.0
13000.0,0.515625,-1.3339255626002948E-13,13000.0,93.2,86.4,93.2,86.4,13000.0,-1.0,9.0
14000.0,0.5625,-1.4551915228366852E-13,14000.0,94.69999999999999,89.39999999999999,94.69999999999999,89.39999999999999,14000.0,-1.0,9.0
15000.0,0.59375,-1.5360354963276122E-13,15000.0,93.7,87.4,93.7,87.4,15000.0,-1.0,9.0
16000.0,0.640625,-1.6573014565640026E-13,16000.0,95.3,90.59864620505353,95.29529529529529,78.03738317757008,16000.0,-1.0,9.0
17000.0,0.65625,-1.697723443309466E-13,17000.0,93.89999999999999,87.80195168772995,93.89389389389389,86.68122270742357,17000.0,-1.0,9.0
18000.0,0.6875,-1.778567416800393E-13,18000.0,94.5,88.99999999999999,94.5,88.99999999999999,18000.0,-1.0,9.0
19000.0,0.71875,-1.85941139029132E-13,19000.0,93.4,86.80000000000001,93.36016096579478,80.75801749271139,19000.0,-1.0,9.0
20000.0,0.75,-1.940255363782247E-13,20000.0,94.89999999999999,89.79877585310237,94.86404833836858,80.38461538461536,20000.0,-1.0,9.0
21000.0,0.796875,-2.0615213240186375E-13,21000.0,92.60000000000001,85.2,92.41803278688525,83.06636155606408,21000.0,-1.0,9.0
22000.0,0.84375,-2.182787284255028E-13,22000.0,92.2,84.4,91.80672268907564,80.05115089514068,22000.0,-1.0,9.0
23000.0,0.875,-2.263631257745955E-13,23000.0,90.3,80.60093115530455,89.23418423973362,76.5133171912833,23000.0,-1.0,9.0
24000.0,0.9375,-2.4253192047278086E-13,24000.0,84.0,68.00063998720024,80.1734820322181,55.05617977528089,24000.0,-1.0,9.0
25000.0,1.0,-2.5870071517096625E-13,25000.0,75.4,50.8,67.80104712041884,36.103896103896105,25000.0,-1.0,9.0
26000.0,1.0625,-2.7486950986915165E-13,26000.0,69.19999999999999,38.38792403311048,59.526938239159,15.616438356164366,26000.0,-1.0,9.0
27000.0,1.125,-2.9103830456733704E-13,27000.0,62.2,24.415419254472084,53.39087546239211,2.5773195876288684,27000.0,-1.0,9.0
28000.0,1.1875,-3.0720709926552244E-13,28000.0,67.30000000000001,34.60000000000001,63.82743362831859,14.173228346456707,28000.0,-1.0,9.0
29000.0,1.25,-3.2337589396370783E-13,29000.0,70.19999999999999,40.39999999999999,68.36518046709129,22.193211488250643,29000.0,-1.0,9.0
30000.0,1.28125,-3.3146029131280053E-13,30000.0,74.3,48.595476401923364,73.6949846468782,22.356495468277934,30000.0,-1.0,9.0
31000.0,1.3125,-3.395446886618932E-13,31000.0,81.10000000000001,62.20634933331202,80.88978766430739,52.98507462686569,31000.0,-1.0,9.0
32000.0,1.359375,-3.5167128468553224E-13,32000.0,81.5,62.999999999999986,81.42570281124497,53.04568527918781,32000.0,-1.0,9.0
