learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0625,-1.616879469818539E-14,1000.0,79.60000000000001,59.20000000000001,79.60000000000001,-Infinity,1000.0,-1.0,9.0
2000.0,0.109375,-2.8295390721824433E-14,2000.0,86.9,73.8,86.9,73.8,2000.0,-1.0,9.0
3000.0,0.15625,-4.042198674546348E-14,3000.0,88.9,77.8,88.9,77.8,3000.0,-1.0,9.0
4000.0,0.203125,-5.2548582769102524E-14,4000.0,91.2,82.4,91.2,82.4,4000.0,-1.0,9.0
5000.0,0.25,-6.467517879274156E-14,5000.0,93.8,87.6,93.8,87.6,5000.0,-1.0,9.0
6000.0,0.28125,-7.275957614183426E-14,6000.0,92.80000000000001,85.60000000000001,92.80000000000001,85.60000000000001,6000.0,-1.0,9.0
7000.0,0.3125,-8.084397349092696E-14,7000.0,94.39999999999999,88.79999999999998,94.39999999999999,88.79999999999998,7000.0,-1.0,9.0
8000.0,0.34375,-8.892837084001965E-14,8000.0,94.1,88.19999999999999,94.1,88.19999999999999,8000.0,-1.0,9.0
9000.0,0.375,-9.701276818911235E-14,9000.0,93.0,86.00000000000001,93.0,86.00000000000001,9000.0,-1.0,9.0
10000.0,0.421875,-1.091393642127514E-13,10000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,10000.0,-1.0,9.0
11000.0,0.46875,-1.2126596023639043E-13,11000.0,94.5,88.99999999999999,94.5,88.99999999999999,11000.0,-1.0,9.0
12000.0,0.515625,-1.3339255626002948E-13,12000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,12000.0,-1.0,9.0
13000.0,0.546875,-1.4147695360912217E-13,13000.0,93.2,86.4,93.2,86.4,13000.0,-1.0,9.0
14000.0,0.578125,-1.4956135095821487E-13,14000.0,94.69999999999999,89.39999999999999,94.69999999999999,89.39999999999999,14000.0,-1.0,9.0
15000.0,0.609375,-1.5764574830730757E-13,15000.0,93.7,87.4,93.7,87.4,15000.0,-1.0,9.0
16000.0,0.65625,-1.697723443309466E-13,16000.0,95.3,90.59864620505353,95.29529529529529,78.03738317757008,16000.0,-1.0,9.0
