learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.75,-1.940255363782247E-12,1000.0,0.0,88.60000000000001,1.2292725943057157,77.19999999999999,2.458545188611443,88.60000000000001,1.2292725943057157,0.0,0.0
2000.0,1.21875,-3.152914966146151E-12,2000.0,0.0,92.68,0.29739610697593527,85.36000000000003,0.5947922139518713,92.68,0.29739610697593527,85.36000000000003,0.5947922139518713
3000.0,1.765625,-4.5676845022373745E-12,3000.0,0.0,93.62,0.37357135269657976,87.24000000000001,0.7471427053931606,93.62,0.37357135269657976,87.24000000000001,0.7471427053931606
4000.0,2.328125,-6.022876025074061E-12,4000.0,0.0,93.98,0.36757463338906726,87.96,0.7351492667781373,93.98,0.36757463338906726,87.96,0.7351492667781373
5000.0,2.78125,-7.195113640692499E-12,5000.0,0.0,95.41,0.31428932176862046,90.82000000000001,0.6285786435372367,95.41,0.31428932176862046,90.82000000000001,0.6285786435372367
6000.0,3.1875,-8.246085296074552E-12,6000.0,0.0,94.87,0.26267851073128085,89.74,0.5253570214625501,94.87,0.26267851073128085,89.74,0.5253570214625501
7000.0,3.546875,-9.175790991220212E-12,7000.0,0.0,95.53999999999999,0.4526465385804841,91.08,0.905293077160961,95.53999999999999,0.4526465385804841,91.08,0.905293077160961
8000.0,3.875,-1.0024652712874949E-11,8000.0,0.0,94.4,0.3018461712712439,88.79999999999998,0.6036923425424987,94.4,0.3018461712712439,88.79999999999998,0.6036923425424987
9000.0,4.21875,-1.0913936421275139E-11,9000.0,0.0,93.9,0.35590260840104176,87.8,0.7118052168020795,93.9,0.35590260840104176,87.8,0.7118052168020795
10000.0,4.546875,-1.1762798142929875E-11,10000.0,0.0,94.90000000000002,0.1563471919941144,89.8,0.3126943839882319,94.90000000000002,0.1563471919941144,89.8,0.3126943839882319
11000.0,4.859375,-1.2571237877839142E-11,11000.0,0.0,94.49000000000001,0.26436506745198235,88.97999999999998,0.5287301349039515,94.49000000000001,0.26436506745198235,88.97999999999998,0.5287301349039515
12000.0,5.265625,-1.3622209533221195E-11,12000.0,0.0,93.85,0.638139657302551,87.69999999999999,1.276279314605098,93.85,0.638139657302551,87.69999999999999,1.276279314605098
