learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.011171554,-2.890089009371069E-15,1000.0,82.3,64.6,82.3,-Infinity,1000.0,-1.0,3.0
2000.0,0.023008213,-5.952241157905923E-15,2000.0,91.0,82.0,91.0,82.0,2000.0,-1.0,4.0
3000.0,0.035137102,-9.089993416435188E-15,3000.0,91.5,83.0,91.5,83.0,3000.0,-1.0,4.0
4000.0,0.0498891,-1.2906345849235851E-14,4000.0,91.60000000000001,83.2,91.60000000000001,83.2,4000.0,-1.0,6.0
5000.0,0.069105024,-1.7877519130706787E-14,5000.0,93.30000000000001,86.60000000000001,93.30000000000001,86.60000000000001,5000.0,-1.0,7.0
6000.0,0.087885095,-2.273593692936831E-14,6000.0,93.7,87.4,93.7,87.4,6000.0,-1.0,7.0
7000.0,0.10649982,-2.7551579599579174E-14,7000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,7000.0,-1.0,7.0
8000.0,0.125238126,-3.239919276287158E-14,8000.0,94.39999999999999,88.79999999999998,94.39999999999999,88.79999999999998,8000.0,-1.0,7.0
9000.0,0.144249069,-3.731733731304605E-14,9000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,9000.0,-1.0,7.0
10000.0,0.16276009,-4.2106151684290824E-14,10000.0,94.5,88.99999999999999,94.5,88.99999999999999,10000.0,-1.0,7.0
11000.0,0.183799245,-4.7548996129383634E-14,11000.0,92.10000000000001,84.2,92.10000000000001,84.2,11000.0,-1.0,9.0
12000.0,0.208343932,-5.389872420993115E-14,12000.0,93.60000000000001,87.20000000000002,93.60000000000001,87.20000000000002,12000.0,-1.0,10.0
13000.0,0.235287639,-6.086908048018813E-14,13000.0,93.5,87.00000000000001,93.5,87.00000000000001,13000.0,-1.0,11.0
14000.0,0.262776263,-6.798040716805392E-14,14000.0,95.19999999999999,90.39999999999999,95.19999999999999,90.39999999999999,14000.0,-1.0,11.0
15000.0,0.290923295,-7.526206447639399E-14,15000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,15000.0,-1.0,11.0
16000.0,0.321067783,-8.30604650804566E-14,16000.0,94.39999999999999,88.8008511353137,94.39439439439438,73.83177570093456,16000.0,-1.0,13.0
17000.0,0.355640442,-9.200443668911855E-14,17000.0,93.30000000000001,86.5991423451101,93.2932932932933,85.37117903930131,17000.0,-1.0,14.0
18000.0,0.391131213,-1.0118592452878754E-13,18000.0,94.5,88.99999999999999,94.5,88.99999999999999,18000.0,-1.0,15.0
19000.0,0.429511795,-1.1111500854086545E-13,19000.0,93.89999999999999,87.79999999999998,93.86317907444668,82.21574344023323,19000.0,-1.0,16.0
20000.0,0.470124189,-1.2162146391347052E-13,20000.0,95.7,91.4006191554208,95.66968781470293,83.46153846153844,20000.0,-1.0,16.0
21000.0,0.51364926,-1.328814309090376E-13,21000.0,92.80000000000001,85.60000000000001,92.62295081967213,83.52402745995424,21000.0,-1.0,20.0
22000.0,0.562811738,-1.455997991272145E-13,22000.0,91.5,83.0,91.07142857142857,78.2608695652174,22000.0,-1.0,20.0
23000.0,0.614296016,-1.5891881866587536E-13,23000.0,88.9,77.79822385790864,87.6803551609323,73.12348668280873,23000.0,-1.0,22.0
24000.0,0.673408127,-1.7421116405684091E-13,24000.0,83.1,66.20216306156405,79.05824039653035,52.52808988764044,24000.0,-1.0,26.0
25000.0,0.73591957,-1.9038291906731E-13,25000.0,73.6,47.199999999999996,65.44502617801047,31.428571428571427,25000.0,-1.0,26.0
26000.0,0.798667619,-2.0661588421919283E-13,26000.0,63.800000000000004,27.58928321391566,52.43101182654403,0.8219178082191789,26000.0,-1.0,26.0
