learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.09375,-2.4253192047278088E-14,1000.0,82.8,65.6,82.8,-Infinity,1000.0,-1.0,153.99999999999997,115.00724614852172,-6.1,3.3813212407775355,1.6,0.9660917830792959,1.2999999999999998,0.48304589153964794,1.2999999999999998,0.48304589153964794,0.30000000000000004,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,-5.254858276910252E-14,2000.0,87.6,75.2,87.6,75.2,2000.0,-1.0,394.0,436.5826891259483,-8.2,6.762642481555071,2.2,1.9321835661585918,1.6,0.9660917830792959,1.6,0.9660917830792959,0.6,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.296875,-7.680177481638061E-14,3000.0,89.9,79.80000000000001,89.9,79.80000000000001,3000.0,-1.0,527.0,621.6295788758232,-9.6,7.947046970765654,2.6,2.2705848487901865,1.8,1.1352924243950933,1.8,1.1352924243950933,0.7999999999999999,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.390625,-1.010549668636587E-13,4000.0,88.7,77.4,88.7,77.4,4000.0,-1.0,317.0,553.1736717443366,-6.1,4.724639903973871,1.6,1.349897115421106,1.2999999999999998,0.6749485577105528,1.2999999999999998,0.6749485577105528,0.30000000000000004,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.5,-1.2935035758548313E-13,5000.0,89.5,79.0,89.5,79.0,5000.0,-1.0,300.0,410.09483997945864,-7.5,5.948856099191582,2.0,1.699673171197595,1.5,0.8498365855987975,1.5,0.8498365855987975,0.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.59375,-1.5360354963276122E-13,6000.0,89.60000000000001,79.2,89.60000000000001,79.2,6000.0,-1.0,281.0,436.2071373403542,-6.1,6.640783086353596,1.6,1.8973665961010275,1.2999999999999998,0.9486832980505138,1.2999999999999998,0.9486832980505138,0.3,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.703125,-1.8189894035458566E-13,7000.0,89.8,79.60000000000001,89.8,79.60000000000001,7000.0,-1.0,618.0,761.9536293852359,-10.3,9.592242235844084,2.8,2.7406406388125952,1.9,1.3703203194062976,1.9,1.3703203194062976,0.9,1.3703203194062976,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.796875,-2.0615213240186375E-13,8000.0,90.5,81.0,90.5,81.0,8000.0,-1.0,303.0,430.1433869459501,-6.8,5.902918298980975,1.8,1.6865480854231356,1.4,0.8432740427115678,1.4,0.8432740427115678,0.39999999999999997,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.890625,-2.3040532444914184E-13,9000.0,84.89999999999999,69.8,84.89999999999999,69.8,9000.0,-1.0,183.0,120.09718287009622,-5.3999999999999995,2.9514591494904874,1.4,0.8432740427115678,1.2000000000000002,0.4216370213557839,1.2000000000000002,0.4216370213557839,0.19999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0,-2.5870071517096625E-13,10000.0,88.0,76.0,88.0,76.0,10000.0,-1.0,335.0,308.013347474135,-5.3999999999999995,4.427188724235731,1.4,1.2649110640673518,1.2000000000000002,0.6324555320336759,1.2000000000000002,0.6324555320336759,0.19999999999999998,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.09375,-2.8295390721824435E-13,11000.0,90.2,80.4,90.2,80.4,11000.0,-1.0,656.0,679.6436975030045,-11.7,7.703534542302283,3.2,2.2010098692292237,2.0999999999999996,1.1005049346146119,2.0999999999999996,1.1005049346146119,1.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.1875,-3.0720709926552244E-13,12000.0,89.3,78.60000000000001,89.3,78.60000000000001,12000.0,-1.0,314.0,687.1875047370016,-6.099999999999999,6.640783086353596,1.6,1.8973665961010275,1.2999999999999998,0.9486832980505138,1.2999999999999998,0.9486832980505138,0.3,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.28125,-3.3146029131280053E-13,13000.0,85.39999999999999,70.8,85.39999999999999,70.8,13000.0,-1.0,519.0,991.7711429558736,-9.600000000000001,9.215928240461366,2.6,2.6331223544175333,1.8000000000000003,1.3165611772087669,1.8000000000000003,1.3165611772087669,0.7999999999999999,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.375,-3.557134833600786E-13,14000.0,89.7,79.4,89.7,79.4,14000.0,-1.0,368.0,552.7868787637178,-6.8,5.902918298980975,1.7999999999999998,1.6865480854231356,1.4000000000000001,0.8432740427115678,1.4000000000000001,0.8432740427115678,0.4,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.46875,-3.799666754073567E-13,15000.0,87.2,74.4,87.2,74.4,15000.0,-1.0,258.0,551.1160394044878,-5.4,4.427188724235731,1.4,1.2649110640673518,1.2,0.6324555320336759,1.2,0.6324555320336759,0.2,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
