learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,0.0,-100.0,0.0,-Infinity,1000.0,-1.0
2000.0,0.0,0.0,2000.0,0.0,-100.0,0.0,-100.0,2000.0,-1.0
3000.0,0.0,0.0,3000.0,0.0,-100.0,0.0,-100.0,3000.0,-1.0
4000.0,0.0,0.0,4000.0,0.0,-100.0,0.0,-100.0,4000.0,-1.0
5000.0,0.0,0.0,5000.0,0.0,-100.0,0.0,-100.0,5000.0,-1.0
6000.0,0.0,0.0,6000.0,0.0,-100.0,0.0,-100.0,6000.0,-1.0
7000.0,0.015625,-4.042198674546348E-15,7000.0,0.0,-100.0,0.0,-100.0,7000.0,-1.0
8000.0,0.015625,-4.042198674546348E-15,8000.0,0.0,-100.0,0.0,-100.0,8000.0,-1.0
9000.0,0.015625,-4.042198674546348E-15,9000.0,0.0,-100.0,0.0,-100.0,9000.0,-1.0
10000.0,0.015625,-4.042198674546348E-15,10000.0,0.0,-100.0,0.0,-100.0,10000.0,-1.0
11000.0,0.015625,-4.042198674546348E-15,11000.0,0.0,-100.0,0.0,-100.0,11000.0,-1.0
12000.0,0.015625,-4.042198674546348E-15,12000.0,0.0,-100.0,0.0,-100.0,12000.0,-1.0
13000.0,0.015625,-4.042198674546348E-15,13000.0,0.0,-100.0,0.0,-100.0,13000.0,-1.0
14000.0,0.015625,-4.042198674546348E-15,14000.0,0.0,-100.0,0.0,-100.0,14000.0,-1.0
15000.0,0.03125,-8.084397349092695E-15,15000.0,0.0,-100.0,0.0,-100.0,15000.0,-1.0
16000.0,0.03125,-8.084397349092695E-15,16000.0,0.1,-99.8,0.0,-366.82242990654214,16000.0,-1.0
17000.0,0.03125,-8.084397349092695E-15,17000.0,0.1,-99.8,0.0,-118.1222707423581,17000.0,-1.0
18000.0,0.03125,-8.084397349092695E-15,18000.0,0.0,-100.0,0.0,-100.0,18000.0,-1.0
19000.0,0.03125,-8.084397349092695E-15,19000.0,0.6,-98.8,0.0,-189.79591836734699,19000.0,-1.0
20000.0,0.03125,-8.084397349092695E-15,20000.0,0.7000000000000001,-98.6,0.0,-281.9230769230769,20000.0,-1.0
21000.0,0.03125,-8.084397349092695E-15,21000.0,2.4,-95.19999999999999,0.0,-123.34096109839814,21000.0,-1.0
22000.0,0.03125,-8.084397349092695E-15,22000.0,4.8,-90.4,0.0,-143.4782608695652,22000.0,-1.0
23000.0,0.046875,-1.2126596023639042E-14,23000.0,9.9,-80.2,0.0,-118.1598062953995,23000.0,-1.0
24000.0,0.046875,-1.2126596023639042E-14,24000.0,19.3,-61.4,0.0,-126.68539325842698,24000.0,-1.0
25000.0,0.046875,-1.2126596023639042E-14,25000.0,23.599999999999998,-52.800000000000004,0.0,-98.44155844155844,25000.0,-1.0
26000.0,0.046875,-1.2126596023639042E-14,26000.0,23.9,-52.2,0.0,-108.4931506849315,26000.0,-1.0
27000.0,0.046875,-1.2126596023639042E-14,27000.0,18.9,-62.2,0.0,-109.02061855670102,27000.0,-1.0
28000.0,0.046875,-1.2126596023639042E-14,28000.0,9.6,-80.80000000000001,0.0,-137.27034120734908,28000.0,-1.0
29000.0,0.046875,-1.2126596023639042E-14,29000.0,5.800000000000001,-88.4,0.0,-145.95300261096605,29000.0,-1.0
30000.0,0.046875,-1.2126596023639042E-14,30000.0,2.3,-95.39999999999999,0.0,-195.16616314199396,30000.0,-1.0
31000.0,0.0625,-1.616879469818539E-14,31000.0,1.0999999999999999,-97.8,0.0,-146.01990049751242,31000.0,-1.0
32000.0,0.0625,-1.616879469818539E-14,32000.0,0.4,-99.2,0.0,-152.7918781725888,32000.0,-1.0
33000.0,0.0625,-1.616879469818539E-14,33000.0,0.1,-99.8,0.0,-509.1463414634145,33000.0,-1.0
34000.0,0.0625,-1.616879469818539E-14,34000.0,0.2,-99.6,0.0,-99.6,34000.0,-1.0
35000.0,0.0625,-1.616879469818539E-14,35000.0,0.1,-99.8,0.0,-369.01408450704236,35000.0,-1.0
36000.0,0.0625,-1.616879469818539E-14,36000.0,0.0,-100.0,0.0,-246.02076124567472,36000.0,-1.0
37000.0,0.0625,-1.616879469818539E-14,37000.0,0.0,-100.0,0.0,-100.0,37000.0,-1.0
38000.0,0.0625,-1.616879469818539E-14,38000.0,0.0,-100.0,0.0,-100.0,38000.0,-1.0
39000.0,0.0625,-1.616879469818539E-14,39000.0,0.0,-100.0,0.0,-100.0,39000.0,-1.0
