learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.15625,-4.042198674546348E-14,1000.0,69.8,39.599999999999994,69.8,-Infinity,1000.0,-1.0,9.0
2000.0,0.296875,-7.680177481638061E-14,2000.0,74.2,48.4,74.2,48.4,2000.0,-1.0,9.0
3000.0,0.4375,-1.1318156288729773E-13,3000.0,71.1,42.199999999999996,71.1,42.199999999999996,3000.0,-1.0,9.0
4000.0,0.578125,-1.4956135095821487E-13,4000.0,71.1,42.199999999999996,71.1,42.199999999999996,4000.0,-1.0,9.0
5000.0,0.703125,-1.8189894035458566E-13,5000.0,75.3,50.6,75.3,50.6,5000.0,-1.0,9.0
6000.0,0.84375,-2.182787284255028E-13,6000.0,70.3,40.599999999999994,70.3,40.599999999999994,6000.0,-1.0,9.0
7000.0,0.984375,-2.5465851649641993E-13,7000.0,73.2,46.4,73.2,46.4,7000.0,-1.0,9.0
8000.0,1.109375,-2.869961058927907E-13,8000.0,74.5,49.0,74.5,49.0,8000.0,-1.0,9.0
9000.0,1.265625,-3.274180926382542E-13,9000.0,67.4,34.80000000000001,67.4,34.80000000000001,9000.0,-1.0,9.0
10000.0,1.40625,-3.637978807091713E-13,10000.0,77.3,54.6,77.3,54.6,10000.0,-1.0,9.0
11000.0,1.578125,-4.082620661291811E-13,11000.0,69.39999999999999,38.79999999999999,69.39999999999999,38.79999999999999,11000.0,-1.0,9.0
12000.0,1.71875,-4.4464185420009824E-13,12000.0,76.1,52.2,76.1,52.2,12000.0,-1.0,9.0
13000.0,1.859375,-4.810216422710153E-13,13000.0,71.39999999999999,42.8,71.39999999999999,42.8,13000.0,-1.0,9.0
14000.0,2.0,-5.174014303419325E-13,14000.0,75.0,50.0,75.0,50.0,14000.0,-1.0,9.0
15000.0,2.140625,-5.537812184128497E-13,15000.0,67.60000000000001,35.20000000000001,67.60000000000001,35.20000000000001,15000.0,-1.0,9.0
16000.0,2.296875,-5.942032051583131E-13,16000.0,71.6,43.22656996525625,71.57157157157157,-32.71028037383181,16000.0,-1.0,9.0
17000.0,2.4375,-6.305829932292303E-13,17000.0,72.3,44.57428246706471,72.27227227227226,39.51965065502183,17000.0,-1.0,9.0
18000.0,2.59375,-6.710049799746937E-13,18000.0,71.7,43.39999999999999,71.7,43.39999999999999,18000.0,-1.0,9.0
