learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.09375,-2.4253192047278088E-14,1000.0,82.39999999999999,64.8,82.39999999999999,-Infinity,1000.0,-1.0,10.0
2000.0,0.15625,-4.042198674546348E-14,2000.0,73.4,46.8,73.4,46.8,2000.0,-1.0,10.0
3000.0,0.234375,-6.063298011819522E-14,3000.0,74.1,48.199999999999996,74.1,48.199999999999996,3000.0,-1.0,10.0
4000.0,0.296875,-7.680177481638061E-14,4000.0,77.3,54.6,77.3,54.6,4000.0,-1.0,10.0
5000.0,0.375,-9.701276818911235E-14,5000.0,73.8,47.599999999999994,73.8,47.599999999999994,5000.0,-1.0,10.0
6000.0,0.4375,-1.1318156288729775E-13,6000.0,73.8,47.599999999999994,73.8,47.599999999999994,6000.0,-1.0,10.0
7000.0,0.515625,-1.3339255626002948E-13,7000.0,75.3,50.6,75.3,50.6,7000.0,-1.0,10.0
8000.0,0.59375,-1.5360354963276122E-13,8000.0,67.4,34.80000000000001,67.4,34.80000000000001,8000.0,-1.0,10.0
9000.0,0.65625,-1.697723443309466E-13,9000.0,73.6,47.199999999999996,73.6,47.199999999999996,9000.0,-1.0,10.0
10000.0,0.734375,-1.8998333770367835E-13,10000.0,71.0,41.99999999999999,71.0,41.99999999999999,10000.0,-1.0,10.0
11000.0,0.796875,-2.0615213240186375E-13,11000.0,72.6,45.199999999999996,72.6,45.199999999999996,11000.0,-1.0,10.0
12000.0,0.875,-2.263631257745955E-13,12000.0,75.8,51.6,75.8,51.6,12000.0,-1.0,10.0
13000.0,0.9375,-2.4253192047278086E-13,13000.0,75.0,50.0,75.0,50.0,13000.0,-1.0,10.0
14000.0,1.015625,-2.627429138455126E-13,14000.0,73.5,47.0,73.5,47.0,14000.0,-1.0,10.0
15000.0,1.09375,-2.829539072182443E-13,15000.0,70.89999999999999,41.79999999999999,70.89999999999999,41.79999999999999,15000.0,-1.0,10.0
16000.0,1.171875,-3.03164900590976E-13,16000.0,63.3,26.605871530277586,63.263263263263255,-71.49532710280376,16000.0,-1.0,10.0
17000.0,1.25,-3.2337589396370773E-13,17000.0,66.10000000000001,32.18915026404224,66.06606606606607,25.982532751091703,17000.0,-1.0,10.0
18000.0,1.3125,-3.395446886618931E-13,18000.0,73.9,47.8,73.9,47.8,18000.0,-1.0,10.0
19000.0,1.390625,-3.5975568203462484E-13,19000.0,68.0,36.00000000000001,67.80684104627767,6.70553935860059,19000.0,-1.0,10.0
20000.0,1.46875,-3.7996667540735656E-13,20000.0,72.3,44.605761000855914,72.10473313192345,-6.5384615384615445,20000.0,-1.0,10.0
21000.0,1.53125,-3.9613547010554195E-13,21000.0,71.2,42.39999999999999,70.49180327868852,34.09610983981693,21000.0,-1.0,10.0
22000.0,1.59375,-4.1230426480372735E-13,22000.0,63.1,26.200000000000003,61.23949579831932,5.62659846547315,22000.0,-1.0,10.0
23000.0,1.671875,-4.3251525817645906E-13,23000.0,60.4,20.797782337905467,56.0488346281909,4.11622276029056,23000.0,-1.0,10.0
24000.0,1.75,-4.527262515491908E-13,24000.0,56.00000000000001,12.008095255236526,45.47707558859976,-23.59550561797752,24000.0,-1.0,10.0
25000.0,1.828125,-4.729372449219225E-13,25000.0,49.4,-1.200000000000001,33.7696335078534,-31.428571428571427,25000.0,-1.0,10.0
26000.0,1.90625,-4.931482382946543E-13,26000.0,48.5,-2.9967041054686243,32.32588699080158,-41.095890410958916,26000.0,-1.0,10.0
27000.0,1.984375,-5.13359231667386E-13,27000.0,49.7,-0.5983904257531869,37.97780517879162,-29.639175257731953,27000.0,-1.0,10.0
28000.0,2.046875,-5.295280263655714E-13,28000.0,48.4,-3.200000000000003,42.92035398230089,-35.43307086614173,28000.0,-1.0,10.0
29000.0,2.125,-5.497390197383032E-13,29000.0,54.1,8.200000000000006,51.27388535031848,-19.843342036553512,29000.0,-1.0,10.0
30000.0,2.21875,-5.739922117855812E-13,30000.0,53.900000000000006,7.802950305590231,52.81473899692938,-39.2749244712991,30000.0,-1.0,10.0
31000.0,2.265625,-5.861188078092203E-13,31000.0,51.1,2.203911843526265,50.55611729019211,-21.64179104477611,31000.0,-1.0,10.0
32000.0,2.359375,-6.103719998564983E-13,32000.0,52.900000000000006,5.800000000000005,52.71084337349398,-19.543147208121816,32000.0,-1.0,10.0
33000.0,2.421875,-6.265407945546837E-13,33000.0,52.400000000000006,4.796572676616369,52.35235235235235,-190.2439024390243,33000.0,-1.0,10.0
34000.0,2.484375,-6.427095892528691E-13,34000.0,50.1,0.20000000000000018,50.0,0.20000000000000018,34000.0,-1.0,10.0
35000.0,2.5625,-6.629205826256009E-13,35000.0,52.7,5.4007567939456536,52.652652652652655,-122.06572769953054,35000.0,-1.0,10.0
36000.0,2.640625,-6.831315759983326E-13,36000.0,51.9,3.8000000000000034,51.9,-66.43598615916953,36000.0,-1.0,10.0
37000.0,2.71875,-7.033425693710644E-13,37000.0,54.1,8.200000000000006,54.1,8.200000000000006,37000.0,-1.0,10.0
38000.0,2.78125,-7.195113640692498E-13,38000.0,50.0,0.0,50.0,0.0,38000.0,-1.0,10.0
39000.0,2.859375,-7.397223574419816E-13,39000.0,51.2,2.400000000000002,51.2,2.400000000000002,39000.0,-1.0,10.0
40000.0,2.9375,-7.599333508147133E-13,40000.0,50.1,0.20000000000000018,50.1,0.20000000000000018,40000.0,-1.0,10.0
41000.0,3.015625,-7.801443441874451E-13,41000.0,52.900000000000006,5.800000000000005,52.85285285285286,-130.8823529411765,41000.0,-1.0,10.0
42000.0,3.09375,-8.003553375601769E-13,42000.0,49.8,-0.40000000000000036,49.74974974974975,-7.264957264957273,42000.0,-1.0,10.0
43000.0,3.171875,-8.205663309329086E-13,43000.0,52.7,5.400000000000005,52.7,5.400000000000005,43000.0,-1.0,10.0
44000.0,3.25,-8.407773243056404E-13,44000.0,47.9,-4.200000000000004,47.58551307847082,-51.89504373177844,44000.0,-1.0,10.0
45000.0,3.328125,-8.609883176783722E-13,45000.0,53.5,7.000000000000006,53.17220543806647,-85.99999999999999,45000.0,-1.0,10.0
46000.0,3.40625,-8.811993110511039E-13,46000.0,49.9,-0.20000000000000018,48.66803278688525,-12.331838565022434,46000.0,-1.0,10.0
47000.0,3.484375,-9.014103044238357E-13,47000.0,51.4,2.8000000000000025,48.895899053627765,-24.29667519181585,47000.0,-1.0,10.0
48000.0,3.5625,-9.216212977965674E-13,48000.0,50.4,0.8000000000000007,44.827586206896555,-20.97560975609755,48000.0,-1.0,10.0
49000.0,3.640625,-9.41832291169299E-13,49000.0,49.5,-1.0000000000000009,37.49999999999999,-42.253521126760575,49000.0,-1.0,10.0
50000.0,3.703125,-9.580010858674843E-13,50000.0,49.2,-1.6000000000000014,33.1578947368421,-30.92783505154639,50000.0,-1.0,10.0
51000.0,3.78125,-9.78212079240216E-13,51000.0,48.5,-3.0000000000000027,32.414698162729664,-41.48351648351649,51000.0,-1.0,10.0
52000.0,3.859375,-9.984230726129477E-13,52000.0,47.9,-4.200000000000004,36.07361963190184,-33.933161953727506,52000.0,-1.0,10.0
53000.0,3.9375,-1.0186340659856793E-12,53000.0,51.2,2.400000000000002,45.8980044345898,-28.42105263157894,53000.0,-1.0,10.0
54000.0,4.015625,-1.038845059358411E-12,54000.0,50.5,1.0000000000000009,47.61904761904762,-30.95238095238095,54000.0,-1.0,10.0
55000.0,4.09375,-1.0590560527311427E-12,55000.0,50.6,1.200000000000001,49.437052200614126,-45.7227138643068,55000.0,-1.0,10.0
56000.0,4.171875,-1.0792670461038743E-12,56000.0,50.6,1.200000000000001,50.05055611729019,-26.0204081632653,56000.0,-1.0,10.0
57000.0,4.234375,-1.0954358408020596E-12,57000.0,50.1,0.20000000000000018,49.899598393574294,-23.8213399503722,57000.0,-1.0,10.0
