learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,78.8,57.331186474791195,55.36842105263159,53.812636165577345,1000.0,-1.0,10.0
2000.0,0.078125,-2.021099337273174E-14,2000.0,83.0,65.96937243519166,65.7258064516129,65.37678207739307,2000.0,-1.0,10.0
3000.0,0.125,-3.233758939637078E-14,3000.0,83.39999999999999,66.80955884705205,64.45396145610277,66.39676113360323,3000.0,-1.0,10.0
4000.0,0.171875,-4.446418542000983E-14,4000.0,80.4,60.78745198463509,60.16260162601627,60.48387096774195,4000.0,-1.0,10.0
5000.0,0.203125,-5.2548582769102524E-14,5000.0,80.80000000000001,61.56617823684844,63.70510396975426,61.368209255533216,5000.0,-1.0,10.0
6000.0,0.25,-6.467517879274156E-14,6000.0,78.9,57.61281820519415,57.113821138211385,55.765199161425585,6000.0,-1.0,10.0
7000.0,0.296875,-7.680177481638061E-14,7000.0,80.4,60.80000000000001,61.34122287968443,60.56338028169015,7000.0,-1.0,10.0
8000.0,0.34375,-8.892837084001965E-14,8000.0,82.69999999999999,65.40359802580531,64.10788381742738,63.50210970464134,8000.0,-1.0,10.0
9000.0,0.375,-9.701276818911235E-14,9000.0,81.0,61.99407107508772,60.905349794238695,60.41666666666667,9000.0,-1.0,10.0
10000.0,0.421875,-1.091393642127514E-13,10000.0,78.7,57.434733257661755,59.11708253358926,55.345911949685544,10000.0,-1.0,10.0
11000.0,0.46875,-1.2126596023639043E-13,11000.0,80.80000000000001,61.42409386803826,60.73619631901841,58.88650963597431,11000.0,-1.0,10.0
12000.0,0.5,-1.2935035758548313E-13,12000.0,82.19999999999999,64.42049379557375,62.28813559322033,65.02946954813359,12000.0,-1.0,10.0
13000.0,0.546875,-1.4147695360912217E-13,13000.0,81.39999999999999,62.77498478977872,63.52941176470587,60.25641025641024,13000.0,-1.0,10.0
14000.0,0.59375,-1.5360354963276122E-13,14000.0,81.2,62.36733484664689,63.35282651072126,61.55419222903886,14000.0,-1.0,10.0
15000.0,0.640625,-1.6573014565640026E-13,15000.0,83.1,66.18647458983592,64.86486486486486,64.49579831932772,15000.0,-1.0,10.0
16000.0,0.6875,-1.778567416800393E-13,16000.0,83.0,65.95642422300544,64.65696465696465,65.02057613168724,16000.0,-1.0,10.0
17000.0,0.734375,-1.8998333770367835E-13,17000.0,81.69999999999999,63.39999999999999,63.90532544378698,62.11180124223601,17000.0,-1.0,10.0
18000.0,0.78125,-2.021099337273174E-13,18000.0,83.7,67.38199486116335,66.04166666666666,65.82809224318657,18000.0,-1.0,10.0
19000.0,0.828125,-2.1423652975095645E-13,19000.0,84.6,69.17965857465927,69.3227091633466,67.84968684759916,19000.0,-1.0,10.0
20000.0,0.859375,-2.2232092710004914E-13,20000.0,83.5,66.99920798099154,68.4512428298279,66.86746987951805,20000.0,-1.0,10.0
21000.0,0.90625,-2.3444752312368816E-13,21000.0,80.4,60.76233183856503,60.56338028169015,58.56236786469346,21000.0,-1.0,10.0
22000.0,0.953125,-2.465741191473272E-13,22000.0,81.5,62.91128379082765,64.89563567362427,61.215932914046114,22000.0,-1.0,10.0
23000.0,1.0,-2.587007151709662E-13,23000.0,82.5,65.00027999776002,65.61886051080549,64.92985971943887,23000.0,-1.0,10.0
24000.0,1.046875,-2.708273111946052E-13,24000.0,83.39999999999999,66.79163149113576,66.12244897959184,65.41666666666666,24000.0,-1.0,10.0
25000.0,1.078125,-2.789117085436979E-13,25000.0,82.89999999999999,65.79507449072666,66.40471512770137,65.10204081632652,25000.0,-1.0,10.0
26000.0,1.125,-2.9103830456733694E-13,26000.0,83.3,66.46236153172619,67.82273603082851,65.70841889117042,26000.0,-1.0,10.0
27000.0,1.171875,-3.0316490059097596E-13,27000.0,82.0,64.01425035685868,63.03901437371662,63.92785571142283,27000.0,-1.0,10.0
28000.0,1.203125,-3.1124929794006866E-13,28000.0,82.69999999999999,65.36952518216029,66.66666666666666,64.97975708502022,28000.0,-1.0,10.0
29000.0,1.25,-3.233758939637077E-13,29000.0,81.5,62.99911197868747,63.14741035856572,62.77665995975854,29000.0,-1.0,10.0
30000.0,1.28125,-3.314602913128004E-13,30000.0,82.69999999999999,65.17741403048284,66.01178781925343,62.87553648068669,30000.0,-1.0,10.0
31000.0,1.328125,-3.435868873364394E-13,31000.0,85.0,69.92915308466748,69.38775510204081,68.81496881496881,31000.0,-1.0,10.0
32000.0,1.375,-3.557134833600784E-13,32000.0,81.3,62.4844521125065,63.8996138996139,60.87866108786609,32000.0,-1.0,10.0
33000.0,1.40625,-3.637978807091711E-13,33000.0,85.0,69.98403150476052,69.51219512195121,70.703125,33000.0,-1.0,10.0
34000.0,1.453125,-3.7592447673281013E-13,34000.0,83.6,67.1975070105328,67.13426853707413,67.13426853707413,34000.0,-1.0,10.0
35000.0,1.5,-3.8805107275644915E-13,35000.0,82.19999999999999,64.40156633108141,63.22314049586776,62.127659574468076,35000.0,-1.0,10.0
36000.0,1.546875,-4.0017766878008817E-13,36000.0,84.1,68.21728979435187,67.4846625766871,67.14876033057851,36000.0,-1.0,10.0
37000.0,1.59375,-4.123042648037272E-13,37000.0,82.8,65.53976350660953,67.17557251908396,64.24116424116423,37000.0,-1.0,10.0
38000.0,1.625,-4.203886621528199E-13,38000.0,84.5,69.01858884669197,69.18489065606362,68.87550200803211,38000.0,-1.0,10.0
39000.0,1.671875,-4.325152581764589E-13,39000.0,83.5,66.93307253881856,66.86746987951805,66.18852459016392,39000.0,-1.0,10.0
40000.0,1.71875,-4.4464185420009793E-13,40000.0,82.39999999999999,64.80281577473801,64.44444444444444,63.86036960985625,40000.0,-1.0,10.0
41000.0,1.765625,-4.56768450223737E-13,41000.0,82.6,65.20501047849109,64.77732793522266,63.21353065539112,41000.0,-1.0,10.0
42000.0,1.8125,-4.68895046247376E-13,42000.0,80.5,60.97127485829571,60.764587525150915,59.2901878914405,42000.0,-1.0,10.0
43000.0,1.859375,-4.81021642271015E-13,43000.0,78.7,57.32831156342657,58.235294117647065,54.19354838709678,43000.0,-1.0,10.0
44000.0,1.90625,-4.931482382946541E-13,44000.0,78.2,56.2731922575469,55.959595959595966,53.71549893842887,44000.0,-1.0,10.0
45000.0,1.953125,-5.052748343182931E-13,45000.0,79.2,58.39983359933441,55.55555555555556,57.89473684210527,45000.0,-1.0,10.0
46000.0,2.0,-5.174014303419321E-13,46000.0,80.9,61.70994178307381,61.72344689378758,59.10064239828695,46000.0,-1.0,10.0
