learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.015625,-4.042198674546348E-15,1000.0,87.2,74.299769099488,73.05263157894737,72.11328976034858,1000.0,-1.0,10.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,96.6,93.18568994889267,93.14516129032258,93.07535641547861,2000.0,-1.0,10.0
3000.0,0.046875,-1.2126596023639042E-14,3000.0,97.39999999999999,94.7991678668587,94.43254817987152,94.73684210526315,3000.0,-1.0,10.0
4000.0,0.0625,-1.616879469818539E-14,4000.0,96.8,93.59938554101193,93.4959349593496,93.54838709677419,4000.0,-1.0,10.0
5000.0,0.078125,-2.021099337273174E-14,5000.0,98.3,96.59904773336534,96.78638941398866,96.579476861167,5000.0,-1.0,10.0
6000.0,0.09375,-2.4253192047278088E-14,6000.0,98.9,97.79553816925457,97.76422764227642,97.69392033542977,6000.0,-1.0,10.0
7000.0,0.109375,-2.8295390721824436E-14,7000.0,98.5,97.0,97.0414201183432,96.98189134808854,7000.0,-1.0,10.0
8000.0,0.125,-3.233758939637078E-14,8000.0,98.3,96.58686626137376,96.47302904564316,96.41350210970464,8000.0,-1.0,10.0
9000.0,0.140625,-3.637978807091713E-14,9000.0,99.9,99.79999039953917,99.79423868312757,99.79166666666667,9000.0,-1.0,10.0
10000.0,0.140625,-3.637978807091713E-14,10000.0,99.2,98.39836633366033,98.46449136276392,98.32285115303982,10000.0,-1.0,10.0
11000.0,0.15625,-4.042198674546348E-14,11000.0,99.1,98.18926596866223,98.15950920245399,98.07280513918629,11000.0,-1.0,10.0
12000.0,0.171875,-4.446418542000983E-14,12000.0,99.7,99.39935129940336,99.36440677966102,99.41060903732809,12000.0,-1.0,10.0
13000.0,0.1875,-4.8506384094556176E-14,13000.0,99.6,99.19984637050312,99.2156862745098,99.14529914529915,13000.0,-1.0,10.0
14000.0,0.203125,-5.2548582769102524E-14,14000.0,99.5,98.99971992157805,99.02534113060429,98.97750511247445,14000.0,-1.0,10.0
15000.0,0.21875,-5.659078144364887E-14,15000.0,99.8,99.59996159631325,99.58419958419958,99.57983193277312,15000.0,-1.0,10.0
16000.0,0.21875,-5.659078144364887E-14,16000.0,100.0,100.0,100.0,100.0,16000.0,-1.0,10.0
17000.0,0.234375,-6.063298011819522E-14,17000.0,99.9,99.79989434421374,99.80276134122288,99.79296066252587,17000.0,-1.0,10.0
18000.0,0.25,-6.467517879274156E-14,18000.0,100.0,100.0,100.0,100.0,18000.0,-1.0,10.0
19000.0,0.265625,-6.871737746728791E-14,19000.0,100.0,100.0,100.0,100.0,19000.0,-1.0,10.0
20000.0,0.265625,-6.871737746728791E-14,20000.0,99.9,99.79999519988479,99.80879541108987,99.79919678714859,20000.0,-1.0,10.0
21000.0,0.28125,-7.275957614183426E-14,21000.0,100.0,100.0,100.0,100.0,21000.0,-1.0,10.0
22000.0,0.296875,-7.680177481638061E-14,22000.0,100.0,100.0,100.0,100.0,22000.0,-1.0,10.0
23000.0,0.296875,-7.680177481638061E-14,23000.0,100.0,100.0,100.0,100.0,23000.0,-1.0,10.0
24000.0,0.3125,-8.084397349092696E-14,24000.0,100.0,100.0,100.0,100.0,24000.0,-1.0,10.0
25000.0,0.328125,-8.48861721654733E-14,25000.0,99.9,99.79989434421374,99.80353634577604,99.79591836734694,25000.0,-1.0,10.0
26000.0,0.34375,-8.892837084001965E-14,26000.0,100.0,100.0,100.0,100.0,26000.0,-1.0,10.0
27000.0,0.34375,-8.892837084001965E-14,27000.0,100.0,100.0,100.0,100.0,27000.0,-1.0,10.0
28000.0,0.359375,-9.2970569514566E-14,28000.0,100.0,100.0,100.0,100.0,28000.0,-1.0,10.0
29000.0,0.375,-9.701276818911235E-14,29000.0,100.0,100.0,100.0,100.0,29000.0,-1.0,10.0
30000.0,0.390625,-1.010549668636587E-13,30000.0,100.0,100.0,100.0,100.0,30000.0,-1.0,10.0
31000.0,0.390625,-1.010549668636587E-13,31000.0,100.0,100.0,100.0,100.0,31000.0,-1.0,10.0
32000.0,0.40625,-1.0509716553820505E-13,32000.0,100.0,100.0,100.0,100.0,32000.0,-1.0,10.0
33000.0,0.421875,-1.091393642127514E-13,33000.0,100.0,100.0,100.0,100.0,33000.0,-1.0,10.0
34000.0,0.4375,-1.1318156288729775E-13,34000.0,100.0,100.0,100.0,100.0,34000.0,-1.0,10.0
35000.0,0.4375,-1.1318156288729775E-13,35000.0,100.0,100.0,100.0,100.0,35000.0,-1.0,10.0
36000.0,0.453125,-1.1722376156184408E-13,36000.0,100.0,100.0,100.0,100.0,36000.0,-1.0,10.0
37000.0,0.46875,-1.2126596023639043E-13,37000.0,100.0,100.0,100.0,100.0,37000.0,-1.0,10.0
38000.0,0.484375,-1.2530815891093678E-13,38000.0,100.0,100.0,100.0,100.0,38000.0,-1.0,10.0
39000.0,0.484375,-1.2530815891093678E-13,39000.0,100.0,100.0,100.0,100.0,39000.0,-1.0,10.0
40000.0,0.5,-1.2935035758548313E-13,40000.0,100.0,100.0,100.0,100.0,40000.0,-1.0,10.0
41000.0,0.515625,-1.3339255626002948E-13,41000.0,100.0,100.0,100.0,100.0,41000.0,-1.0,10.0
42000.0,0.53125,-1.3743475493457582E-13,42000.0,100.0,100.0,100.0,100.0,42000.0,-1.0,10.0
43000.0,0.53125,-1.3743475493457582E-13,43000.0,100.0,100.0,100.0,100.0,43000.0,-1.0,10.0
44000.0,0.546875,-1.4147695360912217E-13,44000.0,100.0,100.0,100.0,100.0,44000.0,-1.0,10.0
45000.0,0.5625,-1.4551915228366852E-13,45000.0,100.0,100.0,100.0,100.0,45000.0,-1.0,10.0
46000.0,0.578125,-1.4956135095821487E-13,46000.0,100.0,100.0,100.0,100.0,46000.0,-1.0,10.0
47000.0,0.578125,-1.4956135095821487E-13,47000.0,100.0,100.0,100.0,100.0,47000.0,-1.0,10.0
48000.0,0.59375,-1.5360354963276122E-13,48000.0,100.0,100.0,100.0,100.0,48000.0,-1.0,10.0
49000.0,0.609375,-1.5764574830730757E-13,49000.0,100.0,100.0,100.0,100.0,49000.0,-1.0,10.0
50000.0,0.625,-1.6168794698185392E-13,50000.0,100.0,100.0,100.0,100.0,50000.0,-1.0,10.0
51000.0,0.625,-1.6168794698185392E-13,51000.0,100.0,100.0,100.0,100.0,51000.0,-1.0,10.0
52000.0,0.640625,-1.6573014565640026E-13,52000.0,100.0,100.0,100.0,100.0,52000.0,-1.0,10.0
53000.0,0.65625,-1.697723443309466E-13,53000.0,100.0,100.0,100.0,100.0,53000.0,-1.0,10.0
54000.0,0.671875,-1.7381454300549296E-13,54000.0,100.0,100.0,100.0,100.0,54000.0,-1.0,10.0
55000.0,0.671875,-1.7381454300549296E-13,55000.0,100.0,100.0,100.0,100.0,55000.0,-1.0,10.0
56000.0,0.6875,-1.778567416800393E-13,56000.0,100.0,100.0,100.0,100.0,56000.0,-1.0,10.0
