learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.014862997,-3.845067953483926E-15,1000.0,86.2,72.25851844406472,70.94736842105263,69.93464052287581,1000.0,-1.0,1.0
2000.0,0.027938668,-7.22775339252419E-15,2000.0,88.3,76.53429602888086,76.41129032258065,76.17107942973523,2000.0,-1.0,4.0
3000.0,0.052672232,-1.3626344088051054E-14,3000.0,89.3,78.60034239452169,77.08779443254818,78.34008097165992,3000.0,-1.0,7.0
4000.0,0.083886637,-2.1701532985187237E-14,4000.0,91.0,81.99711953912627,81.70731707317074,81.85483870967742,4000.0,-1.0,9.0
5000.0,0.123944148,-3.206443972885609E-14,5000.0,88.9,77.77065726759322,79.01701323251417,77.66599597585513,5000.0,-1.0,12.0
6000.0,0.170981452,-4.423302391337024E-14,6000.0,90.3,80.57140110242277,80.28455284552845,79.66457023060796,6000.0,-1.0,14.0
7000.0,0.22320197,-5.774250926656856E-14,7000.0,89.8,79.60000000000001,79.88165680473374,79.47686116700201,7000.0,-1.0,16.0
8000.0,0.277633982,-7.182410969916317E-14,8000.0,91.9,83.75099299487255,83.19502074688798,82.9113924050633,8000.0,-1.0,16.0
9000.0,0.335458869,-8.678344932074347E-14,9000.0,90.4,80.79884793087587,80.24691358024691,80.0,9000.0,-1.0,17.0
10000.0,0.396163695,-1.0248783122127255E-13,10000.0,89.8,79.60416075120676,80.42226487523992,78.61635220125787,10000.0,-1.0,16.0
11000.0,0.448357539,-1.159904159915944E-13,11000.0,89.60000000000001,79.05995296543283,78.73210633946832,77.73019271948608,11000.0,-1.0,16.0
12000.0,0.507325253,-1.3124540577539139E-13,12000.0,90.5,81.0013679015111,79.87288135593221,81.335952848723,12000.0,-1.0,19.0
13000.0,0.576185206,-1.4905952486313051E-13,13000.0,92.0,84.00000000000001,84.31372549019609,82.90598290598291,13000.0,-1.0,21.0
14000.0,0.642829382,-1.6630042085631026E-13,14000.0,92.10000000000001,84.19026120089977,84.60038986354776,83.84458077709613,14000.0,-1.0,18.0
