learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.40625,-1.0509716553820503E-12,1000.0,0.0,80.2,0.5868938953886328,60.1215133787127,1.1862686888872216,58.31578947368423,1.2355660955550192,56.86274509803922,1.2786359376658707
2000.0,0.828125,-2.142365297509565E-12,2000.0,0.0,82.97999999999999,0.7728734264634373,65.84807160397406,1.5311727506860813,65.68548387096773,1.5582125533537017,65.33604887983707,1.5740802982962068
3000.0,1.234375,-3.1933369528916143E-12,3000.0,0.0,84.35000000000001,0.7153087911291645,68.6965498163503,1.4306036645662237,66.4882226980728,1.5317104735099865,68.31983805668015,1.447993504310048
4000.0,1.71875,-4.446418542000984E-12,4000.0,0.0,81.14,0.34705106892853915,62.27144848091051,0.6930478028660095,61.666666666666664,0.7053883514807714,61.975806451612904,0.6996997357430242
5000.0,2.171875,-5.618656157619422E-12,5000.0,0.0,80.83,0.6864562784491205,61.67470920151132,1.3773757681895544,63.76181474480151,1.2976489195635565,61.42857142857142,1.381199755430829
6000.0,2.640625,-6.83131575998333E-12,6000.0,0.0,81.05000000000001,0.928858319539515,61.99749784383172,1.8792614022880798,61.483739837398375,1.8879234136981997,60.27253668763103,1.9472920745063185
7000.0,3.15625,-8.165241322583624E-12,7000.0,0.0,81.87,0.7087547765859024,63.74,1.4175095531717994,64.24063116370807,1.3979384153568069,63.52112676056338,1.4260659488649898
8000.0,3.71875,-9.62043284542031E-12,8000.0,0.0,84.02,0.8310635755865301,67.90576350621966,1.6845550316169917,66.84647302904563,1.7241982895986108,66.28691983122361,1.7532986826720107
9000.0,4.21875,-1.0913936421275134E-11,9000.0,0.0,80.61,0.8211780156173982,61.22033418561294,1.6396010822646654,60.10288065843621,1.6896666988012354,59.604166666666664,1.7107875325362498
10000.0,4.703125,-1.2167018010384504E-11,10000.0,0.0,79.77,0.5457919831665651,59.515945700264865,1.0959646880942504,61.17082533589253,1.0475853803580846,57.589098532494766,1.1442179940598796
11000.0,5.21875,-1.3500943572984797E-11,11000.0,0.0,81.53,0.5657836257007689,62.83430508323607,1.1065143086175722,62.22903885480572,1.1570217294494236,60.44967880085652,1.2115281064256274
12000.0,5.765625,-1.4915713109076015E-11,12000.0,0.0,81.55,0.535931173027115,63.0881752971317,1.0671983843655326,60.91101694915253,1.1354474004811745,63.752455795677804,1.0529099666544495
13000.0,6.328125,-1.6370904631912702E-11,13000.0,0.0,83.45,1.0977249200050077,66.89339448181168,2.193697126180956,67.54901960784312,2.1524018039313915,64.63675213675214,2.34556606838677
14000.0,6.921875,-1.7906940128240328E-11,14000.0,0.0,82.1,0.8919392106839745,64.17401486304236,1.7826974374143332,65.10721247563353,1.7386729253098927,63.394683026584865,1.824006565815897
15000.0,7.46875,-1.9321709664331545E-11,15000.0,0.0,83.25,0.9466314547441956,66.49859899610635,1.8945968852018202,65.17671517671518,1.968048762461944,64.8109243697479,1.9887215435802441
16000.0,8.078125,-2.0898167147404608E-11,16000.0,0.0,83.86000000000001,0.5872724145478717,67.68338163376406,1.156851553066156,66.44490644490645,1.2209405707856025,66.79012345679011,1.2083794538022075
17000.0,8.65625,-2.2393780656986764E-11,17000.0,0.0,82.97,0.7958922316774082,65.93603086052813,1.5966698735943745,66.4102564102564,1.5698071630718144,64.74120082815735,1.6478100034728977
18000.0,9.234375,-2.388939416656892E-11,18000.0,0.0,84.6,0.8856886837057626,69.10511269957985,1.787482330050817,67.91666666666666,1.845184757720339,67.71488469601675,1.8567896933034889
19000.0,9.796875,-2.5344585689405607E-11,19000.0,0.0,83.1,0.7630348761506396,66.1547875861406,1.5339701677860613,66.33466135458166,1.5199897931287727,64.71816283924844,1.5929746892497705
20000.0,10.34375,-2.6759355225496824E-11,20000.0,0.0,82.28,1.0559882154224582,64.56453381507393,2.111163832892556,66.11854684512429,2.0190979262379707,64.41767068273091,2.1204582639005185
21000.0,10.90625,-2.821454674833351E-11,21000.0,0.0,81.61000000000001,0.9859569519563738,63.198521657707566,1.9694607094039398,62.99798792756538,1.983816804741196,61.120507399577164,2.0844755855314467
22000.0,11.484375,-2.9710160257915654E-11,22000.0,0.0,85.31000000000002,0.5258854966202752,70.55734429606278,1.03944357372534,72.12523719165085,0.9978851928278558,69.20335429769392,1.1024853178622191
23000.0,12.0625,-3.120577376749778E-11,23000.0,0.0,84.92,0.7828722046981158,69.83979627759813,1.5654668088469312,70.37328094302552,1.5380593412536712,69.77955911823646,1.568882173743724
24000.0,12.640625,-3.27013872770799E-11,24000.0,0.0,85.08,0.9886017061149247,70.15036144175508,1.9736041701304472,69.55102040816327,2.0175545022753494,68.91666666666667,2.059586887739419
25000.0,13.15625,-3.403531283968021E-11,25000.0,0.0,85.22999999999999,0.8192815280611575,70.42948795756362,1.6398826477556754,70.98231827111985,1.609590428410914,69.85714285714285,1.6720031184921562
26000.0,13.78125,-3.5652192309498744E-11,26000.0,0.0,85.13999999999999,0.9045563676312428,70.21394539841532,1.8221648921128542,71.36801541425818,1.7428831746266682,69.48665297741275,1.8574052723434085
27000.0,14.40625,-3.726907177931728E-11,27000.0,0.0,83.6,1.110555416597181,67.20251119406284,2.2179334278112433,66.32443531827514,2.2804012661133055,67.13426853707415,2.2255619571085794
28000.0,15.0625,-3.896679522262675E-11,28000.0,0.0,85.77000000000001,0.6532823109328614,71.52645357299703,1.3102648320888213,72.58188824662814,1.2587327763638905,71.19433198380567,1.322433827799313
