learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.017645171,-4.5648183570139944E-15,1000.0,69.19999999999999,39.66108335782152,35.157894736842096,32.89760348583876,1000.0,-1.0,750.0,353.5533905932738,-7.5,4.949747468305833,2.0,1.4142135623730951,1.5,0.7071067811865476,1.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.046608963,-1.2057772061477106E-14,2000.0,85.9,71.78871548619448,71.57258064516128,71.28309572301426,2000.0,-1.0,1250.0,645.4972243679028,-11.0,5.715476066494083,3.0,1.632993161855452,2.0,0.816496580927726,2.0,0.816496580927726,1.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.090211751,-2.3337844500525133E-14,3000.0,85.39999999999999,70.80373712164842,68.73661670235546,70.44534412955466,3000.0,-1.0,1750.0,935.4143466934853,-15.666666666666666,8.477420991472977,4.333333333333333,2.422120283277993,2.6666666666666665,1.2110601416389966,2.6666666666666665,1.2110601416389966,1.3333333333333335,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.144989998,-3.750901617523697E-14,4000.0,87.1,74.19215441494214,73.78048780487805,73.99193548387096,4000.0,-1.0,2250.0,1224.744871391589,-18.0,8.366600265340756,5.0,2.390457218668787,3.0,1.1952286093343936,3.0,1.1952286093343936,1.5,0.7559289460184544,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.2190507,-5.6668572748700784E-14,5000.0,86.0,71.99327838681283,73.53497164461248,71.83098591549295,5000.0,-1.0,2750.0,1513.8251770487457,-22.9,11.454741861391339,6.3999999999999995,3.2727833889689535,3.6999999999999993,1.6363916944844765,3.6999999999999993,1.6363916944844765,1.9000000000000001,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.301836863,-7.808541232306097E-14,6000.0,85.5,70.93582630448029,70.52845528455283,69.60167714884695,6000.0,-1.0,3100.0,1897.3665961010277,-25.0,15.477582354991865,7.0,4.422166387140534,3.999999999999999,2.2110831935702664,3.999999999999999,2.2110831935702664,2.0,1.1547005383792515,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.387811481,-1.003271074862116E-13,7000.0,85.39999999999999,70.8,71.20315581854044,70.62374245472837,7000.0,-1.0,3450.0,2060.8789926199506,-29.9,18.08897761376002,8.400000000000002,5.168279318217149,4.700000000000001,2.5841396591085743,4.700000000000001,2.5841396591085743,2.3000000000000003,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.470332663,-1.2167539628636508E-13,8000.0,88.3,76.49979512641904,75.72614107883817,75.31645569620254,8000.0,-1.0,3450.0,2408.895551446301,-26.400000000000002,19.466210040306596,7.400000000000001,5.561774297230456,4.2,2.780887148615228,4.2,2.780887148615228,1.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.557995508,-1.4435383698178665E-13,9000.0,85.1,70.1985695313375,69.34156378600822,68.95833333333333,9000.0,-1.0,3900.0,2726.414006223804,-31.299999999999997,20.987033033650935,8.8,5.996295152471696,4.9,2.998147576235848,4.9,2.998147576235848,2.2000000000000006,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.644202533,-1.6665565600204803E-13,10000.0,86.2,72.40187667238628,73.51247600767753,71.0691823899371,10000.0,-1.0,4599.999999999999,3080.404013906112,-38.300000000000004,26.49129836170528,10.8,7.568942389058651,5.9,3.7844711945293255,5.9,3.7844711945293255,2.4000000000000004,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
