learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.09375,-2.4253192047278088E-14,1000.0,84.1,68.05946163117717,66.52631578947367,65.359477124183,1000.0,-1.0,767.0,396.9340835285711,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,-5.254858276910252E-14,2000.0,88.0,75.93019757296159,75.80645161290323,75.56008146639512,2000.0,-1.0,653.0,424.0296111253448,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.328125,-8.488617216547329E-14,3000.0,86.7,73.40638246820762,71.5203426124197,73.07692307692307,3000.0,-1.0,431.0,367.92058321811186,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.4375,-1.1318156288729773E-13,4000.0,86.8,73.59493022660351,73.17073170731707,73.38709677419355,4000.0,-1.0,435.0,318.86081951569753,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1000000000000003,0.31622776601683794,1.1000000000000003,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.53125,-1.3743475493457582E-13,5000.0,88.6,77.18357217196382,78.44990548204159,77.06237424547284,5000.0,-1.0,433.0,275.6023705751942,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.640625,-1.6573014565640026E-13,6000.0,85.5,70.90363283193938,70.52845528455283,69.60167714884695,6000.0,-1.0,517.0000000000001,316.1240965893686,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.75,-1.940255363782247E-13,7000.0,85.3,70.6,71.00591715976331,70.4225352112676,7000.0,-1.0,596.0,300.0814704190995,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.859375,-2.2232092710004914E-13,8000.0,86.3,72.41929119591563,71.57676348547717,71.09704641350211,8000.0,-1.0,633.0,285.8923651384283,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.96875,-2.5061631782187356E-13,9000.0,86.0,71.99630351206359,71.19341563786008,70.83333333333333,9000.0,-1.0,526.0,309.199683771579,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.078125,-2.7891170854369797E-13,10000.0,86.0,72.01712551918226,73.12859884836853,70.64989517819707,10000.0,-1.0,449.0,308.02056208420026,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.1875,-3.072070992655224E-13,11000.0,86.5,72.66343217696276,72.39263803680981,71.09207708779442,11000.0,-1.0,518.0,320.0277765722497,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.296875,-3.355024899873468E-13,12000.0,86.6,73.13811020591442,71.61016949152543,73.6738703339882,12000.0,-1.0,587.0,328.12768517419823,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.40625,-3.637978807091712E-13,13000.0,87.8,75.59531430034568,76.07843137254902,73.93162393162393,13000.0,-1.0,523.0,363.77801533963606,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.515625,-3.9209327143099563E-13,14000.0,86.5,72.97730093278354,73.68421052631578,72.39263803680981,14000.0,-1.0,412.0,340.9398773977606,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.625,-4.2038866215282004E-13,15000.0,89.5,78.99831986558925,78.17047817047818,77.94117647058823,15000.0,-1.0,391.0,330.6038246737156,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.734375,-4.4868405287464446E-13,16000.0,85.8,71.53624118024375,70.47817047817048,70.78189300411523,16000.0,-1.0,425.0,384.628247648153,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.828125,-4.729372449219225E-13,17000.0,85.2,70.38827375640753,70.80867850098619,69.35817805383022,17000.0,-1.0,293.0,242.03076021218644,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.9375,-5.012326356437469E-13,18000.0,88.0,75.88240259505348,75.0,74.84276729559748,18000.0,-1.0,382.0,295.70255325241953,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,2.046875,-5.295280263655713E-13,19000.0,85.6,71.17590305495393,71.31474103585657,69.93736951983298,19000.0,-1.0,448.0,279.2768439300967,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.15625,-5.578234170873957E-13,20000.0,85.3,70.59788304757943,71.89292543021033,70.48192771084338,20000.0,-1.0,308.0,225.62505771005726,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.265625,-5.861188078092202E-13,21000.0,85.3,70.56114070573156,70.4225352112676,68.92177589852008,21000.0,-1.0,368.0,215.34468494330974,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.375,-6.144141985310446E-13,22000.0,87.7,75.32280974889454,76.66034155597723,74.21383647798741,22000.0,-1.0,407.0,216.13010484942217,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.484375,-6.42709589252869E-13,23000.0,87.9,75.79883834424052,76.2278978388998,75.75150300601202,23000.0,-1.0,471.0,354.9788726107513,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.59375,-6.710049799746934E-13,24000.0,87.6,75.18302518922944,74.6938775510204,74.16666666666667,24000.0,-1.0,499.0,359.24148486003736,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.703125,-6.993003706965178E-13,25000.0,86.8,73.56192917801634,74.06679764243614,73.06122448979592,25000.0,-1.0,423.0,287.05593725110634,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,2.8125,-7.275957614183422E-13,26000.0,86.7,73.33664787535183,74.373795761079,72.68993839835728,26000.0,-1.0,344.0,243.5934682576234,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,2.921875,-7.558911521401666E-13,27000.0,85.9,71.79593861516058,71.04722792607802,71.7434869739479,27000.0,-1.0,390.0,262.0008481750478,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,3.015625,-7.801443441874447E-13,28000.0,85.9,71.77267595031991,72.83236994219652,71.4574898785425,28000.0,-1.0,478.0,322.13868648973744,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,3.125,-8.084397349092691E-13,29000.0,85.39999999999999,70.79018550232878,70.91633466135457,70.62374245472837,29000.0,-1.0,428.0,274.6634304016463,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.234375,-8.367351256310935E-13,30000.0,87.0,73.72845733501472,74.4597249508841,72.1030042918455,30000.0,-1.0,311.0,199.4687388484165,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,3.34375,-8.650305163529179E-13,31000.0,87.8,75.53492289490043,75.10204081632654,74.63617463617463,31000.0,-1.0,425.0,269.82504619763444,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,3.453125,-8.933259070747423E-13,32000.0,84.6,69.05841129006332,70.27027027027026,67.78242677824267,32000.0,-1.0,388.0,286.1545813794433,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,3.578125,-9.256634964711131E-13,33000.0,87.8,75.5911151659204,75.20325203252033,76.171875,33000.0,-1.0,252.0,193.09180315188019,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
