learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,52.5,4.771451483560553,0.0,-3.4858387799564303,1000.0,-1.0
2000.0,0.0,0.0,2000.0,50.4,0.5513784461152942,0.0,-1.0183299389002045,2000.0,-1.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,53.300000000000004,6.595516584796071,0.0,5.465587044534418,3000.0,-1.0
4000.0,0.015625,-4.042198674546348E-15,4000.0,50.8,1.5937019969277983,0.0,0.8064516129032264,4000.0,-1.0
5000.0,0.015625,-4.042198674546348E-15,5000.0,47.099999999999994,-5.846572491896439,0.0,-6.438631790744473,5000.0,-1.0
6000.0,0.015625,-4.042198674546348E-15,6000.0,50.8,1.391344084081918,0.0,-3.1446540880503173,6000.0,-1.0
7000.0,0.03125,-8.084397349092695E-15,7000.0,49.3,-1.4000000000000012,0.0,-2.0120724346076475,7000.0,-1.0
8000.0,0.03125,-8.084397349092695E-15,8000.0,51.800000000000004,3.338627649163337,0.0,-1.6877637130801704,8000.0,-1.0
9000.0,0.03125,-8.084397349092695E-15,9000.0,51.4,2.7965006740242746,0.0,-1.250000000000001,9000.0,-1.0
10000.0,0.03125,-8.084397349092695E-15,10000.0,47.9,-4.313493080471555,0.0,-9.22431865828093,10000.0,-1.0
11000.0,0.046875,-1.2126596023639042E-14,11000.0,51.1,1.6468619516158824,0.0,-4.710920770877949,11000.0,-1.0
12000.0,0.046875,-1.2126596023639042E-14,12000.0,52.800000000000004,5.477498838494697,0.0,7.269155206286844,12000.0,-1.0
13000.0,0.046875,-1.2126596023639042E-14,13000.0,49.0,-2.014690115376608,0.0,-8.974358974358983,13000.0,-1.0
14000.0,0.046875,-1.2126596023639042E-14,14000.0,48.699999999999996,-2.6229875492110257,0.0,-4.907975460122704,14000.0,-1.0
15000.0,0.0625,-1.616879469818539E-14,15000.0,51.9,3.795382178344559,0.0,-1.0504201680672278,15000.0,-1.0
16000.0,0.0625,-1.616879469818539E-14,16000.0,51.9,3.6535534011697846,0.0,1.0288065843621408,16000.0,-1.0
17000.0,0.0625,-1.616879469818539E-14,17000.0,49.3,-1.4446356396814606,0.0,-4.968944099378887,17000.0,-1.0
18000.0,0.078125,-2.021099337273174E-14,18000.0,52.0,3.7964332527628493,0.0,-0.6289308176100634,18000.0,-1.0
19000.0,0.078125,-2.021099337273174E-14,19000.0,49.8,-0.44861713069124776,0.0,-4.801670146137791,19000.0,-1.0
20000.0,0.078125,-2.021099337273174E-14,20000.0,47.699999999999996,-4.602510460251052,0.0,-5.020080321285144,20000.0,-1.0
