learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.3125,-8.084397349092696E-13,1000.0,0.0,78.85000000000002,0.894737702097972,57.429897442198076,1.7933896108932406,55.473684210526315,1.8836583202062545,53.92156862745098,1.94931961241388
2000.0,0.625,-1.6168794698185384E-12,2000.0,0.0,81.25,1.590422725077969,62.39115877014357,3.1507443139312796,62.19758064516128,3.206497429592683,61.81262729124235,3.2391501529082842
3000.0,0.9375,-2.4253192047278085E-12,3000.0,0.0,82.42,1.405386463258809,64.83431589217066,2.8164770642965977,62.35546038543897,3.0093928549439215,64.41295546558705,2.8449118689449615
4000.0,1.265625,-3.274180926382541E-12,4000.0,0.0,78.72000000000001,1.489071298942176,57.42264171434766,2.980658818466203,56.747967479674806,3.02656768077678,57.0967741935484,3.002159876899547
5000.0,1.578125,-4.08262066129181E-12,5000.0,0.0,78.74000000000001,1.6614585292580917,57.45599471960196,3.307411475130753,59.81096408317581,3.1407533634368394,57.22334004024146,3.342974907963963
6000.0,1.90625,-4.931482382946546E-12,6000.0,0.0,79.67000000000002,1.2401164819842134,59.25008863251179,2.4634921940773618,58.67886178861789,2.5205619552524543,57.379454926624746,2.5998249098201427
7000.0,2.234375,-5.7803441046012826E-12,7000.0,0.0,80.32000000000001,2.593496138848527,60.64,5.18699227769705,61.183431952662716,5.115376999701231,60.40241448692152,5.21830209023848
8000.0,2.5625,-6.629205826256019E-12,8000.0,0.0,82.03,1.6839437837014202,63.93633619833668,3.374572557004359,62.71784232365144,3.493659302285103,62.088607594936704,3.5526240162477234
9000.0,2.890625,-7.478067547910755E-12,9000.0,0.0,80.21,1.006037330873512,60.41977496887968,2.011768596165836,59.27983539094651,2.0700356602335774,58.770833333333336,2.095911105986491
10000.0,3.21875,-8.326929269565492E-12,10000.0,0.0,80.81,1.6251153805191727,61.600893280255036,3.238779049312984,63.16698656429943,3.119223379115504,59.769392033542985,3.4069504832687145
11000.0,3.53125,-9.135369004474759E-12,11000.0,0.0,81.06,2.1381196307867167,61.84248061834734,4.320901512283095,61.2678936605317,4.372432782794932,59.443254817987146,4.578414626952298
12000.0,3.859375,-9.984230726129495E-12,12000.0,0.0,80.00999999999999,1.5271251131165084,60.00791336887762,3.0592566002448116,57.648305084745765,3.2354345616875135,60.72691552062869,3.0002458018006015
13000.0,4.1875,-1.0833092447784232E-11,13000.0,0.0,82.15999999999998,1.2222020200350554,64.30641957933398,2.443598683704119,65.01960784313725,2.3964745490883446,61.880341880341874,2.6115427778526845
14000.0,4.546875,-1.1762798142929891E-11,14000.0,0.0,80.7,0.9899494936611637,61.36339652004671,1.982452873521473,62.37816764132554,1.9297261085012944,60.53169734151329,2.02443659235412
15000.0,4.875,-1.2611659864584628E-11,15000.0,0.0,82.95999999999998,1.6807405775100663,65.91083043158937,3.3614981991473174,64.57380457380458,3.494263154906593,64.2016806722689,3.5309675998110746
16000.0,5.203125,-1.3460521586239364E-11,16000.0,0.0,82.22999999999999,1.9476766786210795,64.37732499708973,3.914751324966801,63.05613305613305,4.049223864077085,63.43621399176955,4.007565182347896
17000.0,5.53125,-1.4309383307894101E-11,17000.0,0.0,81.03999999999999,2.4042554865164476,62.08246874881983,4.8000219355750335,62.603550295857985,4.742121275180364,60.74534161490682,4.977754630468829
18000.0,5.859375,-1.5158245029548837E-11,18000.0,0.0,82.72999999999999,1.544200620241927,65.35517346417897,3.079124440458785,64.02083333333333,3.217084625504008,63.79454926624737,3.237317862142402
19000.0,6.171875,-1.5966684764458104E-11,19000.0,0.0,82.65,1.3226656586017607,65.24979354516324,2.6479684886109616,65.43824701195219,2.6347921486090957,63.778705636743204,2.7613061766216354
