learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.078125,-2.021099337273174E-14,1000.0,74.6,48.89850115682527,46.526315789473685,44.662309368191714,1000.0,-1.0,10.0
2000.0,0.140625,-3.637978807091713E-14,2000.0,75.9,51.55778894472361,51.41129032258065,50.91649694501018,2000.0,-1.0,10.0
3000.0,0.203125,-5.254858276910252E-14,3000.0,75.6,51.17343835046265,47.75160599571734,50.607287449392715,3000.0,-1.0,10.0
4000.0,0.265625,-6.871737746728791E-14,4000.0,75.6,51.19375280035845,50.40650406504065,50.806451612903224,4000.0,-1.0,10.0
5000.0,0.328125,-8.48861721654733E-14,5000.0,75.4,50.75666586596205,53.497164461247635,50.50301810865191,5000.0,-1.0,10.0
6000.0,0.390625,-1.010549668636587E-13,6000.0,74.3,48.3338158191,47.76422764227642,46.12159329140461,6000.0,-1.0,10.0
7000.0,0.453125,-1.1722376156184408E-13,7000.0,74.6,49.2,49.90138067061144,48.89336016096579,7000.0,-1.0,10.0
8000.0,0.515625,-1.3339255626002948E-13,8000.0,73.5,46.572149775401414,45.0207468879668,44.0928270042194,8000.0,-1.0,10.0
9000.0,0.578125,-1.4956135095821487E-13,9000.0,75.0,49.9969998199892,48.559670781893004,47.916666666666664,9000.0,-1.0,10.0
10000.0,0.640625,-1.6573014565640026E-13,10000.0,70.6,41.09986977862365,43.57005758157389,38.36477987421383,10000.0,-1.0,10.0
11000.0,0.703125,-1.8189894035458566E-13,11000.0,74.4,48.009748172217705,47.648261758691206,45.18201284796574,11000.0,-1.0,10.0
12000.0,0.765625,-1.9806773505277105E-13,12000.0,75.6,51.037837317194544,48.30508474576271,52.06286836935167,12000.0,-1.0,10.0
13000.0,0.828125,-2.1423652975095645E-13,13000.0,77.10000000000001,54.19010506269355,55.09803921568628,51.06837606837607,13000.0,-1.0,10.0
14000.0,0.90625,-2.3444752312368816E-13,14000.0,75.3,50.55292638591939,51.85185185185185,49.48875255623722,14000.0,-1.0,10.0
15000.0,0.96875,-2.5061631782187356E-13,15000.0,76.6,53.19251080172829,51.35135135135135,50.84033613445378,15000.0,-1.0,10.0
16000.0,1.03125,-2.6678511252005895E-13,16000.0,75.0,49.80725987793125,48.024948024948024,48.559670781893004,16000.0,-1.0,10.0
17000.0,1.078125,-2.7891170854369797E-13,17000.0,71.89999999999999,43.745545688226194,44.57593688362918,41.821946169772254,17000.0,-1.0,10.0
18000.0,1.140625,-2.9508050324188337E-13,18000.0,74.9,49.605274781756705,47.70833333333333,47.37945492662474,18000.0,-1.0,10.0
19000.0,1.21875,-3.152914966146151E-13,19000.0,75.1,50.12538757981942,50.39840637450199,48.01670146137787,19000.0,-1.0,10.0
20000.0,1.28125,-3.314602913128005E-13,20000.0,76.1,52.20802905111941,54.30210325047802,52.00803212851406,20000.0,-1.0,10.0
21000.0,1.34375,-3.4762908601098587E-13,21000.0,76.0,51.973104938765715,51.7102615694165,49.26004228329809,21000.0,-1.0,10.0
22000.0,1.40625,-3.6379788070917126E-13,22000.0,78.0,55.922953322407565,58.25426944971538,53.87840670859539,22000.0,-1.0,10.0
23000.0,1.46875,-3.7996667540735666E-13,23000.0,75.8,51.59632132042036,52.455795677799614,51.503006012024045,23000.0,-1.0,10.0
24000.0,1.546875,-4.001776687800884E-13,24000.0,74.2,48.342350062669944,47.3469387755102,46.25,24000.0,-1.0,10.0
25000.0,1.609375,-4.1634646347827377E-13,25000.0,75.2,50.318920478220456,51.2770137524558,49.38775510204081,25000.0,-1.0,10.0
26000.0,1.671875,-4.3251525817645916E-13,26000.0,76.4,52.55919045072789,54.52793834296725,51.54004106776181,26000.0,-1.0,10.0
27000.0,1.734375,-4.4868405287464456E-13,27000.0,72.8,45.6097902377572,44.147843942505126,45.49098196392785,27000.0,-1.0,10.0
28000.0,1.796875,-4.6485284757283E-13,28000.0,75.6,51.124732087414614,52.98651252408478,50.607287449392715,28000.0,-1.0,10.0
29000.0,1.859375,-4.810216422710153E-13,29000.0,74.8,49.568530763196236,49.800796812749006,49.29577464788733,29000.0,-1.0,10.0
30000.0,1.9375,-5.012326356437471E-13,30000.0,77.0,53.42998299181988,54.81335952848724,50.64377682403433,30000.0,-1.0,10.0
31000.0,2.0,-5.174014303419325E-13,31000.0,76.2,52.27304630316642,51.42857142857144,50.51975051975052,31000.0,-1.0,10.0
32000.0,2.0625,-5.335702250401179E-13,32000.0,74.7,49.09087982228088,51.15830115830116,47.071129707112966,32000.0,-1.0,10.0
33000.0,2.140625,-5.537812184128497E-13,33000.0,75.7,51.397278247581866,50.609756097560975,52.5390625,33000.0,-1.0,10.0
34000.0,2.203125,-5.699500131110351E-13,34000.0,76.4,52.79679018173237,52.705410821643284,52.705410821643284,34000.0,-1.0,10.0
35000.0,2.265625,-5.861188078092205E-13,35000.0,75.1,50.09900037676257,48.553719008264466,47.02127659574467,35000.0,-1.0,10.0
36000.0,2.328125,-6.022876025074059E-13,36000.0,78.0,55.96336151678197,55.01022494887526,54.545454545454554,36000.0,-1.0,10.0
37000.0,2.390625,-6.184563972055912E-13,37000.0,75.8,51.34485240601715,53.81679389312978,49.688149688149686,37000.0,-1.0,10.0
38000.0,2.453125,-6.346251919037766E-13,38000.0,76.1,52.06770687096386,52.48508946322068,52.00803212851406,38000.0,-1.0,10.0
39000.0,2.515625,-6.50793986601962E-13,39000.0,76.8,53.29492243333455,53.41365461847389,52.459016393442624,39000.0,-1.0,10.0
40000.0,2.59375,-6.710049799746938E-13,40000.0,73.7,47.37684581215735,46.868686868686865,45.9958932238193,40000.0,-1.0,10.0
41000.0,2.65625,-6.871737746728792E-13,41000.0,75.1,50.16292121338275,49.59514170040486,47.35729386892177,41000.0,-1.0,10.0
42000.0,2.71875,-7.033425693710646E-13,42000.0,76.1,52.18316847530331,51.911468812877274,50.10438413361169,42000.0,-1.0,10.0
43000.0,2.796875,-7.235535627437964E-13,43000.0,75.8,50.89186063028877,52.54901960784314,47.956989247311824,43000.0,-1.0,10.0
44000.0,2.859375,-7.397223574419818E-13,44000.0,77.5,54.74803707040804,54.545454545454554,52.22929936305732,44000.0,-1.0,10.0
45000.0,2.921875,-7.558911521401671E-13,45000.0,76.9,53.800000000000004,50.641025641025635,53.23886639676114,45000.0,-1.0,10.0
46000.0,2.984375,-7.720599468383525E-13,46000.0,75.0,49.57074619158275,49.899799599198396,46.46680942184154,46000.0,-1.0,10.0
47000.0,3.0625,-7.922709402110843E-13,47000.0,72.1,43.775391758560644,45.07874015748031,40.38461538461537,47000.0,-1.0,10.0
48000.0,3.125,-8.084397349092697E-13,48000.0,75.5,50.95173650872458,48.529411764705884,50.40485829959515,48000.0,-1.0,10.0
49000.0,3.1875,-8.246085296074551E-13,49000.0,75.7,51.39961119688957,52.16535433070867,51.00806451612904,49000.0,-1.0,10.0
50000.0,3.265625,-8.448195229801869E-13,50000.0,79.9,59.79903517684425,60.19801980198021,58.9795918367347,50000.0,-1.0,10.0
51000.0,3.328125,-8.609883176783723E-13,51000.0,76.5,52.90656662819033,53.55731225296443,51.345755693581786,51000.0,-1.0,10.0
