learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,93.10000000000001,86.1612515042118,85.47368421052633,84.96732026143792,1000.0,-1.0,10.0
2000.0,0.09375,-2.4253192047278088E-14,2000.0,93.5,86.95303091128062,86.89516129032259,86.76171079429736,2000.0,-1.0,10.0
3000.0,0.140625,-3.637978807091713E-14,3000.0,92.9,85.79477247627128,84.796573875803,85.62753036437249,3000.0,-1.0,10.0
4000.0,0.1875,-4.8506384094556176E-14,4000.0,93.8,87.59841259681238,87.39837398373983,87.49999999999999,4000.0,-1.0,10.0
5000.0,0.234375,-6.063298011819522E-14,5000.0,95.89999999999999,91.7911344251792,92.24952741020793,91.75050301810865,5000.0,-1.0,10.0
6000.0,0.28125,-7.275957614183426E-14,6000.0,93.89999999999999,87.74362065501306,87.60162601626014,87.2117400419287,6000.0,-1.0,10.0
7000.0,0.34375,-8.892837084001965E-14,7000.0,87.4,74.8,75.14792899408283,74.64788732394366,7000.0,-1.0,10.0
8000.0,0.390625,-1.010549668636587E-13,8000.0,98.4,96.79132373939132,96.6804979253112,96.62447257383965,8000.0,-1.0,10.0
9000.0,0.4375,-1.1318156288729775E-13,9000.0,94.0,87.99870386001687,87.65432098765432,87.49999999999999,9000.0,-1.0,10.0
10000.0,0.484375,-1.2530815891093678E-13,10000.0,99.5,98.99850175863091,99.04030710172745,98.9517819706499,10000.0,-1.0,10.0
11000.0,0.53125,-1.3743475493457582E-13,11000.0,95.5,90.92968693310543,90.79754601226992,90.36402569593147,11000.0,-1.0,10.0
12000.0,0.5625,-1.4551915228366852E-13,12000.0,96.39999999999999,92.79065669107163,92.37288135593221,92.92730844793712,12000.0,-1.0,10.0
13000.0,0.625,-1.6168794698185392E-13,13000.0,97.0,93.99625366228526,94.11764705882352,93.58974358974358,13000.0,-1.0,10.0
14000.0,0.671875,-1.7381454300549296E-13,14000.0,94.3,88.59041594939748,88.88888888888889,88.34355828220858,14000.0,-1.0,10.0
15000.0,0.71875,-1.85941139029132E-13,15000.0,95.0,89.99711917032104,89.6049896049896,89.49579831932772,15000.0,-1.0,10.0
16000.0,0.765625,-1.9806773505277105E-13,16000.0,98.5,96.99591444364334,96.88149688149687,96.91358024691358,16000.0,-1.0,10.0
17000.0,0.8125,-2.101943310764101E-13,17000.0,97.8,95.59670633633958,95.66074950690336,95.44513457556936,17000.0,-1.0,10.0
18000.0,0.859375,-2.2232092710004914E-13,18000.0,95.19999999999999,90.36009077581186,89.99999999999999,89.93710691823898,18000.0,-1.0,10.0
19000.0,0.90625,-2.3444752312368816E-13,19000.0,95.3,90.58674613856309,90.63745019920319,90.18789144050103,19000.0,-1.0,10.0
20000.0,0.953125,-2.465741191473272E-13,20000.0,97.3,94.59974078755779,94.83747609942638,94.57831325301204,20000.0,-1.0,10.0
21000.0,1.0,-2.587007151709662E-13,21000.0,95.89999999999999,91.7911344251792,91.75050301810865,91.33192389006342,21000.0,-1.0,10.0
22000.0,1.046875,-2.708273111946052E-13,22000.0,97.8,95.58741530845973,95.82542694497154,95.38784067085953,22000.0,-1.0,10.0
23000.0,1.09375,-2.8295390721824424E-13,23000.0,94.89999999999999,89.80024479412492,89.9803536345776,89.77955911823646,23000.0,-1.0,10.0
24000.0,1.140625,-2.9508050324188326E-13,24000.0,96.0,91.9956776659396,91.83673469387755,91.66666666666666,24000.0,-1.0,10.0
25000.0,1.1875,-3.072070992655223E-13,25000.0,94.39999999999999,88.80214998720245,88.99803536345775,88.57142857142856,25000.0,-1.0,10.0
26000.0,1.25,-3.233758939637077E-13,26000.0,93.30000000000001,86.55644287491474,87.09055876685936,86.2422997946612,26000.0,-1.0,10.0
27000.0,1.296875,-3.355024899873467E-13,27000.0,97.6,95.19879009510396,95.07186858316221,95.19038076152304,27000.0,-1.0,10.0
28000.0,1.34375,-3.476290860109857E-13,28000.0,95.7,91.39545680119102,91.71483622350674,91.29554655870444,28000.0,-1.0,10.0
29000.0,1.390625,-3.5975568203462474E-13,29000.0,92.10000000000001,84.19962079089899,84.26294820717132,84.1046277665996,29000.0,-1.0,10.0
30000.0,1.4375,-3.7188227805826376E-13,30000.0,86.7,73.06667314686561,73.87033398821218,71.45922746781116,30000.0,-1.0,10.0
31000.0,1.484375,-3.840088740819028E-13,31000.0,96.5,92.99147763680635,92.85714285714285,92.72349272349271,31000.0,-1.0,10.0
32000.0,1.53125,-3.961354701055418E-13,32000.0,92.4,84.72202119618534,85.32818532818534,84.10041841004184,32000.0,-1.0,10.0
33000.0,1.578125,-4.082620661291808E-13,33000.0,96.7,93.39778165463595,93.29268292682926,93.55468749999999,33000.0,-1.0,10.0
34000.0,1.625,-4.2038866215281984E-13,34000.0,93.10000000000001,86.19878549312341,86.17234468937876,86.17234468937876,34000.0,-1.0,10.0
35000.0,1.671875,-4.3251525817645886E-13,35000.0,94.69999999999999,89.3925323427693,89.04958677685948,88.72340425531914,35000.0,-1.0,10.0
36000.0,1.71875,-4.446418542000979E-13,36000.0,97.7,95.39985279528945,95.29652351738241,95.24793388429752,36000.0,-1.0,10.0
37000.0,1.78125,-4.608106488982833E-13,37000.0,94.39999999999999,88.780388118431,89.31297709923663,88.35758835758834,37000.0,-1.0,10.0
38000.0,1.828125,-4.729372449219223E-13,38000.0,94.1,88.19291574944967,88.27037773359841,88.15261044176705,38000.0,-1.0,10.0
39000.0,1.875,-4.850638409455613E-13,39000.0,96.6,93.17551374331099,93.1726907630522,93.0327868852459,39000.0,-1.0,10.0
40000.0,1.921875,-4.971904369692003E-13,40000.0,99.5,98.99971992157805,98.98989898989899,98.97330595482546,40000.0,-1.0,10.0
41000.0,1.96875,-5.093170329928394E-13,41000.0,96.7,93.39635478784288,93.31983805668015,93.02325581395348,41000.0,-1.0,10.0
42000.0,2.015625,-5.214436290164784E-13,42000.0,96.3,92.59928953179505,92.5553319919517,92.27557411273486,42000.0,-1.0,10.0
43000.0,2.0625,-5.335702250401174E-13,43000.0,95.3,90.54972453452366,90.78431372549018,89.89247311827955,43000.0,-1.0,10.0
44000.0,2.109375,-5.456968210637564E-13,44000.0,96.6,93.16431773859546,93.13131313131312,92.78131634819532,44000.0,-1.0,10.0
45000.0,2.15625,-5.578234170873954E-13,45000.0,92.7,85.39859826543349,84.40170940170941,85.22267206477734,45000.0,-1.0,10.0
46000.0,2.203125,-5.699500131110345E-13,46000.0,93.7,87.37313002068403,87.374749498998,86.50963597430408,46000.0,-1.0,10.0
47000.0,2.265625,-5.861188078092199E-13,47000.0,94.8,89.53301127214169,89.76377952755905,88.88888888888887,47000.0,-1.0,10.0
48000.0,2.3125,-5.982454038328589E-13,48000.0,94.89999999999999,89.79828611206682,89.28571428571428,89.67611336032387,48000.0,-1.0,10.0
49000.0,2.359375,-6.103719998564979E-13,49000.0,94.39999999999999,88.80058236971676,88.9763779527559,88.70967741935483,49000.0,-1.0,10.0
50000.0,2.40625,-6.224985958801369E-13,50000.0,88.3,76.60318196725245,76.83168316831683,76.12244897959184,50000.0,-1.0,10.0
51000.0,2.453125,-6.346251919037759E-13,51000.0,96.0,91.99385127778132,92.09486166007905,91.71842650103518,51000.0,-1.0,10.0
52000.0,2.5,-6.46751787927415E-13,52000.0,97.3,94.60043196544275,94.45585215605749,94.54545454545455,52000.0,-1.0,10.0
53000.0,2.546875,-6.58878383951054E-13,53000.0,97.2,94.40015679560972,94.38877755511021,94.34343434343434,53000.0,-1.0,10.0
54000.0,2.59375,-6.71004979974693E-13,54000.0,94.89999999999999,89.78406313849604,90.11627906976743,89.21775898520083,54000.0,-1.0,10.0
55000.0,2.65625,-6.871737746728784E-13,55000.0,91.10000000000001,82.19900314417607,82.71844660194175,82.05645161290323,55000.0,-1.0,10.0
56000.0,2.703125,-6.993003706965174E-13,56000.0,92.0,83.97788948749275,84.03193612774452,83.50515463917526,56000.0,-1.0,10.0
57000.0,2.75,-7.114269667201564E-13,57000.0,93.8,87.56692802855595,87.64940239043824,87.39837398373983,57000.0,-1.0,10.0
58000.0,2.796875,-7.235535627437954E-13,58000.0,92.30000000000001,84.57890394059073,85.07751937984497,84.99025341130604,58000.0,-1.0,10.0
59000.0,2.84375,-7.356801587674345E-13,59000.0,91.0,81.99863189602411,81.89134808853119,80.93220338983052,59000.0,-1.0,10.0
60000.0,2.90625,-7.518489534656199E-13,60000.0,94.6,89.17748917748916,89.13480885311871,88.70292887029288,60000.0,-1.0,10.0
61000.0,2.953125,-7.639755494892589E-13,61000.0,95.0,89.99743934447217,89.71193415637859,89.6265560165975,61000.0,-1.0,10.0
62000.0,3.0,-7.761021455128979E-13,62000.0,98.4,96.79820699591771,96.8565815324165,96.81274900398405,62000.0,-1.0,10.0
63000.0,3.046875,-7.882287415365369E-13,63000.0,89.2,78.20436235651206,78.65612648221344,76.82403433476395,63000.0,-1.0,10.0
64000.0,3.09375,-8.003553375601759E-13,64000.0,96.0,91.99208818312492,92.26305609284331,91.78644763860369,64000.0,-1.0,10.0
65000.0,3.140625,-8.12481933583815E-13,65000.0,94.19999999999999,88.40556532864224,87.36383442265793,87.91666666666666,65000.0,-1.0,10.0
66000.0,3.1875,-8.24608529607454E-13,66000.0,97.2,94.3829466259564,94.16666666666667,94.08033826638477,66000.0,-1.0,10.0
67000.0,3.234375,-8.36735125631093E-13,67000.0,93.2,86.36028113867583,86.00823045267491,85.59322033898306,67000.0,-1.0,10.0
68000.0,3.28125,-8.48861721654732E-13,68000.0,92.9,85.75807176327108,85.11530398322851,84.82905982905984,68000.0,-1.0,10.0
69000.0,3.34375,-8.650305163529174E-13,69000.0,93.0,85.98761304993616,86.11111111111111,86.11111111111111,69000.0,-1.0,10.0
70000.0,3.390625,-8.771571123765564E-13,70000.0,93.89999999999999,87.76564593378205,88.08593749999999,87.34439834024896,70000.0,-1.0,10.0
71000.0,3.4375,-8.892837084001955E-13,71000.0,96.39999999999999,92.78649632111312,92.68292682926828,92.5155925155925,71000.0,-1.0,10.0
72000.0,3.484375,-9.014103044238345E-13,72000.0,94.6,89.16115357441068,89.06882591093115,89.17835671342684,72000.0,-1.0,10.0
73000.0,3.53125,-9.135369004474736E-13,73000.0,93.8,87.59836298391387,86.94736842105262,87.5751503006012,73000.0,-1.0,10.0
74000.0,3.578125,-9.256634964711127E-13,74000.0,95.0,89.96423252471808,90.03984063745018,89.42917547568709,74000.0,-1.0,10.0
75000.0,3.625,-9.377900924947518E-13,75000.0,95.7,91.4000687994496,91.260162601626,91.29554655870444,75000.0,-1.0,10.0
76000.0,3.671875,-9.49916688518391E-13,76000.0,93.10000000000001,86.1553648964261,86.08870967741936,85.91836734693878,76000.0,-1.0,10.0
77000.0,3.71875,-9.6204328454203E-13,77000.0,95.6,91.13750166171843,90.96509240246405,90.41394335511981,77000.0,-1.0,10.0
78000.0,3.78125,-9.782120792402154E-13,78000.0,92.30000000000001,84.57037512023085,84.90196078431373,84.41295546558706,78000.0,-1.0,10.0
79000.0,3.828125,-9.903386752638545E-13,79000.0,90.0,79.99959999199984,80.58252427184468,79.95991983967936,79000.0,-1.0,10.0
80000.0,3.890625,-1.0065074699620398E-12,80000.0,94.3,88.59041594939748,89.18406072106261,87.94926004228329,80000.0,-1.0,10.0
81000.0,3.9375,-1.018634065985679E-12,81000.0,93.7,87.3969752740658,87.90786948176584,87.34939759036145,81000.0,-1.0,10.0
82000.0,3.984375,-1.030760662009318E-12,82000.0,92.30000000000001,84.59938397535902,84.44444444444446,84.47580645161291,82000.0,-1.0,10.0
83000.0,4.03125,-1.0428872580329572E-12,83000.0,96.7,93.39270554692379,93.61702127659574,92.94871794871794,83000.0,-1.0,10.0
84000.0,4.078125,-1.0550138540565963E-12,84000.0,96.2,92.39899666756011,92.43027888446214,92.21311475409836,84000.0,-1.0,10.0
85000.0,4.125,-1.0671404500802354E-12,85000.0,96.7,93.3920704845815,93.45238095238095,93.0379746835443,85000.0,-1.0,10.0
86000.0,4.171875,-1.0792670461038745E-12,86000.0,93.89999999999999,87.79120967096307,87.92079207920791,87.31808731808731,86000.0,-1.0,10.0
87000.0,4.21875,-1.0913936421275136E-12,87000.0,97.89999999999999,95.79969757822563,95.81673306772907,95.75757575757575,87000.0,-1.0,10.0
88000.0,4.265625,-1.1035202381511528E-12,88000.0,96.7,93.39704187475989,93.13929313929313,93.20987654320987,88000.0,-1.0,10.0
