learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,61.1,56.675242518404666,56.777777777777786,55.38990825688074,1000.0,-1.0,10.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,64.0,59.93482731910574,60.13289036544851,59.044368600682596,2000.0,-1.0,10.0
3000.0,0.09375,-2.4253192047278085E-14,3000.0,65.10000000000001,61.20209041802802,61.52149944873209,60.250569476082006,3000.0,-1.0,10.0
4000.0,0.125,-3.233758939637078E-14,4000.0,66.10000000000001,62.327305702245695,62.207357859531776,61.564625850340136,4000.0,-1.0,10.0
5000.0,0.15625,-4.042198674546348E-14,5000.0,67.30000000000001,63.64954156180246,64.02640264026404,62.925170068027214,5000.0,-1.0,10.0
6000.0,0.1875,-4.8506384094556176E-14,6000.0,65.8,61.93274785454304,62.04217536071033,61.18047673098752,6000.0,-1.0,10.0
7000.0,0.21875,-5.659078144364887E-14,7000.0,67.80000000000001,64.16931223996323,65.07592190889372,63.4920634920635,7000.0,-1.0,10.0
8000.0,0.234375,-6.063298011819522E-14,8000.0,67.10000000000001,63.462307316423086,64.0043763676149,62.82485875706215,8000.0,-1.0,10.0
9000.0,0.265625,-6.871737746728791E-14,9000.0,69.3,65.86237533373142,65.96452328159644,65.77480490523968,9000.0,-1.0,10.0
10000.0,0.296875,-7.680177481638061E-14,10000.0,69.5,66.01595578731559,65.88366890380313,65.6917885264342,10000.0,-1.0,10.0
11000.0,0.3125,-8.084397349092696E-14,11000.0,68.2,64.60783702688025,64.82300884955752,64.2294713160855,11000.0,-1.0,10.0
12000.0,0.34375,-8.892837084001965E-14,12000.0,70.1,66.745372991237,67.1067106710671,66.17647058823529,12000.0,-1.0,10.0
13000.0,0.375,-9.701276818911235E-14,13000.0,68.4,64.88014794793372,64.73214285714286,64.45444319460069,13000.0,-1.0,10.0
14000.0,0.390625,-1.010549668636587E-13,14000.0,66.4,62.639393423866096,62.62513904338154,61.861520998864926,14000.0,-1.0,10.0
15000.0,0.421875,-1.091393642127514E-13,15000.0,67.9,64.32397828763987,64.21404682274247,63.76975169300226,15000.0,-1.0,10.0
16000.0,0.453125,-1.1722376156184408E-13,16000.0,71.1,67.87743183957834,67.960088691796,66.97142857142858,16000.0,-1.0,10.0
17000.0,0.46875,-1.2126596023639043E-13,17000.0,69.0,65.48514525186935,66.12021857923497,64.93212669683257,17000.0,-1.0,10.0
18000.0,0.5,-1.2935035758548313E-13,18000.0,69.1,65.6472764627145,65.59020044543429,65.08474576271186,18000.0,-1.0,10.0
19000.0,0.53125,-1.3743475493457582E-13,19000.0,71.3,68.11033158588322,68.00445930880713,67.71653543307087,19000.0,-1.0,10.0
20000.0,0.546875,-1.4147695360912217E-13,20000.0,68.7,65.22206765363401,64.91031390134529,65.22222222222223,20000.0,-1.0,10.0
21000.0,0.578125,-1.4956135095821487E-13,21000.0,69.89999999999999,66.56621721739843,67.13973799126637,65.52119129438717,21000.0,-1.0,10.0
22000.0,0.609375,-1.5764574830730757E-13,22000.0,70.7,67.4308015691017,67.69570011025358,66.8176670441676,22000.0,-1.0,10.0
23000.0,0.625,-1.6168794698185392E-13,23000.0,68.89999999999999,65.43303734676887,65.78657865786577,65.13452914798205,23000.0,-1.0,10.0
24000.0,0.65625,-1.697723443309466E-13,24000.0,68.60000000000001,65.09610243515823,64.87695749440716,64.35868331441544,24000.0,-1.0,10.0
25000.0,0.6875,-1.778567416800393E-13,25000.0,65.9,62.08811123192515,62.06896551724138,61.38165345413364,25000.0,-1.0,10.0
26000.0,0.703125,-1.8189894035458566E-13,26000.0,48.0,42.09180008753047,42.22222222222222,41.17647058823529,26000.0,-1.0,10.0
27000.0,0.734375,-1.8998333770367835E-13,27000.0,50.8,45.22457368129831,45.51495016611296,44.027303754266214,27000.0,-1.0,10.0
28000.0,0.765625,-1.9806773505277105E-13,28000.0,50.0,44.53669840276784,44.87320837927233,43.052391799544424,28000.0,-1.0,10.0
29000.0,0.796875,-2.0615213240186375E-13,29000.0,53.1,47.903765258142954,47.71460423634337,46.82539682539683,29000.0,-1.0,10.0
30000.0,0.8125,-2.101943310764101E-13,30000.0,52.7,47.443276517255946,47.96479647964797,46.3718820861678,30000.0,-1.0,10.0
31000.0,0.84375,-2.182787284255028E-13,31000.0,48.1,42.21107765762235,42.39733629300777,41.08967082860386,31000.0,-1.0,10.0
32000.0,0.875,-2.263631257745955E-13,32000.0,51.800000000000004,46.40967027493396,47.72234273318872,45.3514739229025,32000.0,-1.0,10.0
33000.0,0.890625,-2.3040532444914184E-13,33000.0,66.7,62.99634074925188,63.56673960612692,62.37288135593221,33000.0,-1.0,10.0
34000.0,0.90625,-2.3444752312368816E-13,34000.0,72.6,69.50306694522016,69.6230598669623,69.45373467112597,34000.0,-1.0,10.0
35000.0,0.9375,-2.4253192047278086E-13,35000.0,73.0,69.95620282011109,69.76483762597984,69.62879640044994,35000.0,-1.0,10.0
36000.0,0.96875,-2.5061631782187356E-13,36000.0,74.8,71.98250463066938,72.15469613259668,71.65354330708661,36000.0,-1.0,10.0
37000.0,1.0,-2.5870071517096625E-13,37000.0,73.1,70.05968029526275,70.40704070407041,69.57013574660633,37000.0,-1.0,10.0
38000.0,1.03125,-2.6678511252005895E-13,38000.0,73.3,70.32561799401176,70.20089285714286,69.96625421822273,38000.0,-1.0,10.0
39000.0,1.0625,-2.7486950986915165E-13,39000.0,70.7,67.42953440908505,67.40823136818686,66.74233825198638,39000.0,-1.0,10.0
40000.0,1.09375,-2.8295390721824435E-13,40000.0,72.89999999999999,69.87302201381615,69.78818283166109,69.37853107344633,40000.0,-1.0,10.0
41000.0,1.109375,-2.8699610589279067E-13,41000.0,75.3,72.52353020353722,72.61640798226165,71.80365296803653,41000.0,-1.0,10.0
42000.0,1.140625,-2.9508050324188337E-13,42000.0,72.8,69.74893843241668,70.27322404371584,69.23076923076923,42000.0,-1.0,10.0
43000.0,1.171875,-3.0316490059097606E-13,43000.0,72.5,69.42735773437822,69.37639198218262,68.92655367231639,43000.0,-1.0,10.0
44000.0,1.203125,-3.1124929794006876E-13,44000.0,76.2,73.5544095799707,73.46711259754738,73.22834645669292,44000.0,-1.0,10.0
45000.0,1.21875,-3.152914966146151E-13,45000.0,72.1,69.01335868536674,68.7219730941704,69.0,45000.0,-1.0,10.0
46000.0,1.25,-3.233758939637078E-13,46000.0,75.5,72.75534634626955,73.224043715847,71.93585337915235,46000.0,-1.0,10.0
47000.0,1.28125,-3.314602913128005E-13,47000.0,76.0,73.30634308022556,73.568281938326,72.81993204983013,47000.0,-1.0,10.0
48000.0,1.3125,-3.3954468866189317E-13,48000.0,73.9,70.97862091740916,71.28712871287128,70.70707070707071,48000.0,-1.0,10.0
49000.0,1.34375,-3.4762908601098587E-13,49000.0,71.1,67.88507078063724,67.67337807606265,67.23356009070295,49000.0,-1.0,10.0
50000.0,1.375,-3.5571348336007857E-13,50000.0,69.19999999999999,65.74896885491462,65.7397107897664,65.118912797282,50000.0,-1.0,10.0
51000.0,1.390625,-3.597556820346249E-13,51000.0,31.3,23.61132731712307,23.666666666666668,22.28506787330317,51000.0,-1.0,10.0
52000.0,1.421875,-3.678400793837176E-13,52000.0,39.7,32.923085137624476,33.22259136212625,31.32118451025057,52000.0,-1.0,10.0
53000.0,1.453125,-3.759244767328103E-13,53000.0,48.3,42.68070268802005,42.998897464167584,41.11617312072893,53000.0,-1.0,10.0
54000.0,1.484375,-3.84008874081903E-13,54000.0,53.0,47.758390335969125,47.603121516165,46.77236693091733,54000.0,-1.0,10.0
55000.0,1.515625,-3.920932714309957E-13,55000.0,50.1,44.646888190041985,45.04405286343612,43.42403628117914,55000.0,-1.0,10.0
56000.0,1.546875,-4.001776687800884E-13,56000.0,49.8,44.21614798055788,44.345898004434595,43.01929625425653,56000.0,-1.0,10.0
57000.0,1.578125,-4.0826206612918107E-13,57000.0,53.0,47.7954693131772,49.0238611713666,46.71201814058957,57000.0,-1.0,10.0
58000.0,1.59375,-4.123042648037274E-13,58000.0,52.1,46.78168045454445,47.5929978118162,45.87570621468927,58000.0,-1.0,10.0
59000.0,1.625,-4.203886621528201E-13,59000.0,52.6,47.25362770408618,47.450110864745014,47.15719063545151,59000.0,-1.0,10.0
60000.0,1.65625,-4.284730595019128E-13,60000.0,51.7,46.32039058306281,45.912653975363945,45.608108108108105,60000.0,-1.0,10.0
61000.0,1.6875,-4.365574568510055E-13,61000.0,53.1,47.93094911110692,48.17679558011051,47.30337078651686,61000.0,-1.0,10.0
62000.0,1.71875,-4.446418542000982E-13,62000.0,56.699999999999996,51.811412348520335,52.36523652365236,51.01809954751131,62000.0,-1.0,10.0
63000.0,1.75,-4.527262515491909E-13,63000.0,57.3,52.5725767307955,52.34375,51.96850393700787,63000.0,-1.0,10.0
64000.0,1.765625,-4.567684502237372E-13,64000.0,56.2,51.29014392761583,51.27919911012236,50.283768444948926,64000.0,-1.0,10.0
65000.0,1.796875,-4.648528475728299E-13,65000.0,55.50000000000001,50.51222626032571,50.390189520624304,49.71751412429379,65000.0,-1.0,10.0
66000.0,1.828125,-4.729372449219225E-13,66000.0,55.900000000000006,50.954823943387865,51.108647450110865,49.657534246575345,66000.0,-1.0,10.0
67000.0,1.859375,-4.810216422710151E-13,67000.0,57.199999999999996,52.466415523491364,53.22404371584698,51.58371040723981,67000.0,-1.0,10.0
68000.0,1.875,-4.850638409455615E-13,68000.0,58.9,54.28772263881072,54.23162583518931,53.559322033898304,68000.0,-1.0,10.0
69000.0,1.90625,-4.931482382946542E-13,69000.0,58.3,53.66069404501024,53.51170568561873,53.093363329583795,69000.0,-1.0,10.0
70000.0,1.9375,-5.012326356437468E-13,70000.0,57.199999999999996,52.4567000506536,52.01793721973094,52.444444444444436,70000.0,-1.0,10.0
71000.0,1.96875,-5.093170329928395E-13,71000.0,62.4,58.1626272089799,58.90710382513661,56.93012600229095,71000.0,-1.0,10.0
72000.0,2.0,-5.174014303419321E-13,72000.0,60.4,55.99760431401265,56.38766519823788,55.1528878822197,72000.0,-1.0,10.0
73000.0,2.015625,-5.214436290164785E-13,73000.0,61.199999999999996,56.8669389533785,57.315731573157315,56.45342312008979,73000.0,-1.0,10.0
74000.0,2.046875,-5.295280263655711E-13,74000.0,57.8,53.12522562650579,52.743561030235156,52.15419501133787,74000.0,-1.0,10.0
75000.0,2.078125,-5.376124237146638E-13,75000.0,56.8,51.980418681840256,51.99999999999999,51.07587768969422,75000.0,-1.0,10.0
76000.0,2.109375,-5.456968210637564E-13,76000.0,40.5,33.99464413683854,33.88888888888889,32.6923076923077,76000.0,-1.0,10.0
77000.0,2.125,-5.497390197383028E-13,77000.0,39.0,32.24202260894872,32.44739756367664,30.523917995444194,77000.0,-1.0,10.0
78000.0,2.15625,-5.578234170873954E-13,78000.0,37.2,30.19631729997577,30.760749724366043,28.473804100227788,78000.0,-1.0,10.0
79000.0,2.1875,-5.659078144364881E-13,79000.0,44.0,37.659885694947555,37.56967670011148,36.57984144960362,79000.0,-1.0,10.0
