learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.21875,-5.659078144364887E-13,1000.0,0.0,56.71999999999999,1.503181810545733,51.81295680168029,1.671597830584891,51.911111111111104,1.6702020117174798,50.366972477064216,1.7238323515432707
2000.0,0.375,-9.701276818911232E-13,2000.0,0.0,59.42999999999999,3.0984046073925042,54.85722439349708,3.451615728449897,55.07198228128461,3.431234338197679,53.8452787258248,3.5249199173976145
3000.0,0.546875,-1.4147695360912223E-12,3000.0,0.0,59.77,3.247922412866414,55.28535160614152,3.6275368709112246,55.64498346196251,3.5809508410875583,54.17995444191344,3.6992282606678994
4000.0,0.6875,-1.778567416800394E-12,4000.0,0.0,60.089999999999996,5.005652360637475,55.63788509983481,5.5801105472818975,55.5072463768116,5.580437414311567,54.75056689342403,5.675342812514147
5000.0,0.8125,-2.1019433107641002E-12,5000.0,0.0,62.169999999999995,4.209790176877383,57.94630877324253,4.68554182711217,58.382838283828384,4.631232317796898,57.10884353741497,4.773004735688647
6000.0,0.96875,-2.5061631782187336E-12,6000.0,0.0,61.169999999999995,3.561538369238153,56.83891474404308,3.9658387483722546,56.90344062153163,3.952872773849225,55.92508513053348,4.042608818658517
7000.0,1.109375,-2.869961058927905E-12,7000.0,0.0,63.61,2.8501267028365986,59.53464021650451,3.167122269237297,60.53145336225596,3.09124371240412,58.74149659863946,3.231436171016548
8000.0,1.25,-3.2337589396370768E-12,8000.0,0.0,62.72999999999999,3.747606643653456,58.58011738807885,4.164234069982715,59.22319474835886,4.1002260871482035,57.887005649717516,4.234583778139506
9000.0,1.390625,-3.5975568203462484E-12,9000.0,0.0,65.42,1.596384804627141,61.54500459721815,1.7823159333385739,61.6629711751663,1.7698279430456139,61.44927536231884,1.779693204712532
10000.0,1.53125,-3.96135470105542E-12,10000.0,0.0,64.86,2.110397540222638,60.8478428454585,2.358796772187315,60.69351230425056,2.3606236467814776,60.47244094488189,2.3739004951885705
11000.0,1.65625,-4.2847305950191295E-12,11000.0,0.0,66.09,2.273738966743731,62.24845737064244,2.5433191167783873,62.48893805309736,2.5151979720616615,61.856017997750286,2.55763663300758
