learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,10.0,-0.11869627658568531,0.0,-3.211009174311926,1000.0,-1.0
2000.0,0.0,0.0,2000.0,9.700000000000001,-0.428852330661162,0.0,-2.7303754266211597,2000.0,-1.0
3000.0,0.0,0.0,3000.0,9.3,-0.985920981578697,0.0,-3.3029612756264233,3000.0,-1.0
4000.0,0.0,0.0,4000.0,10.299999999999999,0.28170141428784173,0.0,-1.7006802721088434,4000.0,-1.0
5000.0,0.015625,-4.042198674546348E-15,5000.0,9.1,-1.1172960634335827,0.0,-3.0612244897959178,5000.0,-1.0
6000.0,0.015625,-4.042198674546348E-15,6000.0,9.9,-0.2412019153746199,0.0,-2.2701475595913725,6000.0,-1.0
7000.0,0.015625,-4.042198674546348E-15,7000.0,7.8,-2.5895516658562596,0.0,-4.5351473922902485,7000.0,-1.0
8000.0,0.015625,-4.042198674546348E-15,8000.0,8.6,-1.6637709917890375,0.0,-3.2768361581920917,8000.0,-1.0
9000.0,0.015625,-4.042198674546348E-15,9000.0,9.8,-0.3180817225348652,0.0,-0.5574136008918606,9000.0,-1.0
10000.0,0.015625,-4.042198674546348E-15,10000.0,10.6,0.4782387987923796,0.0,-0.5624296962879645,10000.0,-1.0
11000.0,0.03125,-8.084397349092695E-15,11000.0,9.6,-0.5617665053673729,0.0,-1.687289088863892,11000.0,-1.0
12000.0,0.03125,-8.084397349092695E-15,12000.0,9.1,-1.094692028199746,0.0,-2.828054298642535,12000.0,-1.0
13000.0,0.03125,-8.084397349092695E-15,13000.0,10.4,0.3503308680420397,0.0,-0.7874015748031503,13000.0,-1.0
14000.0,0.03125,-8.084397349092695E-15,14000.0,10.100000000000001,0.05391974296403088,0.0,-2.0431328036322345,14000.0,-1.0
