learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.09375,-2.4253192047278088E-14,1000.0,52.0,46.555859147966785,46.666666666666664,44.95412844036697,1000.0,-1.0,10.0
2000.0,0.1875,-4.8506384094556176E-14,2000.0,49.4,43.681598463153186,43.96456256921373,42.43458475540387,2000.0,-1.0,10.0
3000.0,0.265625,-6.871737746728791E-14,3000.0,54.400000000000006,49.18461363590776,49.72436604189637,48.063781321184514,3000.0,-1.0,10.0
4000.0,0.359375,-9.2970569514566E-14,4000.0,51.300000000000004,45.832614994466475,45.70791527313266,44.78458049886622,4000.0,-1.0,10.0
5000.0,0.453125,-1.1722376156184408E-13,5000.0,50.0,44.31066628946424,44.994499449944996,43.31065759637188,5000.0,-1.0,10.0
6000.0,0.546875,-1.4147695360912217E-13,6000.0,47.3,41.318801478276264,41.50943396226415,40.18161180476731,6000.0,-1.0,10.0
7000.0,0.640625,-1.6573014565640026E-13,7000.0,49.1,43.317538711671126,44.7939262472885,42.290249433106574,7000.0,-1.0,10.0
8000.0,0.71875,-1.85941139029132E-13,8000.0,52.800000000000004,47.45501949285188,48.35886214442014,46.666666666666664,8000.0,-1.0,10.0
9000.0,0.8125,-2.101943310764101E-13,9000.0,50.4,44.798726809344146,45.01108647450111,44.70457079152732,9000.0,-1.0,10.0
10000.0,0.90625,-2.3444752312368816E-13,10000.0,52.800000000000004,47.45197756466636,47.20357941834452,46.906636670416205,10000.0,-1.0,10.0
11000.0,1.0,-2.5870071517096625E-13,11000.0,53.1,47.78881745567894,48.11946902654868,47.24409448818898,11000.0,-1.0,10.0
12000.0,1.09375,-2.8295390721824435E-13,12000.0,52.300000000000004,46.88592276522799,47.52475247524753,46.040723981900456,12000.0,-1.0,10.0
13000.0,1.203125,-3.1124929794006876E-13,13000.0,52.900000000000006,47.598603074437804,47.43303571428572,47.01912260967379,13000.0,-1.0,10.0
14000.0,1.296875,-3.3550248998734685E-13,14000.0,48.699999999999996,42.94560814643293,42.93659621802002,41.77071509648127,14000.0,-1.0,10.0
15000.0,1.375,-3.5571348336007857E-13,15000.0,46.400000000000006,40.37561140027209,40.24526198439242,39.503386004514674,15000.0,-1.0,10.0
16000.0,1.46875,-3.7996667540735666E-13,16000.0,50.8,45.20175666238602,45.45454545454546,43.77142857142857,16000.0,-1.0,10.0
17000.0,1.5625,-4.0421986745463475E-13,17000.0,45.800000000000004,39.608883956576335,40.765027322404364,38.68778280542987,17000.0,-1.0,10.0
18000.0,1.65625,-4.2847305950191284E-13,18000.0,49.4,43.71048053005593,43.652561247216035,42.824858757062145,18000.0,-1.0,10.0
19000.0,1.75,-4.5272625154919093E-13,19000.0,50.5,44.948741161214556,44.81605351170569,44.31946006749157,19000.0,-1.0,10.0
20000.0,1.84375,-4.76979443596469E-13,20000.0,49.8,44.20294123858356,43.7219730941704,44.22222222222222,20000.0,-1.0,10.0
21000.0,1.921875,-4.971904369692007E-13,21000.0,52.900000000000006,47.59866137387187,48.580786026200876,46.04810996563574,21000.0,-1.0,10.0
22000.0,2.015625,-5.214436290164788E-13,22000.0,53.7,48.484406797387955,48.95259095920618,47.56511891279729,22000.0,-1.0,10.0
23000.0,2.109375,-5.456968210637568E-13,23000.0,56.89999999999999,52.06903837813191,52.58525852585259,51.681614349775785,23000.0,-1.0,10.0
24000.0,2.203125,-5.699500131110349E-13,24000.0,47.8,41.87231284722106,41.61073825503356,40.74914869466515,24000.0,-1.0,10.0
25000.0,2.296875,-5.942032051583129E-13,25000.0,50.1,44.457368525916365,44.49388209121246,43.4881087202718,25000.0,-1.0,10.0
26000.0,2.390625,-6.184563972055909E-13,26000.0,56.699999999999996,51.794244923087874,51.888888888888886,51.01809954751131,26000.0,-1.0,10.0
27000.0,2.484375,-6.42709589252869E-13,27000.0,47.3,41.36300417246176,41.63898117386489,40.045506257110354,27000.0,-1.0,10.0
28000.0,2.5625,-6.629205826256008E-13,28000.0,49.6,43.755335710339985,44.432194046306506,42.59681093394077,28000.0,-1.0,10.0
29000.0,2.65625,-6.871737746728788E-13,29000.0,52.1,46.72900522255932,46.59977703455965,45.69160997732426,29000.0,-1.0,10.0
30000.0,2.734375,-7.073847680456106E-13,30000.0,47.199999999999996,41.1802713282787,41.91419141914191,40.136054421768705,30000.0,-1.0,10.0
31000.0,2.828125,-7.316379600928886E-13,31000.0,47.599999999999994,41.679734932169296,41.84239733629301,40.52213393870601,31000.0,-1.0,10.0
32000.0,2.921875,-7.558911521401666E-13,32000.0,49.1,43.310973280423575,44.7939262472885,42.290249433106574,32000.0,-1.0,10.0
33000.0,3.015625,-7.801443441874447E-13,33000.0,50.7,45.12032896633639,46.06126914660832,44.293785310734464,33000.0,-1.0,10.0
34000.0,3.109375,-8.043975362347227E-13,34000.0,54.400000000000006,49.2600422832981,49.445676274944574,49.16387959866221,34000.0,-1.0,10.0
35000.0,3.203125,-8.286507282820008E-13,35000.0,49.2,43.39195831508615,43.11310190369541,42.857142857142854,35000.0,-1.0,10.0
36000.0,3.265625,-8.448195229801862E-13,36000.0,52.400000000000006,47.007894265163145,47.40331491712708,46.45669291338583,36000.0,-1.0,10.0
37000.0,3.359375,-8.690727150274642E-13,37000.0,54.7,49.58140321744106,50.16501650165017,48.75565610859729,37000.0,-1.0,10.0
38000.0,3.453125,-8.933259070747422E-13,38000.0,49.6,43.94113819510486,43.75,43.30708661417323,38000.0,-1.0,10.0
