learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.109751644,-2.8392828793989285E-14,1000.0,52.0,46.58630873558665,46.666666666666664,44.95412844036697,1000.0,-1.0
2000.0,0.195250521,-5.0511449420203764E-14,2000.0,70.3,66.98506991495043,67.109634551495,66.21160409556313,2000.0,-1.0
3000.0,0.274940368,-7.112726983096864E-14,3000.0,71.2,67.95927267548973,68.24696802646085,67.19817767653758,3000.0,-1.0
4000.0,0.356552219,-9.224031405109498E-14,4000.0,71.1,67.88010945213915,67.78149386845038,67.23356009070295,4000.0,-1.0
5000.0,0.434553731,-1.1241936098991168E-13,5000.0,71.6,68.42283162698024,68.75687568756875,67.80045351473922,5000.0,-1.0
6000.0,0.513910566,-1.3294903095811604E-13,6000.0,70.6,67.30561576091732,67.36958934517203,66.62883087400681,6000.0,-1.0
7000.0,0.603259017,-1.5606353913123406E-13,7000.0,70.0,66.63953348723628,67.46203904555314,65.98639455782312,7000.0,-1.0
8000.0,0.687306204,-1.77806606516242E-13,8000.0,71.6,68.39964215932811,68.9277899343545,67.909604519774,8000.0,-1.0
9000.0,0.771008233,-1.9946038127980297E-13,9000.0,71.7,68.53779688980002,68.62527716186253,68.45039018952063,9000.0,-1.0
10000.0,0.852956885,-2.2066055615949961E-13,10000.0,71.5,68.2844561563209,68.12080536912751,67.94150731158605,10000.0,-1.0
11000.0,0.932404209,-2.4121363569671907E-13,11000.0,73.5,70.54118620082463,70.6858407079646,70.1912260967379,11000.0,-1.0
12000.0,1.011301645,-2.616244588150746E-13,12000.0,72.8,69.74076064162938,70.07700770077008,69.23076923076923,12000.0,-1.0
13000.0,1.091219944,-2.822993799216217E-13,13000.0,72.6,69.54046116186466,69.41964285714286,69.17885264341957,13000.0,-1.0
14000.0,1.170699904,-3.028609024153815E-13,14000.0,69.5,66.10708161970365,66.0734149054505,65.38024971623156,14000.0,-1.0
15000.0,1.250710604,-3.2355972772671115E-13,15000.0,71.6,68.41004649507241,68.33890746934225,67.94582392776523,15000.0,-1.0
16000.0,1.334530819,-3.4524407729299533E-13,16000.0,74.2,71.30099912568161,71.3968957871397,70.54794520547945,16000.0,-1.0
17000.0,1.418143592,-3.66874761465523E-13,17000.0,73.4,70.4262401522715,70.92896174863388,69.80703745743473,17000.0,-1.0
18000.0,1.497196998,-3.873259341344238E-13,18000.0,71.7,68.54811194204851,68.48552338530067,68.0225988700565,18000.0,-1.0
19000.0,1.582007662,-4.092665135653483E-13,19000.0,75.4,72.64742869151303,72.60579064587974,72.17194570135746,19000.0,-1.0
20000.0,1.665520574,-4.3087136362575827E-13,20000.0,72.1,68.99927664978848,68.79194630872483,69.03440621531631,20000.0,-1.0
21000.0,1.750417551,-4.5283427229151133E-13,21000.0,72.2,69.09617426200441,69.71677559912854,68.15578465063001,21000.0,-1.0
22000.0,1.834137666,-4.744927259162068E-13,22000.0,71.89999999999999,68.7389793777388,69.05286343612335,68.1766704416761,22000.0,-1.0
23000.0,1.917613157,-4.960878951371544E-13,23000.0,72.39999999999999,69.32832362619227,69.57001102535833,68.98876404494382,23000.0,-1.0
24000.0,2.005849169,-5.189146145453883E-13,24000.0,65.0,61.076815460733734,60.451977401129945,59.63091118800462,24000.0,-1.0
25000.0,2.110659679,-5.460291684398221E-13,25000.0,61.7,57.412598532013384,58.18777292576419,56.32839224629418,25000.0,-1.0
26000.0,2.214841322,-5.729810339916084E-13,26000.0,58.699999999999996,54.092901295291576,53.95763656633221,53.28054298642534,26000.0,-1.0
27000.0,2.318505327,-5.99798986222595E-13,27000.0,57.699999999999996,52.96990073647133,52.68456375838926,52.52525252525252,27000.0,-1.0
28000.0,2.412144278,-6.24023449814154E-13,28000.0,59.5,54.99334901713253,55.5921052631579,53.661327231121284,28000.0,-1.0
29000.0,2.493593479,-6.450944163629578E-13,29000.0,61.6,57.28093127569819,57.380688124306324,56.708004509582864,29000.0,-1.0
30000.0,2.579065924,-6.672061990118689E-13,30000.0,62.9,58.750140371826895,59.005524861878456,57.840909090909086,30000.0,-1.0
31000.0,2.670937576,-6.909734610882071E-13,31000.0,59.9,55.45904398002877,55.73951434878587,54.37997724687145,31000.0,-1.0
32000.0,2.762062565,-7.145475609124535E-13,32000.0,63.6,59.52353417370186,60.477741585233446,58.730158730158735,32000.0,-1.0
33000.0,2.85176994,-7.377549229810635E-13,33000.0,67.0,63.2821323067166,64.01308615049074,62.585034013605444,33000.0,-1.0
34000.0,2.942304474,-7.611762716745337E-13,34000.0,70.3,66.96825282076662,67.0,66.77852348993288,34000.0,-1.0
35000.0,3.023536987,-7.821911808827685E-13,35000.0,71.2,67.96066281378803,67.64044943820224,67.60404949381326,35000.0,-1.0
36000.0,3.110678871,-8.047348485949139E-13,36000.0,73.2,70.21712604156711,70.45203969128997,69.92143658810326,36000.0,-1.0
37000.0,3.200982004,-8.280963336841928E-13,37000.0,69.39999999999999,65.96687442443978,66.33663366336633,65.3061224489796,37000.0,-1.0
38000.0,3.289189344,-8.509156356255214E-13,38000.0,71.2,67.98979230043358,67.82122905027933,67.53100338218715,38000.0,-1.0
39000.0,3.374517285,-8.729900349862874E-13,39000.0,69.6,66.21189807996888,66.18464961067852,65.57191392978481,39000.0,-1.0
40000.0,3.455983885,-8.940655026688344E-13,40000.0,70.39999999999999,67.08276571492118,67.07452725250278,66.62908680947012,40000.0,-1.0
41000.0,3.5385071,-9.15414317407542E-13,41000.0,72.8,69.72759285393117,69.81132075471697,68.94977168949772,41000.0,-1.0
42000.0,3.627804349,-9.385155795866418E-13,42000.0,72.0,68.88207752141302,69.43231441048034,68.18181818181817,42000.0,-1.0
43000.0,3.715199705,-9.61124820686463E-13,43000.0,70.8,67.5347778133561,67.33780760626398,66.89342403628117,43000.0,-1.0
44000.0,3.800338948,-9.831504037396776E-13,44000.0,74.0,71.08936388816922,71.1431742508324,70.68771138669673,44000.0,-1.0
45000.0,3.88419362,-1.0048436673565045E-12,45000.0,69.8,66.44679316892261,66.29464285714285,66.4816870144284,45000.0,-1.0
46000.0,3.970228579,-1.0271009727795093E-12,46000.0,72.3,69.19966953580456,69.75982532751091,68.34285714285714,46000.0,-1.0
47000.0,4.054372533,-1.0488690738566222E-12,47000.0,72.5,69.41219129949246,69.68026460859977,68.78547105561861,47000.0,-1.0
48000.0,4.137274417,-1.0703158505364426E-12,48000.0,67.9,64.32227323803713,64.64757709251103,63.85135135135136,48000.0,-1.0
49000.0,4.234213896,-1.0953941630820436E-12,49000.0,62.0,57.75999004025029,57.01357466063348,56.17070357554786,49000.0,-1.0
50000.0,4.35349366,-1.1262519233342675E-12,50000.0,54.300000000000004,49.16081979012431,50.27203482045702,47.89053591790194,50000.0,-1.0
51000.0,4.46670051,-1.1555386163915198E-12,51000.0,52.7,47.39827181637215,47.15083798882682,46.55367231638418,51000.0,-1.0
52000.0,4.568022915,-1.1817507950278621E-12,52000.0,53.2,47.99687981278878,47.709497206703915,47.47474747474748,52000.0,-1.0
53000.0,4.656467516,-1.2046314765595728E-12,53000.0,61.9,57.61943588243342,58.13186813186814,56.45714285714286,53000.0,-1.0
54000.0,4.734116472,-1.2247193170090517E-12,54000.0,66.5,62.71874913056785,62.9014396456257,62.27477477477478,54000.0,-1.0
55000.0,4.81944938,-1.24679500133627E-12,55000.0,68.4,64.8869381632313,65.00553709856037,64.0500568828214,55000.0,-1.0
56000.0,4.900876484,-1.2678602513753705E-12,56000.0,64.60000000000001,60.64699016174754,61.05610561056106,59.68109339407746,56000.0,-1.0
