learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.03125,-8.084397349092696E-14,1000.0,0.0,26.200000000000003,0.8602325267042641,17.609447758506867,0.9361465662204995,18.0,0.955813918560293,15.366972477064223,0.9865051911746147
2000.0,0.0625,-1.6168794698185392E-13,2000.0,0.0,25.130000000000003,0.5271516754112513,16.419495989214653,0.6072603239530867,17.087486157253597,0.5837781566016068,14.823663253697383,0.5997174919354394
3000.0,0.09375,-2.4253192047278086E-13,3000.0,0.0,26.17,0.5457919831665619,18.048239454349098,0.5121935352998485,18.59977949283352,0.6017552184857365,15.91116173120729,0.6216309603263808
4000.0,0.125,-3.2337589396370783E-13,4000.0,0.0,24.63,0.6236986451805071,16.351313277483708,0.6810052022234628,15.975473801560764,0.6953162153628867,14.546485260770975,0.7071413210663348
5000.0,0.15625,-4.042198674546348E-13,5000.0,0.0,32.73,3.158427878971858,25.154092150417597,3.4144856148891325,25.995599559955995,3.4746181286819127,23.730158730158728,3.5809839897640106
6000.0,0.1875,-4.850638409455616E-13,6000.0,0.0,42.81999999999999,3.302793430483422,36.333134695911674,3.7160593977663887,36.53718091009989,3.665697481113673,35.096481271282634,3.74891422302318
7000.0,0.21875,-5.659078144364881E-13,7000.0,0.0,45.62,4.963600843473752,39.34315250054389,5.565781340086924,41.019522776572664,5.383515014613612,38.34467120181406,5.627665355412417
8000.0,0.234375,-6.063298011819518E-13,8000.0,0.0,46.08,4.944087377868638,39.917691045567395,5.5407768418989125,41.006564551422315,5.409285971409891,39.07344632768361,5.586539410021059
9000.0,0.265625,-6.871737746728783E-13,9000.0,0.0,46.489999999999995,4.555448508227387,40.66486455039442,5.083002491652372,40.67627494456763,5.0503863727576315,40.34559643255296,5.078537913296977
10000.0,0.28125,-7.27595761418342E-13,10000.0,0.0,47.59,5.641010547765357,41.540603238661106,6.151824246218322,41.375838926174495,6.309855198842681,41.04611923509562,6.34534369827374
11000.0,0.3125,-8.084397349092685E-13,11000.0,0.0,46.510000000000005,4.831022436066487,40.46849529341561,5.354585369627264,40.82964601769912,5.344051367330184,39.83127109111361,5.43422096295443
12000.0,0.328125,-8.488617216547322E-13,12000.0,0.0,46.17,4.750450271056183,40.342160955693714,5.306729766340589,40.781078107810785,5.226017899951797,39.106334841628964,5.373812523819215
13000.0,0.34375,-8.89283708400196E-13,13000.0,0.0,48.190000000000005,5.437615899147958,42.27890572939563,5.9585863580603124,42.176339285714285,6.068767744584776,41.721034870641176,6.11655331737678
14000.0,0.375,-9.701276818911232E-13,14000.0,0.0,45.08,4.975004187602926,39.02504591576167,5.5374548504686185,38.909899888765295,5.533931243162323,37.66174801362088,5.646996807721828
15000.0,0.390625,-1.010549668636587E-12,15000.0,0.0,45.37,4.707452720008041,39.31067503617571,5.238644435754214,39.09698996655519,5.2479963433757435,38.34085778781039,5.3131520541851485
16000.0,0.421875,-1.0913936421275145E-12,16000.0,0.0,46.7,5.580919876388361,40.772572725083684,6.149281441172861,40.90909090909091,6.1872725902309975,39.15525114155251,6.370913100899955
17000.0,0.4375,-1.1318156288729782E-12,17000.0,0.0,48.38000000000001,6.129491550419714,42.34093092953098,6.794809338592555,43.58469945355191,6.698897869311163,41.407491486946654,6.957425142360631
18000.0,0.46875,-1.2126596023639057E-12,18000.0,0.0,46.14,4.38715296190036,40.26022794872401,4.91489314085958,40.02227171492205,4.885471004343385,39.14124293785311,4.957234985198145
19000.0,0.484375,-1.2530815891093694E-12,19000.0,0.0,45.57,5.134209881871903,39.55281354271661,5.624044982780986,39.38752783964365,5.717382941950896,38.42760180995475,5.807929730624323
20000.0,0.5,-1.2935035758548331E-12,20000.0,0.0,46.46,4.977996026961497,40.41770169411442,5.481234891433157,40.11185682326622,5.568228218077736,40.57713651498335,5.524967843464478
21000.0,0.53125,-1.3743475493457606E-12,21000.0,0.0,45.53,4.013048162625955,39.594761395626584,4.533531033445591,40.66448801742919,4.371512159723262,37.60595647193586,4.596847838059511
22000.0,0.546875,-1.4147695360912244E-12,22000.0,0.0,45.6,4.135214625627067,39.672850527785386,4.575245626952322,40.08810572687225,4.554201129545227,38.39184597961495,4.68314227137833
23000.0,0.578125,-1.4956135095821518E-12,23000.0,0.0,43.89999999999999,5.4113050387334685,37.739139746584584,5.979324439348486,38.14773980154355,5.966157705329072,36.96629213483146,6.08011802104884
24000.0,0.59375,-1.5360354963276156E-12,24000.0,0.0,40.550000000000004,3.0638574089246107,33.77933045319727,3.4388911026147815,32.82485875706215,3.4619857727961687,31.430219146482123,3.533860909947646
25000.0,0.625,-1.616879469818543E-12,25000.0,0.0,38.33,3.580828581953249,31.407658866597213,3.8743920106040157,32.674672489082965,3.90920150868259,29.68072976054732,4.083042852854333
26000.0,0.640625,-1.6573014565640068E-12,26000.0,0.0,34.33,2.4111085509459005,27.105403531158068,2.71580148584412,26.78929765886288,2.6879693990478266,25.71266968325792,2.7274983607985295
27000.0,0.671875,-1.7381454300549343E-12,27000.0,0.0,32.42,1.2691204303243506,24.856197132958034,1.4405518503152248,24.40715883668904,1.4195977967833902,24.15263748597082,1.4243775873449522
28000.0,0.703125,-1.8189894035458617E-12,28000.0,0.0,36.669999999999995,3.6681966504900854,29.295024626037357,4.051462607321928,30.55921052631579,4.022145450098776,27.54004576659039,4.1970213392335065
