learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0625,-1.616879469818539E-14,1000.0,60.5,56.014587567161264,56.111111111111114,54.701834862385326,1000.0,-1.0,9.0
2000.0,0.109375,-2.8295390721824433E-14,2000.0,56.599999999999994,51.70872124916408,51.937984496124024,50.625711035267344,2000.0,-1.0,9.0
3000.0,0.15625,-4.042198674546348E-14,3000.0,64.3,60.32129746022961,60.639470782800444,59.33940774487472,3000.0,-1.0,9.0
4000.0,0.203125,-5.2548582769102524E-14,4000.0,65.9,62.10951129047672,61.98439241917503,61.33786848072563,4000.0,-1.0,9.0
5000.0,0.234375,-6.063298011819522E-14,5000.0,64.0,59.98181395767632,60.396039603960396,59.183673469387756,5000.0,-1.0,9.0
6000.0,0.28125,-7.275957614183426E-14,6000.0,64.4,60.40912058203042,60.48834628190899,59.59137343927355,6000.0,-1.0,9.0
7000.0,0.328125,-8.48861721654733E-14,7000.0,64.1,60.07562277580071,61.06290672451193,59.297052154195015,7000.0,-1.0,9.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,66.3,62.55172750992324,63.12910284463895,61.92090395480226,8000.0,-1.0,9.0
9000.0,0.390625,-1.010549668636587E-13,9000.0,68.0,64.40437959614545,64.52328159645234,64.32552954292086,9000.0,-1.0,9.0
10000.0,0.4375,-1.1318156288729775E-13,10000.0,68.30000000000001,64.67730433232306,64.54138702460851,64.34195725534309,10000.0,-1.0,9.0
11000.0,0.484375,-1.2530815891093678E-13,11000.0,68.60000000000001,65.04757537033987,65.26548672566372,64.67941507311586,11000.0,-1.0,9.0
12000.0,0.515625,-1.3339255626002948E-13,12000.0,70.39999999999999,67.073538359884,67.43674367436743,66.51583710407239,12000.0,-1.0,9.0
13000.0,0.546875,-1.4147695360912217E-13,13000.0,68.60000000000001,65.06250917943629,64.95535714285715,64.67941507311586,13000.0,-1.0,9.0
14000.0,0.578125,-1.4956135095821487E-13,14000.0,65.2,61.30869987225201,61.29032258064516,60.499432463110104,14000.0,-1.0,9.0
15000.0,0.625,-1.6168794698185392E-13,15000.0,67.9,64.32354212767282,64.21404682274247,63.76975169300226,15000.0,-1.0,9.0
16000.0,0.671875,-1.7381454300549296E-13,16000.0,70.7,67.43036712534641,67.51662971175166,66.5525114155251,16000.0,-1.0,9.0
17000.0,0.703125,-1.8189894035458566E-13,17000.0,68.89999999999999,65.37307450356012,66.01092896174863,64.69920544835414,17000.0,-1.0,9.0
18000.0,0.75,-1.940255363782247E-13,18000.0,69.39999999999999,65.98420155138719,65.92427616926503,65.42372881355931,18000.0,-1.0,9.0
