learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,61.1,56.680597919109644,56.777777777777786,55.38990825688074,1000.0,-1.0,10.0
2000.0,0.09375,-2.4253192047278088E-14,2000.0,58.699999999999996,54.05311593299987,54.263565891472865,53.01478953356086,2000.0,-1.0,10.0
3000.0,0.15625,-4.042198674546348E-14,3000.0,62.6,58.46207498595041,58.7651598676957,57.40318906605923,3000.0,-1.0,10.0
4000.0,0.203125,-5.2548582769102524E-14,4000.0,65.2,61.33298962657447,61.20401337792642,60.544217687074834,4000.0,-1.0,10.0
5000.0,0.234375,-6.063298011819522E-14,5000.0,66.7,63.00131550878192,63.366336633663366,62.244897959183675,5000.0,-1.0,10.0
6000.0,0.28125,-7.275957614183426E-14,6000.0,64.8,60.8830213420902,60.9322974472808,60.04540295119183,6000.0,-1.0,10.0
7000.0,0.328125,-8.48861721654733E-14,7000.0,66.5,62.76387629159331,63.66594360086768,62.01814058956917,7000.0,-1.0,10.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,65.0,61.1259696293861,61.70678336980306,60.451977401129945,8000.0,-1.0,10.0
9000.0,0.40625,-1.0509716553820505E-13,9000.0,68.0,64.41894468813761,64.52328159645234,64.32552954292086,9000.0,-1.0,10.0
10000.0,0.453125,-1.1722376156184408E-13,10000.0,66.9,63.12372158521207,62.975391498881436,62.767154105736786,10000.0,-1.0,10.0
11000.0,0.484375,-1.2530815891093678E-13,11000.0,67.5,63.813057139739506,64.04867256637169,63.442069741282346,11000.0,-1.0,10.0
12000.0,0.53125,-1.3743475493457582E-13,12000.0,68.60000000000001,65.05220466052224,65.45654565456547,64.47963800904978,12000.0,-1.0,10.0
13000.0,0.5625,-1.4551915228366852E-13,13000.0,67.7,64.08617095205004,63.95089285714286,63.66704161979753,13000.0,-1.0,10.0
14000.0,0.609375,-1.5764574830730757E-13,14000.0,65.5,61.65384200716018,61.62402669632926,60.83995459704881,14000.0,-1.0,10.0
15000.0,0.640625,-1.6573014565640026E-13,15000.0,68.0,64.41506710539923,64.32552954292086,63.88261851015802,15000.0,-1.0,10.0
16000.0,0.6875,-1.778567416800393E-13,16000.0,70.5,67.20968903669848,67.29490022172948,66.32420091324201,16000.0,-1.0,10.0
17000.0,0.71875,-1.85941139029132E-13,17000.0,66.60000000000001,62.83375896468652,63.497267759562845,62.08853575482407,17000.0,-1.0,10.0
18000.0,0.765625,-1.9806773505277105E-13,18000.0,63.2,59.11483620381254,59.02004454342985,58.4180790960452,18000.0,-1.0,10.0
19000.0,0.796875,-2.0615213240186375E-13,19000.0,70.3,66.98352844919299,66.92650334075724,66.4027149321267,19000.0,-1.0,10.0
20000.0,0.84375,-2.182787284255028E-13,20000.0,68.89999999999999,65.44164137757839,65.21252796420582,65.48279689234184,20000.0,-1.0,10.0
21000.0,0.875,-2.263631257745955E-13,21000.0,68.0,64.43543475458227,65.14161220043574,63.34478808705614,21000.0,-1.0,10.0
22000.0,0.921875,-2.3848972179823454E-13,22000.0,67.60000000000001,63.94142484791961,64.3171806167401,63.30690826727068,22000.0,-1.0,10.0
23000.0,0.953125,-2.4657411914732723E-13,23000.0,66.10000000000001,62.321736801215486,62.62403528114664,61.91011235955056,23000.0,-1.0,10.0
24000.0,1.0,-2.5870071517096625E-13,24000.0,62.9,58.74339727550737,58.079096045197744,57.208765859284895,24000.0,-1.0,10.0
25000.0,1.03125,-2.6678511252005895E-13,25000.0,61.0,56.572477194982895,57.42358078602619,55.53021664766249,25000.0,-1.0,10.0
26000.0,1.078125,-2.7891170854369797E-13,26000.0,56.10000000000001,51.19516265129222,51.05908584169454,50.33936651583711,26000.0,-1.0,10.0
27000.0,1.125,-2.91038304567337E-13,27000.0,56.8,52.02713132239655,51.677852348993284,51.515151515151516,27000.0,-1.0,10.0
28000.0,1.15625,-2.991227019164297E-13,28000.0,50.1,44.65394853593612,45.285087719298254,42.90617848970252,28000.0,-1.0,10.0
29000.0,1.203125,-3.112492979400687E-13,29000.0,54.0,48.88888888888889,48.94561598224196,48.139797068771145,29000.0,-1.0,10.0
30000.0,1.25,-3.2337589396370773E-13,30000.0,56.2,51.35030667078375,51.60220994475139,50.227272727272734,30000.0,-1.0,10.0
31000.0,1.296875,-3.3550248998734675E-13,31000.0,50.2,44.620024420567546,45.033112582781456,43.344709897610926,31000.0,-1.0,10.0
32000.0,1.34375,-3.4762908601098577E-13,32000.0,56.00000000000001,51.0905147834477,52.22584147665581,50.113378684807266,32000.0,-1.0,10.0
33000.0,1.390625,-3.597556820346248E-13,33000.0,62.2,57.97053267346328,58.778625954198475,57.14285714285714,33000.0,-1.0,10.0
34000.0,1.4375,-3.718822780582638E-13,34000.0,62.8,58.62128801252039,58.666666666666664,58.38926174496645,34000.0,-1.0,10.0
35000.0,1.484375,-3.8400887408190283E-13,35000.0,63.800000000000004,59.742440586737246,59.325842696629216,59.280089988751406,35000.0,-1.0,10.0
36000.0,1.53125,-3.9613547010554185E-13,36000.0,66.8,63.11107012341125,63.39581036383684,62.73849607182941,36000.0,-1.0,10.0
37000.0,1.578125,-4.0826206612918087E-13,37000.0,68.2,64.61854789179952,65.01650165016503,63.94557823129252,37000.0,-1.0,10.0
38000.0,1.625,-4.203886621528199E-13,38000.0,67.4,63.77343058944852,63.57541899441341,63.246899661781285,38000.0,-1.0,10.0
39000.0,1.65625,-4.284730595019126E-13,39000.0,67.7,64.07466685648886,64.07119021134594,63.42015855039638,39000.0,-1.0,10.0
40000.0,1.703125,-4.405996555255516E-13,40000.0,70.89999999999999,67.65228990662516,67.63070077864293,67.19278466741827,40000.0,-1.0,10.0
