learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.026880454,-6.953992673920261E-15,1000.0,66.7,62.95253808490211,63.0,61.811926605504595,1000.0,-1.0,4.0
2000.0,0.057069278,-1.476386303289069E-14,2000.0,74.9,72.08133119772201,72.20376522702104,71.4448236632537,2000.0,-1.0,6.0
3000.0,0.109297041,-2.827522267277042E-14,3000.0,72.6,69.50547677185422,69.79051819184123,68.79271070615034,3000.0,-1.0,10.0
4000.0,0.19702791,-5.097126122564078E-14,4000.0,72.2,69.09332260123048,69.00780379041248,68.48072562358276,4000.0,-1.0,12.0
5000.0,0.309984383,-8.019318157393073E-14,5000.0,71.89999999999999,68.75510787271209,69.08690869086908,68.140589569161,5000.0,-1.0,18.0
6000.0,0.468510609,-1.2120402961348494E-13,6000.0,72.2,69.0696644614895,69.14539400665927,68.44494892167991,6000.0,-1.0,23.0
7000.0,0.666813671,-1.7250517357347739E-13,7000.0,72.39999999999999,69.27970935933723,70.06507592190889,68.70748299319727,7000.0,-1.0,30.0
8000.0,0.9009783,-2.3308373056352136E-13,8000.0,74.1,71.20289616587132,71.66301969365426,70.73446327683615,8000.0,-1.0,26.0
9000.0,1.119423013,-2.895955340419378E-13,9000.0,73.2,70.18538460853854,70.28824833702882,70.1226309921962,9000.0,-1.0,34.0
10000.0,1.360654789,-3.5200236701510016E-13,10000.0,73.6,70.60621344565322,70.46979865771812,70.3037120359955,10000.0,-1.0,34.0
11000.0,1.580518649,-4.0888130483734936E-13,11000.0,75.3,72.54026963898792,72.67699115044249,72.21597300337457,11000.0,-1.0,38.0
12000.0,1.834333634,-4.745434229779575E-13,12000.0,74.3,71.40940508200605,71.72717271727173,70.92760180995475,12000.0,-1.0,43.0
13000.0,2.13156424,-5.514371933208572E-13,13000.0,74.5,71.64789127021895,71.54017857142857,71.31608548931383,13000.0,-1.0,45.0
14000.0,2.426909276,-6.278431653562519E-13,14000.0,72.1,68.97873319820366,68.9655172413793,68.33144154370034,14000.0,-1.0,39.0
15000.0,2.67896057,-6.930490153738194E-13,15000.0,72.89999999999999,69.8677628426152,69.78818283166109,69.41309255079007,15000.0,-1.0,32.0
16000.0,2.916309276,-7.544512953609229E-13,16000.0,76.4,73.7422714937866,73.8359201773836,73.0593607305936,16000.0,-1.0,29.0
17000.0,3.089102648,-7.991530642741256E-13,17000.0,74.3,71.4115677473539,71.91256830601093,70.82860385925085,17000.0,-1.0,19.0
18000.0,3.25569992,-8.422518976860576E-13,18000.0,72.89999999999999,69.87355787723085,69.82182628062361,69.37853107344633,18000.0,-1.0,26.0
19000.0,3.406298077,-8.812117486053871E-13,19000.0,76.6,73.99063662918651,73.94209354120268,73.52941176470588,19000.0,-1.0,23.0
20000.0,3.555983721,-9.199355317590136E-13,20000.0,72.1,68.99269605729349,68.79194630872483,69.03440621531631,20000.0,-1.0,26.0
21000.0,3.730886943,-9.651831203761199E-13,21000.0,73.8,70.88041185322838,71.45969498910677,69.9885452462772,21000.0,-1.0,31.0
22000.0,3.938853393,-1.0189841897226868E-12,22000.0,73.8,70.86441499748678,71.1453744493392,70.32842582106456,22000.0,-1.0,30.0
23000.0,4.1502558,-1.0736741436024504E-12,23000.0,72.1,68.98959428608265,69.23925027563396,68.65168539325842,23000.0,-1.0,22.0
24000.0,4.327175897,-1.1194434992244672E-12,24000.0,66.0,62.175572094472074,61.5819209039548,60.7843137254902,24000.0,-1.0,26.0
25000.0,4.549443061,-1.1769441735102897E-12,25000.0,64.1,60.061320891155425,60.80786026200874,59.064994298745724,25000.0,-1.0,33.0
26000.0,4.714887336,-1.2197447257737319E-12,26000.0,62.7,58.53233366240651,58.41694537346711,57.8054298642534,26000.0,-1.0,14.0
27000.0,4.800965398,-1.2420131819736626E-12,27000.0,67.0,63.309892431275536,63.08724832214766,62.96296296296296,27000.0,-1.0,12.0
28000.0,4.914240578,-1.2713175520507826E-12,28000.0,68.0,64.37909988211709,64.91228070175438,63.38672768878719,28000.0,-1.0,16.0
29000.0,5.031867463,-1.3017477113236156E-12,29000.0,70.89999999999999,67.65171457029027,67.70255271920088,67.19278466741827,29000.0,-1.0,16.0
30000.0,5.145564435,-1.3311611992927889E-12,30000.0,71.89999999999999,68.7689289743205,68.95027624309392,68.06818181818181,30000.0,-1.0,18.0
31000.0,5.292454271,-1.3691617049173349E-12,31000.0,71.1,67.85445744108134,68.10154525386312,67.12172923777018,31000.0,-1.0,23.0
32000.0,5.457948198,-1.4119751021886866E-12,32000.0,73.6,70.62452918575423,71.33550488599349,70.06802721088435,32000.0,-1.0,25.0
33000.0,5.651847091,-1.4621368844786452E-12,33000.0,74.8,71.98586842696204,72.51908396946564,71.42857142857143,33000.0,-1.0,29.0
34000.0,5.873267143,-1.5194184102842377E-12,34000.0,73.1,70.08362128311238,70.11111111111111,69.91051454138703,34000.0,-1.0,30.0
35000.0,6.111245666,-1.580983624379668E-12,35000.0,72.89999999999999,69.83969407878628,69.5505617977528,69.51631046119235,35000.0,-1.0,31.0
36000.0,6.364798115,-1.6465778242693178E-12,36000.0,75.7,72.99129719576308,73.20837927232635,72.72727272727273,36000.0,-1.0,33.0
37000.0,6.632779908,-1.7159049057712157E-12,37000.0,73.9,70.96657930684654,71.28712871287128,70.40816326530613,37000.0,-1.0,33.0
38000.0,6.857203248,-1.7739633843302726E-12,38000.0,74.9,72.09554662711868,71.95530726256983,71.70236753100339,38000.0,-1.0,30.0
39000.0,7.08617616,-1.8331988404194512E-12,39000.0,71.3,68.08724746393692,68.07563959955506,67.49716874292186,39000.0,-1.0,32.0
40000.0,7.310165364,-1.8911450076848266E-12,40000.0,72.6,69.53311161444486,69.52169076751946,69.10935738444194,40000.0,-1.0,38.0
41000.0,7.564240997,-1.9568745556494426E-12,41000.0,75.7,72.9597099678521,73.0299667036626,72.26027397260275,41000.0,-1.0,39.0
42000.0,7.815986884,-2.022001396657692E-12,42000.0,74.5,71.6432881331053,72.16157205240175,71.02272727272727,42000.0,-1.0,38.0
43000.0,8.085387937,-2.0916956417366034E-12,43000.0,73.9,70.98446056665904,70.80536912751678,70.40816326530613,43000.0,-1.0,37.0
44000.0,8.343248003,-2.1584042252248358E-12,44000.0,75.3,72.54439027426709,72.5860155382908,72.15332581736189,44000.0,-1.0,40.0
