learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.09375,-2.4253192047278088E-14,1000.0,53.1,47.76462673983332,47.88888888888889,46.21559633027523,1000.0,-1.0,9.0
2000.0,0.1875,-4.8506384094556176E-14,2000.0,45.800000000000004,39.67435280709038,39.97785160575858,38.33902161547213,2000.0,-1.0,9.0
3000.0,0.296875,-7.680177481638061E-14,3000.0,50.0,44.245089665046805,44.87320837927233,43.052391799544424,3000.0,-1.0,9.0
4000.0,0.375,-9.701276818911235E-14,4000.0,51.1,45.61324678906838,45.484949832775925,44.5578231292517,4000.0,-1.0,9.0
5000.0,0.46875,-1.2126596023639043E-13,5000.0,52.2,46.76141204773653,47.41474147414742,45.80498866213152,5000.0,-1.0,9.0
6000.0,0.546875,-1.4147695360912217E-13,6000.0,48.0,42.05779512082064,42.28634850166482,40.976163450624284,6000.0,-1.0,9.0
7000.0,0.640625,-1.6573014565640026E-13,7000.0,51.6,46.10851118081374,47.50542299349241,45.12471655328799,7000.0,-1.0,9.0
8000.0,0.734375,-1.8998333770367835E-13,8000.0,49.2,43.45956245714947,44.42013129102845,42.59887005649718,8000.0,-1.0,9.0
9000.0,0.828125,-2.1423652975095645E-13,9000.0,52.1,46.69147720253789,46.89578713968958,46.59977703455965,9000.0,-1.0,9.0
10000.0,0.90625,-2.3444752312368816E-13,10000.0,52.2,46.752338218453545,46.53243847874721,46.231721034870645,10000.0,-1.0,9.0
11000.0,1.015625,-2.627429138455126E-13,11000.0,53.0,47.69123583350677,48.008849557522126,47.13160854893139,11000.0,-1.0,9.0
12000.0,1.109375,-2.8699610589279067E-13,12000.0,49.1,43.34252394028814,44.00440044004401,42.42081447963801,12000.0,-1.0,9.0
13000.0,1.203125,-3.1124929794006876E-13,13000.0,50.9,45.350447213651925,45.20089285714286,44.76940382452194,13000.0,-1.0,9.0
14000.0,1.296875,-3.3550248998734685E-13,14000.0,49.9,44.283869791070074,44.27141268075639,43.1328036322361,14000.0,-1.0,9.0
15000.0,1.40625,-3.6379788070917126E-13,15000.0,49.8,44.17079732331226,44.03567447045708,43.340857787810386,15000.0,-1.0,9.0
