learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.140625,-3.637978807091713E-14,1000.0,58.8,54.13395556782608,54.222222222222214,52.752293577981646,1000.0,-1.0,10.0
2000.0,0.265625,-6.871737746728791E-14,2000.0,66.2,62.40087123188317,62.569213732004435,61.547212741752,2000.0,-1.0,10.0
3000.0,0.375,-9.701276818911234E-14,3000.0,60.199999999999996,55.63497168106672,56.119073869900774,54.66970387243736,3000.0,-1.0,10.0
4000.0,0.5,-1.2935035758548313E-13,4000.0,63.2,59.08187738573226,58.97435897435898,58.27664399092971,4000.0,-1.0,10.0
5000.0,0.625,-1.6168794698185392E-13,5000.0,64.3,60.264767982975066,60.726072607260726,59.523809523809526,5000.0,-1.0,10.0
6000.0,0.765625,-1.9806773505277105E-13,6000.0,60.8,56.39701408532169,56.4927857935627,55.50510783200908,6000.0,-1.0,10.0
7000.0,0.890625,-2.3040532444914184E-13,7000.0,64.8,60.81910335853748,61.82212581344903,60.090702947845806,7000.0,-1.0,10.0
8000.0,1.03125,-2.6678511252005895E-13,8000.0,61.199999999999996,56.827536020633765,57.54923413566739,56.158192090395474,8000.0,-1.0,10.0
9000.0,1.171875,-3.0316490059097606E-13,9000.0,64.0,59.94062310135245,60.088691796008874,59.86622073578596,9000.0,-1.0,10.0
10000.0,1.28125,-3.314602913128005E-13,10000.0,64.0,59.91211845523576,59.73154362416108,59.5050618672666,10000.0,-1.0,10.0
11000.0,1.40625,-3.6379788070917126E-13,11000.0,62.7,58.503269675346495,58.73893805309734,58.04274465691789,11000.0,-1.0,10.0
12000.0,1.546875,-4.001776687800884E-13,12000.0,67.2,63.48520371471257,63.916391639163926,62.895927601809966,12000.0,-1.0,10.0
13000.0,1.671875,-4.3251525817645916E-13,13000.0,70.19999999999999,66.87033627720412,66.74107142857142,66.47919010123734,13000.0,-1.0,10.0
14000.0,1.796875,-4.6485284757283E-13,14000.0,62.4,58.190865371250666,58.175750834260285,57.32122587968218,14000.0,-1.0,10.0
15000.0,1.921875,-4.971904369692007E-13,15000.0,63.2,59.06503653556725,58.97435897435898,58.465011286681715,15000.0,-1.0,10.0
16000.0,2.046875,-5.295280263655715E-13,16000.0,68.7,65.16474404990457,65.29933481152995,64.26940639269407,16000.0,-1.0,10.0
17000.0,2.1875,-5.659078144364887E-13,17000.0,64.1,60.03780268025011,60.76502732240437,59.25085130533485,17000.0,-1.0,10.0
18000.0,2.328125,-6.022876025074059E-13,18000.0,65.60000000000001,61.74572919979627,61.69265033407573,61.12994350282486,18000.0,-1.0,10.0
19000.0,2.453125,-6.346251919037766E-13,19000.0,67.80000000000001,64.19978742234022,64.14253897550111,63.57466063348417,19000.0,-1.0,10.0
20000.0,2.578125,-6.669627813001474E-13,20000.0,64.4,60.44132370442558,60.178970917225946,60.48834628190899,20000.0,-1.0,10.0
21000.0,2.703125,-6.993003706965182E-13,21000.0,64.7,60.72729052793425,61.546840958605664,59.56471935853379,21000.0,-1.0,10.0
22000.0,2.828125,-7.31637960092889E-13,22000.0,66.0,62.15102409309957,62.555066079295166,61.49490373725934,22000.0,-1.0,10.0
23000.0,2.953125,-7.639755494892598E-13,23000.0,59.5,54.98179263613283,55.34729878721058,54.49438202247191,23000.0,-1.0,10.0
24000.0,3.078125,-7.963131388856306E-13,24000.0,62.7,58.515084715978475,57.85310734463277,56.978085351787776,24000.0,-1.0,10.0
25000.0,3.203125,-8.286507282820014E-13,25000.0,58.3,53.603051294775284,54.47598253275109,52.4515393386545,25000.0,-1.0,10.0
26000.0,3.328125,-8.609883176783722E-13,26000.0,46.9,40.937262247453965,40.802675585284284,39.932126696832576,26000.0,-1.0,10.0
27000.0,3.453125,-8.933259070747429E-13,27000.0,59.3,54.75827356682659,54.47427293064877,54.32098765432099,27000.0,-1.0,10.0
28000.0,3.578125,-9.256634964711137E-13,28000.0,60.8,56.3400000222755,57.01754385964912,55.1487414187643,28000.0,-1.0,10.0
29000.0,3.71875,-9.620432845420309E-13,29000.0,57.99999999999999,53.28625626047583,53.38512763596004,52.649379932356254,29000.0,-1.0,10.0
30000.0,3.84375,-9.943808739384017E-13,30000.0,67.80000000000001,64.17676651929449,64.41988950276244,63.409090909090914,30000.0,-1.0,10.0
31000.0,3.96875,-1.0267184633347725E-12,31000.0,61.7,57.39507006453034,57.726269315673285,56.42775881683731,31000.0,-1.0,10.0
32000.0,4.09375,-1.0590560527311433E-12,32000.0,61.9,57.59471903997115,58.63192182410424,56.80272108843537,32000.0,-1.0,10.0
33000.0,4.234375,-1.0954358408020604E-12,33000.0,64.0,59.92572901777962,60.74154852780808,59.183673469387756,33000.0,-1.0,10.0
34000.0,4.359375,-1.1277734301984312E-12,34000.0,61.9,57.61439108233488,57.666666666666664,57.38255033557047,34000.0,-1.0,10.0
35000.0,4.484375,-1.160111019594802E-12,35000.0,64.1,60.01590453713676,59.66292134831461,59.617547806524186,35000.0,-1.0,10.0
