learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.71875,-1.8594113902913202E-12,1000.0,0.0,37.41,0.8543353491977773,13.193867295646923,1.5700181452525472,19.134366925064597,1.1037924408240023,8.893740902474526,1.2435740162995323
2000.0,1.421875,-3.678400793837178E-12,2000.0,0.0,52.39000000000001,1.4387108426952555,35.55406942737859,1.981737357018078,38.56774193548387,1.8564010873487153,29.985294117647065,2.115751239257729
3000.0,2.25,-5.820766091346746E-12,3000.0,0.0,59.55,1.1520513105857004,46.44017717556298,1.5835621596138993,47.193211488250654,1.503983434184983,42.37891737891738,1.6410987330280566
4000.0,3.15625,-8.165241322583627E-12,4000.0,0.0,66.69999999999999,2.9181424837652363,55.8112958357616,3.989015910846417,56.068601583113455,3.849792194940947,52.36051502145922,4.174738889506773
5000.0,4.125,-1.0671404500802367E-11,5000.0,0.0,69.13,1.3573258022056922,59.77827583003451,1.8509953043210796,60.574712643678154,1.7334940002626955,57.59615384615385,1.864458519513312
6000.0,5.125,-1.325841165251203E-11,6000.0,0.0,64.94,1.3729125568982488,53.51190493240131,1.938543385867721,54.99358151476252,1.762403795761553,48.74269005847954,2.0071821007284347
7000.0,6.15625,-1.5926262777712618E-11,7000.0,0.0,63.42,1.3660974424330876,51.35612773080014,1.9332012754812322,52.493506493506494,1.7741525226403732,48.11347517730496,1.937726868699415
8000.0,7.125,-1.8432425955931358E-11,8000.0,0.0,65.88,1.8365426455404976,54.572111254710954,2.5657752854950786,56.2002567394095,2.357564371682282,50.76479076479077,2.6501336876486286
9000.0,8.109375,-2.0979011120895567E-11,9000.0,0.0,65.91000000000001,1.5423286866870456,54.899274556084904,2.0225668025290475,56.517857142857146,1.9672559779171483,51.78217821782177,2.1815115794724784
10000.0,9.09375,-2.3525596285859776E-11,10000.0,0.0,67.64999999999999,1.8608540452646292,56.75389344881644,2.5373688302813786,57.82268578878748,2.426146082483228,52.70467836257311,2.7205468498021053
11000.0,10.15625,-2.6274291384551303E-11,11000.0,0.0,63.97999999999999,1.2336035739968414,51.989153175844145,1.6815678313697582,53.820512820512825,1.581543043585692,48.542857142857144,1.7622908199954868
12000.0,11.109375,-2.8740032576024572E-11,12000.0,0.0,65.35000000000001,1.276496942591109,54.136383516764006,1.7480762569651067,55.29032258064517,1.647092829149816,50.358166189111756,1.8287921813626185
13000.0,12.125,-3.1367461714479715E-11,13000.0,0.0,64.84,1.7218852716975352,53.076031884250746,2.3843113810909595,54.980793854033294,2.204718657743325,50.617977528089895,2.418378190586425
14000.0,13.15625,-3.4035312839680334E-11,14000.0,0.0,63.13000000000002,2.7170449634360807,51.39790556671737,3.688090112029423,51.677588466579294,3.561002573310715,47.32857142857143,3.8814928049086763
15000.0,14.15625,-3.662231999139001E-11,15000.0,0.0,69.97999999999999,1.5440207252494962,60.348494529692644,2.1323899531444184,60.3434610303831,2.039657497027082,56.92969870875179,2.2152377693680063
16000.0,15.125,-3.912848316960875E-11,16000.0,0.0,69.02000000000001,1.808498456362809,59.30944646207443,2.4731105036102266,60.63532401524778,2.297965001731646,56.11898016997168,2.561612544423239
17000.0,16.109375,-4.167506833457296E-11,17000.0,0.0,67.63,1.8541544943420638,57.03052149588291,2.542017369578801,58.86912325285896,2.3559777564702227,52.67543859649123,2.710752184710624
18000.0,17.125,-4.430249747302811E-11,18000.0,0.0,67.14999999999999,1.8349992431121598,56.54153465188797,2.4796495366001063,57.830551989730424,2.35558311054193,53.47025495750709,2.59914906956397
19000.0,18.140625,-4.692992661148326E-11,19000.0,0.0,66.22,2.191802910847598,55.312170255419666,3.0355897893955794,56.747759282970556,2.8064057757331593,51.39568345323741,3.1536732530181277
20000.0,19.203125,-4.9678621710174754E-11,20000.0,0.0,68.19,1.028969279316817,57.893012055617284,1.518711962393349,59.83585858585858,1.299203635501034,53.56204379562044,1.5021449333092234
21000.0,20.234375,-5.234647283537537E-11,21000.0,0.0,59.650000000000006,1.9392151906262376,46.22451829767939,2.6746495536627712,47.047244094488185,2.5449018249688153,42.02586206896552,2.7862287221641338
22000.0,21.34375,-5.5216433894303276E-11,22000.0,0.0,62.64,2.8775761405120917,50.18343377401672,3.969409271603035,51.03538663171691,3.7713973008022164,46.24460431654676,4.140397324477827
23000.0,22.421875,-5.800555097974024E-11,23000.0,0.0,67.48000000000002,1.9865100609416053,56.91279266628042,2.6674324751894614,57.65625000000001,2.5866016418510474,53.93767705382437,2.81375362739604
24000.0,23.5625,-6.095635601215902E-11,24000.0,0.0,69.99999999999999,2.477005360421236,60.685927710499115,3.362114098264132,61.240310077519375,3.2002653235416507,58.04195804195804,3.464343161428306
25000.0,24.59375,-6.362420713735964E-11,25000.0,0.0,65.01,3.004237747656543,53.54589530426349,4.134912571535877,54.793281653746774,3.881444118419303,50.156695156695164,4.279540951077694
26000.0,25.578125,-6.617079230232385E-11,26000.0,0.0,64.16000000000001,1.3785660827267063,52.75307200497756,1.9629692482532364,54.57541191381496,1.747232044013566,50.15299026425591,1.9173380844599501
27000.0,26.5625,-6.871737746728805E-11,27000.0,0.0,66.13000000000002,1.3072872675888783,55.517275944297694,1.725328277061559,56.6325224071703,1.6738633387821804,52.958333333333336,1.815676760540112
28000.0,27.59375,-7.138522859248867E-11,28000.0,0.0,64.5,2.7194770739161545,52.63603456073237,3.6950443907512085,53.8961038961039,3.5317884076833184,49.35805991440799,3.879425212433886
29000.0,28.609375,-7.401265773094382E-11,29000.0,0.0,66.24,1.572824776565327,55.524968441737904,2.1147994526613716,55.811518324607334,2.058671173514828,52.58426966292135,2.209023562591751
30000.0,29.546875,-7.643797693567162E-11,30000.0,0.0,65.92000000000002,1.849804794506104,55.10680550290423,2.4941318382046176,56.69631512071156,2.3504508189404145,51.93229901269393,2.6090335606574113
31000.0,30.515625,-7.894414011389036E-11,31000.0,0.0,66.57,1.7275866275112124,55.518871569753415,2.4502461643229627,56.013157894736835,2.2731402993568537,51.33915574963609,2.5146821361152987
