learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0625,-1.616879469818539E-14,1000.0,46.0,26.218219181076886,30.23255813953488,21.397379912663755,1000.0,-1.0,10.0
2000.0,0.140625,-3.637978807091713E-14,2000.0,49.9,31.325742154891294,35.35483870967742,26.323529411764707,2000.0,-1.0,10.0
3000.0,0.1875,-4.8506384094556176E-14,3000.0,44.6,26.757747946176202,27.676240208877285,21.082621082621085,3000.0,-1.0,10.0
4000.0,0.265625,-6.871737746728791E-14,4000.0,57.8,43.59962684871602,44.327176781002635,39.6280400572246,4000.0,-1.0,10.0
5000.0,0.328125,-8.48861721654733E-14,5000.0,67.9,58.15446867255807,59.00383141762453,55.90659340659341,5000.0,-1.0,10.0
6000.0,0.390625,-1.010549668636587E-13,6000.0,60.6,48.023508149359856,49.42233632862644,42.39766081871345,6000.0,-1.0,10.0
7000.0,0.453125,-1.1722376156184408E-13,7000.0,42.0,22.183477942370153,24.675324675324674,17.730496453900706,7000.0,-1.0,10.0
8000.0,0.515625,-1.3339255626002948E-13,8000.0,44.800000000000004,25.058141034604947,29.13992297817715,20.346320346320347,8000.0,-1.0,10.0
9000.0,0.578125,-1.4956135095821487E-13,9000.0,46.6,28.241817013945813,31.887755102040817,24.469589816124472,9000.0,-1.0,10.0
10000.0,0.640625,-1.6573014565640026E-13,10000.0,45.6,25.30960815003982,29.074315514993483,20.467836257309948,10000.0,-1.0,10.0
11000.0,0.703125,-1.8189894035458566E-13,11000.0,46.400000000000006,27.136590345870104,31.28205128205128,23.428571428571434,11000.0,-1.0,10.0
12000.0,0.765625,-1.9806773505277105E-13,12000.0,56.89999999999999,42.2866279054197,44.387096774193544,38.25214899713467,12000.0,-1.0,10.0
13000.0,0.828125,-2.1423652975095645E-13,13000.0,51.5,34.03998944639831,37.900128040973115,31.88202247191012,13000.0,-1.0,10.0
14000.0,0.890625,-2.3040532444914184E-13,14000.0,49.0,31.46128570564638,33.158584534731325,27.142857142857146,14000.0,-1.0,10.0
15000.0,0.953125,-2.4657411914732723E-13,15000.0,65.10000000000001,54.099179966725195,53.89696169088508,49.92826398852224,15000.0,-1.0,10.0
16000.0,1.015625,-2.6274291384551263E-13,16000.0,53.7,39.8313718967023,41.168996188055914,34.41926345609066,16000.0,-1.0,10.0
17000.0,1.078125,-2.78911708543698E-13,17000.0,53.7,38.69092546246641,41.168996188055914,32.309941520467845,17000.0,-1.0,10.0
18000.0,1.140625,-2.950805032418834E-13,18000.0,56.99999999999999,42.813673649604745,44.80102695763799,39.093484419263454,18000.0,-1.0,10.0
19000.0,1.203125,-3.112492979400688E-13,19000.0,51.6,35.5737002260245,38.02816901408451,30.35971223021583,19000.0,-1.0,10.0
20000.0,1.265625,-3.274180926382542E-13,20000.0,61.3,48.467884972862414,51.13636363636363,43.50364963503649,20000.0,-1.0,10.0
21000.0,1.328125,-3.435868873364396E-13,21000.0,53.800000000000004,37.802405512160846,39.37007874015749,33.62068965517242,21000.0,-1.0,10.0
22000.0,1.390625,-3.59755682034625E-13,22000.0,46.300000000000004,27.13625113976814,29.619921363040635,22.73381294964029,22000.0,-1.0,10.0
23000.0,1.453125,-3.759244767328104E-13,23000.0,49.7,31.910999690012297,34.505208333333336,28.753541076487256,23000.0,-1.0,10.0
24000.0,1.515625,-3.920932714309958E-13,24000.0,50.4,33.63092370767634,35.91731266149871,30.629370629370626,24000.0,-1.0,10.0
25000.0,1.578125,-4.0826206612918117E-13,25000.0,53.0,36.75263822239926,39.2764857881137,33.048433048433054,25000.0,-1.0,10.0
26000.0,1.640625,-4.2443086082736657E-13,26000.0,53.6,38.067933070655954,41.19138149556401,35.46592489568845,26000.0,-1.0,10.0
27000.0,1.703125,-4.4059965552555196E-13,27000.0,49.0,32.14114641545584,34.69910371318822,29.166666666666664,27000.0,-1.0,10.0
28000.0,1.765625,-4.567684502237373E-13,28000.0,56.00000000000001,40.46354542293209,42.85714285714287,37.23252496433667,28000.0,-1.0,10.0
29000.0,1.84375,-4.769794435964691E-13,29000.0,56.49999999999999,42.16632963596696,43.06282722513088,38.90449438202247,29000.0,-1.0,10.0
30000.0,1.90625,-4.931482382946545E-13,30000.0,55.7,41.89493344805696,43.71029224904702,37.5176304654443,30000.0,-1.0,10.0
31000.0,1.96875,-5.093170329928399E-13,31000.0,56.3,41.78913814623048,42.49999999999999,36.39010189228529,31000.0,-1.0,10.0
32000.0,2.03125,-5.254858276910253E-13,32000.0,55.50000000000001,40.09823888822332,44.375,36.96883852691219,32000.0,-1.0,10.0
33000.0,2.078125,-5.376124237146643E-13,33000.0,56.39999999999999,40.95421242940913,44.03080872913992,36.7198838896952,33000.0,-1.0,10.0
34000.0,2.140625,-5.537812184128497E-13,34000.0,49.4,31.30310941676883,34.87773487773488,27.403156384505017,34000.0,-1.0,10.0
35000.0,2.203125,-5.699500131110351E-13,35000.0,48.8,31.23464699332896,34.86005089058524,27.785613540197456,35000.0,-1.0,10.0
36000.0,2.265625,-5.861188078092205E-13,36000.0,50.5,32.916648597077064,36.375321336760926,29.985855728429982,36000.0,-1.0,10.0
37000.0,2.328125,-6.022876025074059E-13,37000.0,51.800000000000004,33.93875766488585,36.24338624338625,29.22173274596182,37000.0,-1.0,10.0
38000.0,2.390625,-6.184563972055912E-13,38000.0,44.5,23.892846613231676,30.538172715894866,22.809457579972182,38000.0,-1.0,10.0
39000.0,2.453125,-6.346251919037766E-13,39000.0,51.0,33.0991347943208,38.131313131313135,30.099857346647646,39000.0,-1.0,10.0
40000.0,2.515625,-6.50793986601962E-13,40000.0,49.4,30.880737854953367,35.21126760563381,24.92581602373887,40000.0,-1.0,10.0
41000.0,2.578125,-6.669627813001474E-13,41000.0,54.2,39.17864612728661,38.851802403204275,35.94405594405595,41000.0,-1.0,10.0
42000.0,2.640625,-6.831315759983328E-13,42000.0,49.2,31.636629847339748,36.26097867001255,27.011494252873565,42000.0,-1.0,10.0
43000.0,2.703125,-6.993003706965182E-13,43000.0,48.199999999999996,28.9177243242724,30.748663101604272,23.485967503692756,43000.0,-1.0,10.0
44000.0,2.765625,-7.154691653947036E-13,44000.0,51.300000000000004,33.57529928624136,38.89585947302384,29.624277456647402,44000.0,-1.0,10.0
45000.0,2.828125,-7.31637960092889E-13,45000.0,44.800000000000004,23.42001761894522,25.60646900269542,19.1800878477306,45000.0,-1.0,10.0
46000.0,2.890625,-7.478067547910744E-13,46000.0,51.9,35.21667396208627,37.04188481675393,33.00835654596101,46000.0,-1.0,10.0
47000.0,2.9375,-7.599333508147134E-13,47000.0,60.199999999999996,46.430926852641974,47.76902887139107,43.142857142857146,47000.0,-1.0,10.0
48000.0,3.0,-7.761021455128988E-13,48000.0,52.6,36.350806424540124,37.631578947368425,31.99426111908178,48000.0,-1.0,10.0
49000.0,3.0625,-7.922709402110842E-13,49000.0,48.8,30.368083558299723,33.935483870967744,26.118326118326113,49000.0,-1.0,10.0
50000.0,3.125,-8.084397349092696E-13,50000.0,57.199999999999996,42.62780728305134,43.832020997375324,40.22346368715083,50000.0,-1.0,10.0
51000.0,3.1875,-8.24608529607455E-13,51000.0,51.9,34.16847669139797,36.79369250985546,29.575402635431917,51000.0,-1.0,10.0
52000.0,3.25,-8.407773243056404E-13,52000.0,61.6,48.73766500064078,51.207115628970776,44.98567335243553,52000.0,-1.0,10.0
53000.0,3.3125,-8.569461190038258E-13,53000.0,59.599999999999994,46.21207884989708,47.12041884816754,43.098591549295776,53000.0,-1.0,10.0
54000.0,3.375,-8.731149137020112E-13,54000.0,52.900000000000006,37.11363606018933,38.751625487646294,32.90598290598291,54000.0,-1.0,10.0
55000.0,3.4375,-8.892837084001966E-13,55000.0,56.10000000000001,41.35861013227041,43.427835051546396,36.560693641618506,55000.0,-1.0,10.0
56000.0,3.5,-9.05452503098382E-13,56000.0,56.89999999999999,42.40470383857281,43.66013071895424,39.2101551480959,56000.0,-1.0,10.0
57000.0,3.5625,-9.216212977965674E-13,57000.0,53.7,37.511218963118125,40.411840411840416,34.41926345609066,57000.0,-1.0,10.0
58000.0,3.609375,-9.337478938202065E-13,58000.0,48.0,30.138607689321013,34.99999999999999,27.37430167597766,58000.0,-1.0,10.0
59000.0,3.6875,-9.539588871929381E-13,59000.0,40.9,20.67369641783352,24.230769230769226,15.57142857142857,59000.0,-1.0,10.0
60000.0,3.75,-9.701276818911234E-13,60000.0,48.5,31.28981688402655,35.13853904282116,26.111908177905306,60000.0,-1.0,10.0
61000.0,3.8125,-9.862964765893087E-13,61000.0,53.7,37.16981925806106,38.01874163319947,31.30563798219585,61000.0,-1.0,10.0
62000.0,3.875,-1.002465271287494E-12,62000.0,45.300000000000004,24.938008675354833,28.403141361256544,21.181556195965424,62000.0,-1.0,10.0
63000.0,3.9375,-1.0186340659856793E-12,63000.0,59.9,46.10367180496249,48.98218829516539,40.68047337278106,63000.0,-1.0,10.0
64000.0,4.0,-1.0348028606838646E-12,64000.0,61.6,48.31227462334589,50.89514066496164,45.22111269614836,64000.0,-1.0,10.0
65000.0,4.0625,-1.05097165538205E-12,65000.0,52.0,36.19829569697381,38.775510204081634,32.58426966292136,65000.0,-1.0,10.0
