learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,53.800000000000004,37.29820404141576,40.31007751937985,32.75109170305677,1000.0,-1.0,9.0
2000.0,0.078125,-2.021099337273174E-14,2000.0,63.800000000000004,50.22364981650128,53.29032258064517,46.76470588235295,2000.0,-1.0,9.0
3000.0,0.125,-3.233758939637078E-14,3000.0,68.8,58.19420400156503,59.268929503916446,55.55555555555556,3000.0,-1.0,9.0
4000.0,0.171875,-4.446418542000983E-14,4000.0,75.5,67.40356777929154,67.67810026385224,64.94992846924177,4000.0,-1.0,9.0
5000.0,0.203125,-5.2548582769102524E-14,5000.0,79.3,72.92978220898209,73.56321839080461,71.56593406593407,5000.0,-1.0,9.0
6000.0,0.25,-6.467517879274156E-14,6000.0,72.2,62.85473395037232,64.31322207958921,59.356725146198826,6000.0,-1.0,9.0
7000.0,0.296875,-7.680177481638061E-14,7000.0,67.10000000000001,55.73840184687909,57.27272727272727,53.333333333333336,7000.0,-1.0,9.0
8000.0,0.328125,-8.48861721654733E-14,8000.0,66.8,55.176324458605606,57.381258023106554,52.09235209235209,8000.0,-1.0,9.0
9000.0,0.375,-9.701276818911235E-14,9000.0,67.9,56.90795081868182,59.0561224489796,54.59688826025461,9000.0,-1.0,9.0
10000.0,0.421875,-1.091393642127514E-13,10000.0,71.89999999999999,61.77796397607109,63.363754889178615,58.91812865497076,10000.0,-1.0,9.0
11000.0,0.453125,-1.1722376156184408E-13,11000.0,72.5,63.085266323024044,64.74358974358975,60.71428571428572,11000.0,-1.0,9.0
12000.0,0.5,-1.2935035758548313E-13,12000.0,68.30000000000001,57.59265403097209,59.0967741935484,54.584527220630385,12000.0,-1.0,9.0
13000.0,0.546875,-1.4147695360912217E-13,13000.0,66.8,55.225289619549834,57.490396927016654,53.37078651685394,13000.0,-1.0,9.0
14000.0,0.59375,-1.5360354963276122E-13,14000.0,66.7,55.50442350168161,56.356487549148106,52.42857142857144,14000.0,-1.0,9.0
15000.0,0.640625,-1.6573014565640026E-13,15000.0,70.39999999999999,60.25506580069258,60.898282694848085,57.53228120516498,15000.0,-1.0,9.0
16000.0,0.6875,-1.778567416800393E-13,16000.0,73.7,65.01719876881823,66.58195679796697,62.74787535410765,16000.0,-1.0,9.0
17000.0,0.734375,-1.8998333770367835E-13,17000.0,72.89999999999999,63.3335858941193,65.56543837357052,60.38011695906433,17000.0,-1.0,9.0
18000.0,0.765625,-1.9806773505277105E-13,18000.0,72.89999999999999,63.86329390743136,65.21181001283696,61.614730878186975,18000.0,-1.0,9.0
19000.0,0.8125,-2.101943310764101E-13,19000.0,67.4,56.310985374901335,58.25864276568503,53.093525179856115,19000.0,-1.0,9.0
20000.0,0.859375,-2.2232092710004914E-13,20000.0,73.8,64.8521240317565,66.91919191919192,61.75182481751824,20000.0,-1.0,9.0
21000.0,0.90625,-2.3444752312368816E-13,21000.0,69.0,58.45512013841145,59.31758530183726,55.45977011494253,21000.0,-1.0,9.0
22000.0,0.953125,-2.465741191473272E-13,22000.0,69.3,58.70714352966494,59.764089121887274,55.8273381294964,22000.0,-1.0,9.0
23000.0,1.0,-2.587007151709662E-13,23000.0,67.9,56.90129725752616,58.203125000000014,54.532577903682736,23000.0,-1.0,9.0
24000.0,1.046875,-2.708273111946052E-13,24000.0,70.5,60.887469936385784,61.88630490956072,58.741258741258726,24000.0,-1.0,9.0
25000.0,1.078125,-2.789117085436979E-13,25000.0,67.2,55.88243206163548,57.62273901808786,53.276353276353284,25000.0,-1.0,9.0
26000.0,1.125,-2.9103830456733694E-13,26000.0,68.89999999999999,58.26427703931343,60.5830164765526,56.74547983310152,26000.0,-1.0,9.0
27000.0,1.171875,-3.0316490059097596E-13,27000.0,64.60000000000001,52.73736124944259,54.67349551856594,50.83333333333333,27000.0,-1.0,9.0
28000.0,1.21875,-3.15291496614615E-13,28000.0,68.5,57.210912168265715,59.09090909090909,55.064194008559205,28000.0,-1.0,9.0
