learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.045489887,-1.176826629994644E-14,1000.0,47.199999999999996,30.0913182155809,31.782945736434105,23.144104803493445,1000.0,-1.0,9.0
2000.0,0.146849158,-3.798998219685422E-14,2000.0,53.2,37.75296172206165,39.612903225806456,31.1764705882353,2000.0,-1.0,21.0
3000.0,0.284720083,-7.365728909563686E-14,3000.0,53.1,38.51244696862431,38.772845953002616,33.1908831908832,3000.0,-1.0,18.0
4000.0,0.418331992,-1.0822278550929493E-13,4000.0,56.49999999999999,42.70412806878665,42.61213720316622,37.76824034334763,4000.0,-1.0,22.0
5000.0,0.534164328,-1.381886936724186E-13,5000.0,59.8,48.11396857152076,48.65900383141762,44.780219780219774,5000.0,-1.0,13.0
6000.0,0.634925682,-1.6425572801381348E-13,6000.0,59.8,47.39541895230517,48.39537869062901,41.228070175438596,6000.0,-1.0,12.0
7000.0,0.723811205,-1.8725047638225885E-13,7000.0,48.0,31.19099131286265,32.467532467532465,26.24113475177305,7000.0,-1.0,16.0
8000.0,0.864578335,-2.2366703358582322E-13,8000.0,53.6,38.769154433693856,40.43645699614892,33.04473304473305,8000.0,-1.0,24.0
9000.0,0.984892841,-2.547924823334647E-13,9000.0,53.900000000000006,40.314662136968145,41.198979591836746,34.794908062234796,9000.0,-1.0,13.0
10000.0,1.104577202,-2.857549121189448E-13,10000.0,54.7,40.43658797634294,40.938722294654504,33.77192982456141,10000.0,-1.0,16.0
11000.0,1.225234193,-3.1696896198102163E-13,11000.0,57.4,44.33606382798014,45.38461538461538,39.14285714285714,11000.0,-1.0,15.0
12000.0,1.341707131,-3.4710059433968526E-13,12000.0,55.00000000000001,41.32190023158291,41.93548387096775,35.5300859598854,12000.0,-1.0,11.0
13000.0,1.442148886,-3.730849481912122E-13,13000.0,51.2,36.1254036337839,37.516005121638926,31.460674157303377,13000.0,-1.0,17.0
14000.0,1.578035037,-4.082387926367421E-13,14000.0,54.6,41.06383669230521,40.498034076015735,35.14285714285715,14000.0,-1.0,21.0
15000.0,1.707834125,-4.418179095308813E-13,15000.0,62.9,51.732554115482785,50.99075297225891,46.77187948350072,15000.0,-1.0,16.0
16000.0,1.831821179,-4.738934490726226E-13,16000.0,60.099999999999994,48.46226378537568,49.30114358322745,43.48441926345609,16000.0,-1.0,16.0
17000.0,1.969645493,-5.095486976723703E-13,17000.0,58.8,45.892491532568904,47.64930114358323,39.76608187134503,17000.0,-1.0,23.0
18000.0,2.103035446,-5.44056773910092E-13,18000.0,59.0,46.36280980383179,47.368421052631575,41.92634560906516,18000.0,-1.0,12.0
19000.0,2.191101192,-5.668394453823566E-13,19000.0,59.099999999999994,46.78131022072094,47.631241997439176,41.15107913669064,19000.0,-1.0,14.0
20000.0,2.29458681,-5.936112487688661E-13,20000.0,53.400000000000006,39.42198695882776,41.161616161616166,31.97080291970803,20000.0,-1.0,12.0
21000.0,2.405970765,-6.224263575859368E-13,21000.0,46.300000000000004,29.267091151932185,29.527559055118115,22.844827586206904,21000.0,-1.0,18.0
22000.0,2.51873906,-6.515995961510473E-13,22000.0,58.599999999999994,45.821020920414476,45.74049803407601,40.43165467625899,22000.0,-1.0,16.0
23000.0,2.630227743,-6.804417981766165E-13,23000.0,54.800000000000004,41.24536429823958,41.14583333333334,35.97733711048159,23000.0,-1.0,11.0
24000.0,2.725112657,-7.049885932873521E-13,24000.0,53.0,38.50558094562716,39.2764857881137,34.265734265734274,24000.0,-1.0,13.0
25000.0,2.845938826,-7.362464096190202E-13,25000.0,52.1,37.1511495172841,38.11369509043928,31.766381766381773,25000.0,-1.0,20.0
26000.0,2.980501463,-7.710578600462112E-13,26000.0,48.3,32.95709772961869,34.47401774397972,28.09457579972183,26000.0,-1.0,18.0
27000.0,3.131809967,-8.102014782424602E-13,27000.0,41.4,22.76608139347913,24.967989756722147,18.611111111111107,27000.0,-1.0,20.0
28000.0,3.253285381,-8.416272547199495E-13,28000.0,55.400000000000006,41.40814873396935,42.07792207792209,36.37660485021399,28000.0,-1.0,8.0
29000.0,3.344460984,-8.652144484221935E-13,29000.0,49.4,34.65461866579195,33.7696335078534,28.932584269662925,29000.0,-1.0,13.0
30000.0,3.448741977,-8.92192015890032E-13,30000.0,51.7,36.926395846283235,38.627700127064806,31.875881523272216,30000.0,-1.0,14.0
31000.0,3.550765689,-9.185856231488287E-13,31000.0,56.3,42.360375594037656,42.49999999999999,36.39010189228529,31000.0,-1.0,13.0
32000.0,3.651804417,-9.447244143423935E-13,32000.0,56.2,42.7478670966241,45.25,37.96033994334279,32000.0,-1.0,16.0
33000.0,3.777146478,-9.771504951640964E-13,33000.0,54.50000000000001,39.91987556151809,41.591784338896026,33.9622641509434,33000.0,-1.0,16.0
34000.0,3.887523241,-1.0057050426904526E-12,34000.0,51.800000000000004,37.220700497154745,37.96653796653797,30.84648493543759,34000.0,-1.0,19.0
35000.0,4.007201668,-1.0366659373458889E-12,35000.0,48.4,32.672848760514974,34.35114503816794,27.22143864598025,35000.0,-1.0,17.0
36000.0,4.130997197,-1.068691929233157E-12,36000.0,51.9,36.86968117220272,38.17480719794345,31.966053748231964,36000.0,-1.0,15.0
37000.0,4.223167921,-1.0925365614497827E-12,37000.0,50.5,34.839956402007196,34.523809523809526,27.312775330396473,37000.0,-1.0,15.0
38000.0,4.343950505,-1.12378310231078E-12,38000.0,58.099999999999994,44.67354088017926,47.55944931163955,41.72461752433935,38000.0,-1.0,18.0
39000.0,4.477694014,-1.1583826437385546E-12,39000.0,52.5,37.55800532663079,40.02525252525253,32.23965763195436,39000.0,-1.0,21.0
40000.0,4.594414438,-1.188578300902413E-12,40000.0,54.800000000000004,41.333672525079216,42.12548015364918,32.93768545994066,40000.0,-1.0,15.0
41000.0,4.704237157,-1.216989516849733E-12,41000.0,55.300000000000004,42.58188824662813,40.32042723631509,37.48251748251749,41000.0,-1.0,17.0
42000.0,4.826865093,-1.2487134515928726E-12,42000.0,51.0,36.64216399335389,38.519447929736515,29.597701149425294,42000.0,-1.0,19.0
43000.0,4.961614821,-1.2835733025955658E-12,43000.0,49.5,33.50573562407171,32.48663101604278,25.406203840472667,43000.0,-1.0,20.0
44000.0,5.117567773,-1.3239184428109892E-12,44000.0,49.7,34.02344200883535,36.888331242158095,27.312138728323703,44000.0,-1.0,25.0
45000.0,5.282657875,-1.366627370266037E-12,45000.0,49.5,32.31688030407815,31.940700808625333,26.0614934114202,45000.0,-1.0,22.0
46000.0,5.450629148,-1.4100816587193146E-12,46000.0,43.2,25.260797709401345,25.654450261780106,20.891364902506968,46000.0,-1.0,29.0
47000.0,5.658373711,-1.4638253257402945E-12,47000.0,50.6,35.479320730468125,35.170603674540686,29.42857142857143,47000.0,-1.0,16.0
48000.0,5.768835792,-1.4924019450942677E-12,48000.0,52.7,37.924472587683326,37.76315789473685,32.137733142037305,48000.0,-1.0,15.0
49000.0,5.882770881,-1.5218770341016354E-12,49000.0,51.6,36.13764712091624,37.5483870967742,30.158730158730158,49000.0,-1.0,18.0
50000.0,5.99964904,-1.5521134974228012E-12,50000.0,60.699999999999996,48.46280142048584,48.4251968503937,45.11173184357542,50000.0,-1.0,14.0
51000.0,6.109135879,-1.5804378209739096E-12,51000.0,55.7,41.17561138192167,41.78712220762156,35.13909224011714,51000.0,-1.0,19.0
52000.0,6.245494441,-1.6157138784829942E-12,52000.0,58.5,45.429920183039876,47.26810673443456,40.54441260744986,52000.0,-1.0,22.0
53000.0,6.39174499,-1.6535490001034406E-12,53000.0,54.300000000000004,40.4665753039201,40.183246073298434,35.633802816901415,53000.0,-1.0,21.0
54000.0,6.493664144,-1.6799155581328604E-12,54000.0,50.6,36.499366921826095,35.760728218465545,29.629629629629633,54000.0,-1.0,14.0
55000.0,6.59716533,-1.7066913889721037E-12,55000.0,59.099999999999994,47.37844291654658,47.29381443298969,40.895953757225435,55000.0,-1.0,16.0
56000.0,6.735856821,-1.7425709768819313E-12,56000.0,51.4,36.60243858850417,36.47058823529412,31.45275035260931,56000.0,-1.0,18.0
57000.0,6.884018858,-1.7809006018150184E-12,57000.0,59.699999999999996,46.58530313834539,48.13384813384813,42.91784702549575,57000.0,-1.0,15.0
58000.0,6.968252365,-1.802691870317277E-12,58000.0,63.5,52.83622281460501,54.37499999999999,49.02234636871509,58000.0,-1.0,11.0
59000.0,7.048886877,-1.823552076239139E-12,59000.0,50.1,35.77235353779778,36.02564102564102,28.71428571428572,59000.0,-1.0,9.0
60000.0,7.134111621,-1.8455997784622016E-12,60000.0,55.00000000000001,41.28346516282748,43.32493702770782,35.437589670014354,60000.0,-1.0,14.0
61000.0,7.235331947,-1.87178554918824E-12,61000.0,53.5,38.80596622089335,37.75100401606426,31.00890207715134,61000.0,-1.0,16.0
62000.0,7.357061192,-1.903276991926962E-12,62000.0,46.2,28.958328381543964,29.58115183246074,22.47838616714698,62000.0,-1.0,13.0
