learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,-3.233758939637078E-14,1000.0,47.4,29.757744342226683,32.041343669250644,23.435225618631726,1000.0,-1.0,607.0,405.4092582399502,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.265625,-6.871737746728791E-14,2000.0,51.0,34.11498951218201,36.7741935483871,27.941176470588236,2000.0,-1.0,900.0,812.143939075936,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,-1.0913936421275138E-13,3000.0,53.7,39.20070595465398,39.55613577023499,34.04558404558406,3000.0,-1.0,589.0,387.7986304485587,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5625,-1.4551915228366852E-13,4000.0,54.50000000000001,39.952859695567604,39.9736147757256,34.90701001430615,4000.0,-1.0,794.0,624.0762061728609,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.71875,-1.85941139029132E-13,5000.0,60.0,48.25369145228602,48.91443167305236,45.05494505494505,5000.0,-1.0,630.0,480.0231475900118,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.859375,-2.2232092710004914E-13,6000.0,59.199999999999996,46.232662339801664,47.625160462130935,40.35087719298245,6000.0,-1.0,501.0,404.59719337742433,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.0,-2.5870071517096625E-13,7000.0,48.9,32.16991237839366,33.63636363636363,27.517730496453897,7000.0,-1.0,295.0,196.48296505182213,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.15625,-2.9912270191642974E-13,8000.0,54.300000000000004,39.32256364160216,41.335044929396666,34.05483405483406,8000.0,-1.0,461.0,302.7815494158564,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.296875,-3.3550248998734685E-13,9000.0,54.0,40.06772347247611,41.3265306122449,34.93635077793494,9000.0,-1.0,553.0,566.334216204923,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.453125,-3.7592447673281034E-13,10000.0,55.60000000000001,41.42078348382739,42.11212516297263,35.087719298245624,10000.0,-1.0,618.0,386.3734520440612,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.59375,-4.1230426480372745E-13,11000.0,55.60000000000001,41.69050264362654,43.07692307692309,36.571428571428584,11000.0,-1.0,397.0,298.4422519982346,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.734375,-4.4868405287464456E-13,12000.0,54.800000000000004,40.672916136179296,41.67741935483872,35.243553008595995,12000.0,-1.0,582.0,459.8260540682748,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.875,-4.850638409455617E-13,13000.0,52.5,37.122320252569715,39.18053777208707,33.28651685393259,13000.0,-1.0,523.0,476.02637648675636,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,2.015625,-5.214436290164789E-13,14000.0,56.10000000000001,42.928904234961315,42.46395806028834,37.2857142857143,14000.0,-1.0,539.0,424.85160808085556,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.140625,-5.537812184128497E-13,15000.0,63.0,51.67959128769971,51.12285336856011,46.91535150645624,15000.0,-1.0,675.9999999999999,502.7966233423256,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,2.296875,-5.942032051583131E-13,16000.0,62.8,51.720414477646024,52.731893265565446,47.308781869688396,16000.0,-1.0,475.0,371.1019626284219,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
