learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,22.6,0.0730731790447862,0.0,-12.663755458515283,1000.0,-1.0
2000.0,0.0,0.0,2000.0,22.5,-0.6385026029661743,0.0,-13.970588235294118,2000.0,-1.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,23.400000000000002,1.2540478105727835,0.0,-9.116809116809113,3000.0,-1.0
4000.0,0.015625,-4.042198674546348E-15,4000.0,24.2,1.990700753559628,0.0,-8.440629470672388,4000.0,-1.0
5000.0,0.015625,-4.042198674546348E-15,5000.0,21.7,-0.3390768804927007,0.0,-7.554945054945058,5000.0,-1.0
6000.0,0.015625,-4.042198674546348E-15,6000.0,22.1,-0.9454402206027214,0.0,-13.88888888888889,6000.0,-1.0
7000.0,0.03125,-8.084397349092695E-15,7000.0,23.0,0.3211729479430576,0.0,-9.219858156028364,7000.0,-1.0
8000.0,0.03125,-8.084397349092695E-15,8000.0,22.1,-0.9777602640199029,0.0,-12.409812409812409,8000.0,-1.0
9000.0,0.03125,-8.084397349092695E-15,9000.0,21.6,-1.4646368562528223,0.0,-10.891089108910888,9000.0,-1.0
10000.0,0.046875,-1.2126596023639042E-14,10000.0,23.3,0.08623586943211935,0.0,-12.134502923976607,10000.0,-1.0
11000.0,0.046875,-1.2126596023639042E-14,11000.0,22.0,-1.027632352674512,0.0,-11.428571428571429,11000.0,-1.0
12000.0,0.046875,-1.2126596023639042E-14,12000.0,22.5,0.007483310926404828,0.0,-11.031518624641832,12000.0,-1.0
13000.0,0.046875,-1.2126596023639042E-14,13000.0,21.9,-1.1164237153618013,0.0,-9.691011235955054,13000.0,-1.0
14000.0,0.0625,-1.616879469818539E-14,14000.0,23.7,1.731103844335884,0.0,-9.000000000000002,14000.0,-1.0
15000.0,0.0625,-1.616879469818539E-14,15000.0,24.3,1.9112406867508889,0.0,-8.60832137733142,15000.0,-1.0
16000.0,0.0625,-1.616879469818539E-14,16000.0,21.3,-1.576697505369239,0.0,-11.473087818696882,16000.0,-1.0
17000.0,0.078125,-2.021099337273174E-14,17000.0,21.3,-2.303053622659023,0.0,-15.058479532163746,17000.0,-1.0
18000.0,0.078125,-2.021099337273174E-14,18000.0,22.1,-0.6176554923806964,0.0,-10.339943342776202,18000.0,-1.0
19000.0,0.078125,-2.021099337273174E-14,19000.0,21.9,-0.8428968381038962,0.0,-12.374100719424458,19000.0,-1.0
20000.0,0.078125,-2.021099337273174E-14,20000.0,20.8,-2.692035402819882,0.0,-15.62043795620438,20000.0,-1.0
21000.0,0.09375,-2.4253192047278088E-14,21000.0,23.799999999999997,1.8726611052589555,0.0,-9.482758620689657,21000.0,-1.0
22000.0,0.09375,-2.4253192047278088E-14,22000.0,23.7,1.2667105768845044,0.0,-9.784172661870503,22000.0,-1.0
23000.0,0.09375,-2.4253192047278088E-14,23000.0,23.200000000000003,1.0344987551995557,0.0,-8.781869688385266,23000.0,-1.0
24000.0,0.109375,-2.8295390721824436E-14,24000.0,22.6,0.35198665180100447,0.0,-8.251748251748246,24000.0,-1.0
25000.0,0.109375,-2.8295390721824436E-14,25000.0,22.6,-0.14400552732805738,0.0,-10.256410256410255,25000.0,-1.0
26000.0,0.109375,-2.8295390721824436E-14,26000.0,21.099999999999998,-1.8164361924524217,0.0,-9.735744089012522,26000.0,-1.0
27000.0,0.109375,-2.8295390721824436E-14,27000.0,21.9,-0.3623840242617411,0.0,-8.472222222222227,27000.0,-1.0
28000.0,0.125,-3.233758939637078E-14,28000.0,23.0,-0.40383203612451857,0.0,-9.843081312410838,28000.0,-1.0
29000.0,0.125,-3.233758939637078E-14,29000.0,23.599999999999998,1.6923330313760976,0.0,-7.303370786516853,29000.0,-1.0
30000.0,0.125,-3.233758939637078E-14,30000.0,21.3,-1.2708396600799867,0.0,-11.00141043723554,30000.0,-1.0
31000.0,0.140625,-3.637978807091713E-14,31000.0,24.0,1.6817593790426855,0.0,-10.625909752547308,31000.0,-1.0
32000.0,0.140625,-3.637978807091713E-14,32000.0,20.0,-3.3945730773456,0.0,-13.314447592067985,32000.0,-1.0
33000.0,0.140625,-3.637978807091713E-14,33000.0,22.1,-1.4307068118727309,0.0,-13.06240928882438,33000.0,-1.0
34000.0,0.140625,-3.637978807091713E-14,34000.0,22.3,-0.7268668499714155,0.0,-11.477761836441891,34000.0,-1.0
35000.0,0.15625,-4.042198674546348E-14,35000.0,21.4,-1.3513513513513464,0.0,-10.860366713681238,35000.0,-1.0
36000.0,0.15625,-4.042198674546348E-14,36000.0,22.2,-0.7106704120334969,0.0,-10.042432814710038,36000.0,-1.0
37000.0,0.15625,-4.042198674546348E-14,37000.0,24.4,1.7282056948244824,0.0,-11.013215859030838,37000.0,-1.0
38000.0,0.15625,-4.042198674546348E-14,38000.0,20.1,-3.342262070285673,0.0,-11.126564673157164,38000.0,-1.0
39000.0,0.171875,-4.446418542000983E-14,39000.0,20.8,-2.935079417273077,0.0,-12.981455064194005,39000.0,-1.0
40000.0,0.171875,-4.446418542000983E-14,40000.0,21.9,-1.7030375480843116,0.0,-15.875370919881309,40000.0,-1.0
41000.0,0.171875,-4.446418542000983E-14,41000.0,25.1,3.8696014888019006,0.0,-4.7552447552447505,41000.0,-1.0
42000.0,0.1875,-4.8506384094556176E-14,42000.0,20.3,-2.9935322129394497,0.0,-14.511494252873561,42000.0,-1.0
43000.0,0.1875,-4.8506384094556176E-14,43000.0,25.2,2.3717911904898634,0.0,-10.487444608567209,43000.0,-1.0
44000.0,0.1875,-4.8506384094556176E-14,44000.0,20.3,-3.1131903376342445,0.0,-15.173410404624278,44000.0,-1.0
45000.0,0.1875,-4.8506384094556176E-14,45000.0,25.8,2.952747666680616,0.0,-8.63836017569546,45000.0,-1.0
46000.0,0.203125,-5.2548582769102524E-14,46000.0,23.599999999999998,1.4862170965254526,0.0,-6.4066852367688,46000.0,-1.0
47000.0,0.203125,-5.2548582769102524E-14,47000.0,23.799999999999997,0.9230281147160466,0.0,-8.857142857142858,47000.0,-1.0
48000.0,0.203125,-5.2548582769102524E-14,48000.0,24.0,1.5819408041273433,0.0,-9.03873744619799,48000.0,-1.0
49000.0,0.21875,-5.659078144364887E-14,49000.0,22.5,-0.3306379992905618,0.0,-11.83261183261183,49000.0,-1.0
50000.0,0.21875,-5.659078144364887E-14,50000.0,23.799999999999997,1.6149607234528234,0.0,-6.424581005586591,50000.0,-1.0
51000.0,0.21875,-5.659078144364887E-14,51000.0,23.9,1.4270411143796056,0.0,-11.420204978038068,51000.0,-1.0
52000.0,0.234375,-6.063298011819522E-14,52000.0,21.3,-1.820214223520595,0.0,-12.750716332378223,52000.0,-1.0
53000.0,0.234375,-6.063298011819522E-14,53000.0,23.599999999999998,1.3679388997619326,0.0,-7.605633802816901,53000.0,-1.0
54000.0,0.234375,-6.063298011819522E-14,54000.0,23.1,0.9459724039858641,0.0,-9.544159544159541,54000.0,-1.0
55000.0,0.234375,-6.063298011819522E-14,55000.0,22.400000000000002,-0.39043599980335797,0.0,-12.138728323699421,55000.0,-1.0
56000.0,0.25,-6.467517879274156E-14,56000.0,23.5,1.0587361902569365,0.0,-7.898448519040901,56000.0,-1.0
57000.0,0.25,-6.467517879274156E-14,57000.0,22.3,-0.8396817774778403,0.0,-10.056657223796032,57000.0,-1.0
58000.0,0.25,-6.467517879274156E-14,58000.0,20.0,-2.9544053546586238,0.0,-11.73184357541899,58000.0,-1.0
59000.0,0.25,-6.467517879274156E-14,59000.0,22.0,-0.392689867674712,0.0,-11.428571428571429,59000.0,-1.0
60000.0,0.265625,-6.871737746728791E-14,60000.0,20.599999999999998,-1.8821246914023786,0.0,-13.916786226685796,60000.0,-1.0
61000.0,0.265625,-6.871737746728791E-14,61000.0,25.3,2.413661564830248,0.0,-10.830860534124632,61000.0,-1.0
62000.0,0.265625,-6.871737746728791E-14,62000.0,23.599999999999998,0.25914345581179254,0.0,-10.086455331412106,62000.0,-1.0
63000.0,0.28125,-7.275957614183426E-14,63000.0,21.4,-2.5224969054119124,0.0,-16.272189349112427,63000.0,-1.0
64000.0,0.28125,-7.275957614183426E-14,64000.0,21.8,-1.6276011207627017,0.0,-11.554921540656203,64000.0,-1.0
65000.0,0.28125,-7.275957614183426E-14,65000.0,21.6,-1.087463865099814,0.0,-10.112359550561797,65000.0,-1.0
66000.0,0.28125,-7.275957614183426E-14,66000.0,22.1,-1.2483834701291276,0.0,-13.722627737226276,66000.0,-1.0
67000.0,0.296875,-7.680177481638061E-14,67000.0,22.1,-2.2307028065543113,0.0,-13.39155749636099,67000.0,-1.0
68000.0,0.296875,-7.680177481638061E-14,68000.0,22.5,0.08547526438672425,0.0,-8.543417366946775,68000.0,-1.0
69000.0,0.296875,-7.680177481638061E-14,69000.0,22.5,-0.8444912883371749,0.0,-15.67164179104478,69000.0,-1.0
70000.0,0.3125,-8.084397349092696E-14,70000.0,23.0,-0.9601705571296887,0.0,-15.789473684210527,70000.0,-1.0
71000.0,0.3125,-8.084397349092696E-14,71000.0,24.099999999999998,0.672781593972841,0.0,-10.641399416909623,71000.0,-1.0
72000.0,0.3125,-8.084397349092696E-14,72000.0,21.9,-0.5531064601186545,0.0,-6.11413043478261,72000.0,-1.0
73000.0,0.3125,-8.084397349092696E-14,73000.0,23.3,0.5986114909041913,0.0,-10.518731988472622,73000.0,-1.0
74000.0,0.328125,-8.48861721654733E-14,74000.0,24.0,0.6268354615752693,0.0,-10.144927536231886,74000.0,-1.0
75000.0,0.328125,-8.48861721654733E-14,75000.0,23.0,0.38371674821402546,0.0,-12.408759124087588,75000.0,-1.0
76000.0,0.328125,-8.48861721654733E-14,76000.0,21.3,-1.7278218483441101,0.0,-11.00141043723554,76000.0,-1.0
77000.0,0.34375,-8.892837084001965E-14,77000.0,23.799999999999997,1.9562431485169947,0.0,-7.627118644067796,77000.0,-1.0
78000.0,0.34375,-8.892837084001965E-14,78000.0,25.7,3.289208221068112,0.0,-6.906474820143882,78000.0,-1.0
79000.0,0.34375,-8.892837084001965E-14,79000.0,26.5,4.835151176159845,0.0,-8.567208271787296,79000.0,-1.0
80000.0,0.34375,-8.892837084001965E-14,80000.0,23.400000000000002,1.0366603619526085,0.0,-7.735583684950768,80000.0,-1.0
81000.0,0.359375,-9.2970569514566E-14,81000.0,22.7,-0.1106008449179292,0.0,-9.80113636363636,81000.0,-1.0
82000.0,0.359375,-9.2970569514566E-14,82000.0,22.7,0.04629162690500712,0.0,-10.113960113960111,82000.0,-1.0
83000.0,0.359375,-9.2970569514566E-14,83000.0,23.7,0.8359413177512754,0.0,-8.380681818181818,83000.0,-1.0
84000.0,0.375,-9.701276818911235E-14,84000.0,21.6,-3.0282959855760363,0.0,-13.953488372093027,84000.0,-1.0
85000.0,0.375,-9.701276818911235E-14,85000.0,21.5,-1.1048115586626863,0.0,-11.189801699716712,85000.0,-1.0
86000.0,0.375,-9.701276818911235E-14,86000.0,21.2,-2.4020293275253577,0.0,-17.787742899850524,86000.0,-1.0
87000.0,0.375,-9.701276818911235E-14,87000.0,23.599999999999998,0.1737812446918284,0.0,-12.518409425625924,87000.0,-1.0
88000.0,0.390625,-1.010549668636587E-13,88000.0,22.8,0.9822255399162231,0.0,-7.670850767085071,88000.0,-1.0
89000.0,0.390625,-1.010549668636587E-13,89000.0,21.8,0.26108128721875007,0.0,-7.4175824175824205,89000.0,-1.0
90000.0,0.390625,-1.010549668636587E-13,90000.0,23.1,0.1508773478826564,0.0,-11.287988422575975,90000.0,-1.0
91000.0,0.390625,-1.010549668636587E-13,91000.0,23.5,1.8213739360773702,0.0,-7.1428571428571415,91000.0,-1.0
