learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.09375,-2.4253192047278088E-14,1000.0,41.199999999999996,20.692296902143998,24.03100775193798,14.410480349344972,1000.0,-1.0,10.0
2000.0,0.171875,-4.446418542000983E-14,2000.0,43.3,23.44923955527653,26.838709677419352,16.61764705882353,2000.0,-1.0,10.0
3000.0,0.25,-6.467517879274156E-14,3000.0,44.4,25.82532664871888,27.415143603133156,20.7977207977208,3000.0,-1.0,10.0
4000.0,0.328125,-8.48861721654733E-14,4000.0,48.4,30.743367939279654,31.926121372031663,26.18025751072961,4000.0,-1.0,10.0
5000.0,0.421875,-1.091393642127514E-13,5000.0,50.1,34.78061978016233,36.27075351213283,31.456043956043956,5000.0,-1.0,10.0
6000.0,0.515625,-1.3339255626002948E-13,6000.0,46.7,28.26012635908701,31.578947368421055,22.07602339181287,6000.0,-1.0,10.0
7000.0,0.59375,-1.5360354963276122E-13,7000.0,42.9,23.32699091337561,25.844155844155843,19.00709219858156,7000.0,-1.0,10.0
8000.0,0.671875,-1.7381454300549296E-13,8000.0,46.7,28.310977028577426,31.578947368421055,23.088023088023093,8000.0,-1.0,10.0
9000.0,0.734375,-1.8998333770367835E-13,9000.0,45.2,27.23680436791621,30.102040816326532,22.48939179632249,9000.0,-1.0,10.0
10000.0,0.828125,-2.1423652975095645E-13,10000.0,50.1,32.50445010739772,34.9413298565841,27.046783625730995,10000.0,-1.0,10.0
11000.0,0.90625,-2.3444752312368816E-13,11000.0,44.4,25.390659071543116,28.717948717948715,20.571428571428573,11000.0,-1.0,10.0
12000.0,0.984375,-2.546585164964199E-13,12000.0,49.1,32.04199777834743,34.322580645161295,27.07736389684814,12000.0,-1.0,10.0
13000.0,1.0625,-2.748695098691516E-13,13000.0,45.6,27.12668837684075,30.34571062740077,23.595505617977537,13000.0,-1.0,10.0
14000.0,1.15625,-2.991227019164297E-13,14000.0,52.400000000000006,37.361497849762344,37.61467889908257,32.00000000000001,14000.0,-1.0,10.0
15000.0,1.234375,-3.193336952891614E-13,15000.0,54.0,38.932432719471535,39.23381770145311,34.002869440459115,15000.0,-1.0,10.0
