learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,72.7,63.58339402767662,64.72868217054263,60.26200873362445,1000.0,-1.0,10.0
2000.0,0.109375,-2.8295390721824433E-14,2000.0,68.10000000000001,57.26862096864937,58.83870967741937,53.08823529411766,2000.0,-1.0,10.0
3000.0,0.171875,-4.446418542000982E-14,3000.0,76.7,69.2582936637781,69.5822454308094,66.80911680911682,3000.0,-1.0,10.0
4000.0,0.21875,-5.6590781443648867E-14,4000.0,78.2,71.21428194158348,71.2401055408971,68.81258941344778,4000.0,-1.0,10.0
5000.0,0.28125,-7.275957614183426E-14,5000.0,69.5,60.34722827125616,61.04725415070242,58.1043956043956,5000.0,-1.0,10.0
6000.0,0.34375,-8.892837084001965E-14,6000.0,76.3,68.4082980870358,69.57637997432606,65.35087719298247,6000.0,-1.0,10.0
7000.0,0.390625,-1.010549668636587E-13,7000.0,78.2,71.21952636317789,71.68831168831169,69.07801418439716,7000.0,-1.0,10.0
8000.0,0.453125,-1.1722376156184408E-13,8000.0,74.9,66.57469158161635,67.77920410783055,63.78066378066377,8000.0,-1.0,10.0
9000.0,0.515625,-1.3339255626002948E-13,9000.0,71.3,61.93502693726839,63.39285714285714,59.405940594059395,9000.0,-1.0,10.0
10000.0,0.5625,-1.4551915228366852E-13,10000.0,74.2,65.4587030680169,66.36245110821382,62.28070175438597,10000.0,-1.0,10.0
11000.0,0.625,-1.6168794698185392E-13,11000.0,85.0,80.31415976240503,80.76923076923077,78.57142857142858,11000.0,-1.0,10.0
12000.0,0.6875,-1.778567416800393E-13,12000.0,81.69999999999999,75.88773964029251,76.38709677419354,73.78223495702004,12000.0,-1.0,10.0
13000.0,0.734375,-1.8998333770367835E-13,13000.0,62.3,49.520917353557095,51.72855313700384,47.05056179775281,13000.0,-1.0,10.0
14000.0,0.796875,-2.0615213240186375E-13,14000.0,75.2,67.33902617619016,67.4967234600262,64.57142857142858,14000.0,-1.0,10.0
15000.0,0.859375,-2.2232092710004914E-13,15000.0,75.0,66.87285004796811,66.97490092470278,64.13199426111908,15000.0,-1.0,10.0
16000.0,0.921875,-2.3848972179823454E-13,16000.0,72.39999999999999,63.54915053672555,64.93011435832274,60.90651558073654,16000.0,-1.0,10.0
17000.0,0.96875,-2.5061631782187356E-13,17000.0,83.8,78.48776989881283,79.41550190597204,76.31578947368422,17000.0,-1.0,10.0
18000.0,1.03125,-2.6678511252005895E-13,18000.0,79.3,72.82348261162393,73.42747111681643,70.67988668555242,18000.0,-1.0,10.0
19000.0,1.09375,-2.8295390721824435E-13,19000.0,57.599999999999994,43.284268875369854,45.710627400768246,38.99280575539568,19000.0,-1.0,10.0
20000.0,1.140625,-2.9508050324188337E-13,20000.0,78.4,71.29522331253123,72.72727272727273,68.46715328467154,20000.0,-1.0,10.0
21000.0,1.203125,-3.1124929794006876E-13,21000.0,78.8,72.10889634113451,72.17847769028872,69.54022988505749,21000.0,-1.0,10.0
22000.0,1.265625,-3.2741809263825415E-13,22000.0,62.2,49.13331512180418,50.45871559633027,45.611510791366904,22000.0,-1.0,10.0
23000.0,1.328125,-3.4358688733643955E-13,23000.0,61.5,48.5486716202491,49.86979166666667,45.467422096317286,23000.0,-1.0,10.0
24000.0,1.375,-3.5571348336007857E-13,24000.0,66.2,55.352956017378006,56.33074935400517,52.727272727272734,24000.0,-1.0,10.0
25000.0,1.4375,-3.7188227805826396E-13,25000.0,79.9,73.48540312080763,74.03100775193799,71.36752136752139,25000.0,-1.0,10.0
26000.0,1.5,-3.8805107275644936E-13,26000.0,86.8,82.7452108156156,83.26996197718631,81.64116828929068,26000.0,-1.0,10.0
27000.0,1.546875,-4.001776687800884E-13,27000.0,72.7,64.11483253588517,65.04481434058899,62.08333333333332,27000.0,-1.0,10.0
28000.0,1.609375,-4.1634646347827377E-13,28000.0,71.39999999999999,61.681101011833306,62.857142857142854,59.20114122681882,28000.0,-1.0,10.0
