learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.078125,-2.021099337273174E-14,1000.0,48.6,30.50551156190891,33.59173126614987,25.18195050946142,1000.0,-1.0,9.0
2000.0,0.125,-3.233758939637078E-14,2000.0,43.9,23.422587197239395,27.612903225806452,17.5,2000.0,-1.0,9.0
3000.0,0.1875,-4.850638409455617E-14,3000.0,44.7,25.387633506214552,27.806788511749346,21.22507122507123,3000.0,-1.0,9.0
4000.0,0.25,-6.467517879274156E-14,4000.0,61.3,49.1581536133182,48.94459102902375,44.63519313304721,4000.0,-1.0,9.0
5000.0,0.3125,-8.084397349092696E-14,5000.0,64.4,53.68870745963048,54.53384418901661,51.098901098901095,5000.0,-1.0,9.0
6000.0,0.375,-9.701276818911235E-14,6000.0,69.3,59.546925566343035,60.59050064184852,55.11695906432749,6000.0,-1.0,9.0
7000.0,0.4375,-1.1318156288729775E-13,7000.0,65.8,54.73136639796689,55.584415584415595,51.48936170212765,7000.0,-1.0,9.0
8000.0,0.5,-1.2935035758548313E-13,8000.0,67.10000000000001,56.250581774178535,57.76636713735559,52.52525252525253,8000.0,-1.0,9.0
9000.0,0.5625,-1.4551915228366852E-13,9000.0,65.4,54.0909476902174,55.86734693877552,51.060820367751056,9000.0,-1.0,9.0
10000.0,0.625,-1.6168794698185392E-13,10000.0,66.60000000000001,55.1437013161429,56.45371577574968,51.169590643274866,10000.0,-1.0,9.0
11000.0,0.671875,-1.7381454300549296E-13,11000.0,69.3,59.319536428228794,60.641025641025635,56.14285714285714,11000.0,-1.0,9.0
12000.0,0.734375,-1.8998333770367835E-13,12000.0,65.3,54.343186608738215,55.22580645161291,50.28653295128941,12000.0,-1.0,9.0
13000.0,0.796875,-2.0615213240186375E-13,13000.0,65.9,55.12118595885362,56.33802816901409,52.10674157303372,13000.0,-1.0,9.0
14000.0,0.859375,-2.2232092710004914E-13,14000.0,61.8,49.819969287719424,49.93446920052425,45.42857142857144,14000.0,-1.0,9.0
