learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,74.5,66.17050067658998,67.05426356589147,62.882096069868986,1000.0,-1.0,9.0
2000.0,0.09375,-2.4253192047278088E-14,2000.0,66.0,54.0734797308706,56.12903225806453,50.000000000000014,2000.0,-1.0,9.0
3000.0,0.140625,-3.637978807091713E-14,3000.0,71.3,61.67262276779753,62.532637075718014,59.11680911680912,3000.0,-1.0,9.0
4000.0,0.171875,-4.446418542000983E-14,4000.0,96.39999999999999,95.31593985666775,95.25065963060686,94.84978540772532,4000.0,-1.0,9.0
5000.0,0.203125,-5.2548582769102524E-14,5000.0,96.39999999999999,95.36245027516128,95.40229885057471,95.05494505494505,5000.0,-1.0,9.0
6000.0,0.25,-6.467517879274156E-14,6000.0,94.6,92.96003254029402,93.06803594351733,92.10526315789474,6000.0,-1.0,9.0
7000.0,0.28125,-7.275957614183426E-14,7000.0,92.30000000000001,89.92643682371396,90.0,89.07801418439718,7000.0,-1.0,9.0
8000.0,0.3125,-8.084397349092696E-14,8000.0,71.0,60.55564849914242,62.77278562259306,58.15295815295814,8000.0,-1.0,9.0
9000.0,0.328125,-8.48861721654733E-14,9000.0,70.8,60.759070097470705,62.755102040816325,58.698727015558696,9000.0,-1.0,9.0
10000.0,0.375,-9.701276818911235E-14,10000.0,72.0,61.84766316936911,63.4941329856584,59.06432748538012,10000.0,-1.0,9.0
11000.0,0.40625,-1.0509716553820505E-13,11000.0,71.0,60.99565975841519,62.82051282051282,58.57142857142858,11000.0,-1.0,9.0
12000.0,0.4375,-1.1318156288729775E-13,12000.0,74.3,65.83155621972038,66.83870967741935,63.18051575931233,12000.0,-1.0,9.0
13000.0,0.46875,-1.2126596023639043E-13,13000.0,75.4,67.2663402171599,68.50192061459667,65.4494382022472,13000.0,-1.0,9.0
14000.0,0.5,-1.2935035758548313E-13,14000.0,73.4,64.696107812247,65.13761467889908,62.0,14000.0,-1.0,9.0
15000.0,0.546875,-1.4147695360912217E-13,15000.0,75.7,67.56020718748333,67.89960369881109,65.13629842180775,15000.0,-1.0,9.0
16000.0,0.578125,-1.4956135095821487E-13,16000.0,75.4,67.41272970051504,68.7420584498094,65.1558073654391,16000.0,-1.0,9.0
17000.0,0.609375,-1.5764574830730757E-13,17000.0,76.7,68.78512510734299,70.39390088945362,65.9356725146199,17000.0,-1.0,9.0
18000.0,0.640625,-1.6573014565640026E-13,18000.0,78.4,71.34735102280672,72.27214377406932,69.40509915014165,18000.0,-1.0,9.0
19000.0,0.671875,-1.7381454300549296E-13,19000.0,74.7,66.39780483366914,67.6056338028169,63.59712230215827,19000.0,-1.0,9.0
20000.0,0.71875,-1.85941139029132E-13,20000.0,74.0,65.22409060996944,67.17171717171718,62.04379562043795,20000.0,-1.0,9.0
21000.0,0.765625,-1.9806773505277105E-13,21000.0,75.3,67.15984513274337,67.58530183727034,64.51149425287358,21000.0,-1.0,9.0
22000.0,0.796875,-2.0615213240186375E-13,22000.0,75.4,67.19146978214337,67.75884665792923,64.60431654676259,22000.0,-1.0,9.0
23000.0,0.828125,-2.1423652975095645E-13,23000.0,76.4,68.60904830881248,69.27083333333334,66.57223796033995,23000.0,-1.0,9.0
24000.0,0.859375,-2.2232092710004914E-13,24000.0,76.3,68.68277367555882,69.37984496124031,66.85314685314685,24000.0,-1.0,9.0
25000.0,0.890625,-2.3040532444914184E-13,25000.0,74.6,66.22852386739244,67.18346253229974,63.81766381766383,25000.0,-1.0,9.0
26000.0,0.921875,-2.3848972179823454E-13,26000.0,74.0,65.53991008567309,67.0468948035488,63.83866481223922,26000.0,-1.0,9.0
27000.0,0.953125,-2.4657411914732723E-13,27000.0,73.0,64.376187460418,65.42893725992317,62.5,27000.0,-1.0,9.0
28000.0,1.0,-2.5870071517096625E-13,28000.0,73.9,64.87686717803794,66.1038961038961,62.76747503566333,28000.0,-1.0,9.0
29000.0,1.03125,-2.6678511252005895E-13,29000.0,72.8,63.8814674747303,64.3979057591623,61.79775280898877,29000.0,-1.0,9.0
30000.0,1.0625,-2.7486950986915165E-13,30000.0,73.4,64.72391824436511,66.2007623888183,62.4823695345557,30000.0,-1.0,9.0
31000.0,1.109375,-2.8699610589279067E-13,31000.0,72.89999999999999,63.84627596631167,64.34210526315789,60.553129548762726,31000.0,-1.0,9.0
32000.0,1.140625,-2.9508050324188337E-13,32000.0,72.3,63.02431718461544,65.37499999999999,60.76487252124646,32000.0,-1.0,9.0
33000.0,1.171875,-3.0316490059097606E-13,33000.0,73.1,63.61806815999393,65.46854942233634,60.957910014513786,33000.0,-1.0,9.0
34000.0,1.21875,-3.152914966146151E-13,34000.0,72.8,63.42483399984402,64.99356499356499,60.97560975609755,34000.0,-1.0,9.0
35000.0,1.25,-3.233758939637078E-13,35000.0,71.5,62.07796769841206,63.74045801526718,59.80253878702398,35000.0,-1.0,9.0
36000.0,1.265625,-3.274180926382541E-13,36000.0,74.1,65.37553507498403,66.70951156812339,63.36633663366336,36000.0,-1.0,9.0
37000.0,1.296875,-3.355024899873468E-13,37000.0,74.1,65.1431955211025,65.74074074074075,61.967694566813506,37000.0,-1.0,9.0
38000.0,1.328125,-3.435868873364395E-13,38000.0,72.7,63.62861215843536,65.8322903629537,62.03059805285118,38000.0,-1.0,9.0
39000.0,1.359375,-3.516712846855322E-13,39000.0,74.6,65.85227478970245,67.92929292929293,63.766048502139796,39000.0,-1.0,9.0
40000.0,1.390625,-3.597556820346249E-13,40000.0,75.2,66.61079359950455,68.24583866837388,63.204747774480715,40000.0,-1.0,9.0
41000.0,1.421875,-3.678400793837176E-13,41000.0,73.5,64.82145227664941,64.61949265687583,62.937062937062926,41000.0,-1.0,9.0
42000.0,1.453125,-3.759244767328103E-13,42000.0,73.0,63.93845496313708,66.12296110414051,61.20689655172414,42000.0,-1.0,9.0
43000.0,1.484375,-3.84008874081903E-13,43000.0,74.2,65.1362187391473,65.50802139037432,61.89069423929098,43000.0,-1.0,9.0
44000.0,1.53125,-3.96135470105542E-13,44000.0,74.1,65.40208388992787,67.50313676286073,62.572254335260126,44000.0,-1.0,9.0
45000.0,1.5625,-4.042198674546347E-13,45000.0,73.3,63.6852284566358,64.01617250673854,60.907759882869684,45000.0,-1.0,9.0
46000.0,1.59375,-4.123042648037274E-13,46000.0,71.7,62.22355114637506,62.958115183246065,60.5849582172702,46000.0,-1.0,9.0
