learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.046875,-1.2126596023639044E-14,1000.0,47.599999999999994,31.108832268412606,32.29974160206718,23.72634643377001,1000.0,-1.0,10.0
2000.0,0.125,-3.233758939637078E-14,2000.0,46.7,28.835790924093295,31.225806451612904,21.617647058823533,2000.0,-1.0,21.0
3000.0,0.25,-6.467517879274156E-14,3000.0,47.8,31.088563077727343,31.853785900783283,25.641025641025646,3000.0,-1.0,22.0
4000.0,0.375,-9.701276818911234E-14,4000.0,49.8,33.55428958681887,33.773087071240106,28.183118741058657,4000.0,-1.0,26.0
5000.0,0.53125,-1.3743475493457582E-13,5000.0,47.699999999999996,31.511603086823115,33.205619412515965,28.159340659340653,5000.0,-1.0,31.0
6000.0,0.6875,-1.778567416800393E-13,6000.0,49.5,32.90115476448305,35.17329910141207,26.169590643274855,6000.0,-1.0,23.0
7000.0,0.84375,-2.182787284255028E-13,7000.0,46.2,28.828353302404096,30.129870129870127,23.687943262411352,7000.0,-1.0,27.0
8000.0,0.9375,-2.4253192047278086E-13,8000.0,48.699999999999996,32.088599886681955,34.146341463414636,25.97402597402597,8000.0,-1.0,19.0
9000.0,1.015625,-2.627429138455126E-13,9000.0,49.3,33.33184305237592,35.33163265306122,28.28854314002829,9000.0,-1.0,15.0
10000.0,1.125,-2.91038304567337E-13,10000.0,53.6,38.43704391667772,39.5045632333768,32.16374269005849,10000.0,-1.0,23.0
11000.0,1.265625,-3.274180926382541E-13,11000.0,55.00000000000001,40.774121713128274,42.307692307692314,35.71428571428573,11000.0,-1.0,27.0
12000.0,1.421875,-3.678400793837176E-13,12000.0,54.7,40.69329925925538,41.548387096774206,35.100286532951294,12000.0,-1.0,31.0
