learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.023918301,-6.187681574374437E-15,1000.0,38.800000000000004,18.634765822347255,20.930232558139537,10.91703056768559,1000.0,-1.0,750.0,353.5533905932738,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.067134201,-1.73676658111314E-14,2000.0,48.0,30.219232384717476,32.903225806451616,23.52941176470588,2000.0,-1.0,1250.0,645.4972243679028,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.134949652,-3.491157148447302E-14,3000.0,49.6,33.113031014850506,34.20365535248042,28.20512820512821,3000.0,-1.0,1750.0,935.4143466934853,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.220240305,-5.697632441297173E-14,4000.0,54.0,38.91880981973082,39.31398416886544,34.19170243204579,4000.0,-1.0,2250.0,1224.744871391589,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.330156895,-8.541182485512561E-14,5000.0,48.8,32.74149350666411,34.61047254150703,29.670329670329664,5000.0,-1.0,2750.0,1513.8251770487457,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.458854179,-1.1870590426648657E-13,6000.0,54.6,39.46045127299737,41.72015404364571,33.62573099415205,6000.0,-1.0,2850.0,1700.4901254246279,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.587732614,-1.5204684757110146E-13,7000.0,51.9,35.984199676061415,37.532467532467535,31.773049645390074,7000.0,-1.0,2950.0,1921.3710382606132,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.717135863,-1.8552356063284806E-13,8000.0,52.300000000000004,36.33769582498071,38.767650834403085,31.16883116883117,8000.0,-1.0,3050.0,2166.0255461712973,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.850964905,-2.2014522950889336E-13,9000.0,49.6,32.95661335121157,35.714285714285715,28.71287128712871,9000.0,-1.0,3150.0,2427.2755646334567,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.975487335,-2.5235927120471994E-13,10000.0,55.50000000000001,40.31748416066266,41.98174706649284,34.94152046783627,10000.0,-1.0,3250.0,2700.3086243366083,-6.099999999999999,6.640783086353596,1.6,1.8973665961010275,1.2999999999999998,0.9486832980505138,1.2999999999999998,0.9486832980505138,0.20000000000000004,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
