learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,-4.042198674546348E-14,1000.0,48.5,31.538171125326357,33.4625322997416,25.03639010189228,1000.0,-1.0,684.0,376.7757954009254,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,-7.680177481638061E-14,2000.0,47.099999999999994,28.7377968528779,31.741935483870964,22.205882352941174,2000.0,-1.0,934.0000000000001,926.7649827940919,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.4375,-1.1318156288729773E-13,3000.0,47.5,30.25591429846749,31.462140992167097,25.213675213675213,3000.0,-1.0,1077.0,1197.2380251599466,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.578125,-1.4956135095821487E-13,4000.0,48.8,31.915617918958304,32.45382585751979,26.752503576537904,4000.0,-1.0,1497.0,1563.7778330412254,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.71875,-1.85941139029132E-13,5000.0,47.3,31.07930849136921,32.69476372924649,27.609890109890106,5000.0,-1.0,1073.0,1365.9026319617371,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.859375,-2.2232092710004914E-13,6000.0,50.3,33.657083207633306,36.200256739409504,27.339181286549707,6000.0,-1.0,1423.0,1343.7183071197956,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.0,-2.5870071517096625E-13,7000.0,48.699999999999996,31.73216652560642,33.37662337662338,27.23404255319149,7000.0,-1.0,686.0,855.6115421796922,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.140625,-2.9508050324188337E-13,8000.0,48.3,31.081277435850268,33.632862644415916,25.396825396825395,8000.0,-1.0,688.0,518.133401955734,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.296875,-3.3550248998734685E-13,9000.0,48.1,31.169664786984036,33.80102040816327,26.591230551626587,9000.0,-1.0,1285.9999999999998,913.8708880361601,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.4375,-3.7188227805826396E-13,10000.0,54.6,39.56320437487853,40.80834419817471,33.62573099415205,10000.0,-1.0,1403.0,1432.4031865675558,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
