learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.09375,-2.4253192047278088E-14,1000.0,39.4,18.739523969158565,21.705426356589147,11.790393013100438,1000.0,-1.0,9.0
2000.0,0.171875,-4.446418542000983E-14,2000.0,37.5,14.481497901033883,19.35483870967742,8.088235294117647,2000.0,-1.0,9.0
3000.0,0.25,-6.467517879274156E-14,3000.0,39.6,19.779846147307577,21.148825065274153,13.960113960113965,3000.0,-1.0,9.0
4000.0,0.328125,-8.48861721654733E-14,4000.0,39.1,18.64988191542794,19.65699208443272,12.875536480686698,4000.0,-1.0,9.0
5000.0,0.40625,-1.0509716553820505E-13,5000.0,39.2,20.10995393182541,22.349936143039592,16.483516483516482,5000.0,-1.0,9.0
6000.0,0.484375,-1.2530815891093678E-13,6000.0,40.0,18.98252858228878,22.978177150192554,12.280701754385968,6000.0,-1.0,9.0
7000.0,0.5625,-1.4551915228366852E-13,7000.0,40.0,19.46406016571612,22.07792207792208,14.8936170212766,7000.0,-1.0,9.0
8000.0,0.65625,-1.697723443309466E-13,8000.0,37.7,15.955390254332743,20.025673940949932,10.1010101010101,8000.0,-1.0,9.0
9000.0,0.734375,-1.8998333770367835E-13,9000.0,38.1,17.109241716950155,21.04591836734694,12.446958981612449,9000.0,-1.0,9.0
10000.0,0.8125,-2.101943310764101E-13,10000.0,45.9,26.72375261072028,29.465449804432854,20.906432748538016,10000.0,-1.0,9.0
11000.0,0.890625,-2.3040532444914184E-13,11000.0,43.0,23.600788654315014,26.923076923076923,18.571428571428573,11000.0,-1.0,9.0
12000.0,0.96875,-2.5061631782187356E-13,12000.0,44.6,25.896002932057065,28.516129032258064,20.630372492836678,12000.0,-1.0,9.0
13000.0,1.0625,-2.7486950986915165E-13,13000.0,44.5,25.82692950217173,28.937259923175418,22.050561797752813,13000.0,-1.0,9.0
14000.0,1.140625,-2.9508050324188337E-13,14000.0,41.6,22.527616119031542,23.46002621231979,16.57142857142857,14000.0,-1.0,9.0
15000.0,1.21875,-3.152914966146151E-13,15000.0,42.6,23.08032477791789,24.17437252311757,17.64705882352941,15000.0,-1.0,9.0
16000.0,1.296875,-3.355024899873468E-13,16000.0,44.3,26.06927454977914,29.224904701397712,21.104815864022665,16000.0,-1.0,9.0
17000.0,1.375,-3.557134833600785E-13,17000.0,47.3,28.594172363099307,33.03684879288437,22.953216374269005,17000.0,-1.0,9.0
18000.0,1.46875,-3.799666754073566E-13,18000.0,42.3,22.790875674576252,25.930680359435172,18.271954674220964,18000.0,-1.0,9.0
19000.0,1.546875,-4.0017766878008833E-13,19000.0,45.9,27.712743000762963,30.72983354673496,22.158273381294965,19000.0,-1.0,9.0
20000.0,1.640625,-4.244308608273664E-13,20000.0,43.5,23.6761871054633,28.66161616161616,17.518248175182478,20000.0,-1.0,9.0
21000.0,1.71875,-4.4464185420009813E-13,21000.0,40.2,20.063521429125217,21.522309711286095,14.080459770114947,21000.0,-1.0,9.0
22000.0,1.796875,-4.648528475728299E-13,22000.0,43.5,24.637828075543574,25.950196592398427,18.705035971223023,22000.0,-1.0,9.0
23000.0,1.875,-4.850638409455616E-13,23000.0,46.1,27.98199950830011,29.817708333333332,23.654390934844198,23000.0,-1.0,9.0
24000.0,1.953125,-5.052748343182934E-13,24000.0,42.9,24.23991136998388,26.22739018087855,20.13986013986014,24000.0,-1.0,9.0
25000.0,2.03125,-5.254858276910252E-13,25000.0,48.0,30.63198265799566,32.81653746770026,25.925925925925924,25000.0,-1.0,9.0
26000.0,2.109375,-5.456968210637569E-13,26000.0,41.099999999999994,21.814539840735282,25.348542458808616,18.080667593880385,26000.0,-1.0,9.0
27000.0,2.203125,-5.69950013111035E-13,27000.0,45.5,28.221094832445647,30.217669654289374,24.305555555555554,27000.0,-1.0,9.0
28000.0,2.28125,-5.901610064837667E-13,28000.0,46.7,28.39697897047484,30.77922077922078,23.9657631954351,28000.0,-1.0,9.0
29000.0,2.359375,-6.103719998564985E-13,29000.0,45.0,26.597570513042946,28.010471204188487,22.752808988764052,29000.0,-1.0,9.0
30000.0,2.4375,-6.305829932292303E-13,30000.0,42.6,23.46829934294735,27.06480304955527,19.040902679830747,30000.0,-1.0,9.0
31000.0,2.515625,-6.50793986601962E-13,31000.0,45.6,26.952509731832464,28.421052631578952,20.815138282387192,31000.0,-1.0,9.0
32000.0,2.59375,-6.710049799746938E-13,32000.0,48.4,31.253622174703732,35.49999999999999,26.91218130311615,32000.0,-1.0,9.0
33000.0,2.671875,-6.912159733474256E-13,33000.0,45.2,26.185145972914796,29.653401797175867,20.4644412191582,33000.0,-1.0,9.0
34000.0,2.765625,-7.154691653947036E-13,34000.0,46.800000000000004,29.050963279872615,31.53153153153153,23.67288378766141,34000.0,-1.0,9.0
35000.0,2.84375,-7.356801587674354E-13,35000.0,53.400000000000006,38.757057394888186,40.71246819338423,34.27362482369535,35000.0,-1.0,9.0
36000.0,2.921875,-7.558911521401671E-13,36000.0,45.800000000000004,27.857514598204958,30.334190231362467,23.33804809052334,36000.0,-1.0,9.0
37000.0,3.015625,-7.801443441874452E-13,37000.0,47.3,29.42251006767136,30.29100529100529,22.613803230543315,37000.0,-1.0,9.0
38000.0,3.09375,-8.00355337560177E-13,38000.0,47.4,29.785686158035595,34.16770963704631,26.84283727399165,38000.0,-1.0,9.0
39000.0,3.171875,-8.205663309329087E-13,39000.0,47.8,29.940691171319166,34.09090909090909,25.534950071326673,39000.0,-1.0,9.0
40000.0,3.25,-8.407773243056405E-13,40000.0,50.1,32.66483957634174,36.107554417413574,25.96439169139466,40000.0,-1.0,9.0
41000.0,3.34375,-8.650305163529185E-13,41000.0,52.5,37.823155965704565,36.58210947930575,33.56643356643357,41000.0,-1.0,9.0
42000.0,3.421875,-8.852415097256503E-13,42000.0,51.1,35.000717783484596,38.64491844416562,29.741379310344833,42000.0,-1.0,9.0
43000.0,3.515625,-9.094947017729284E-13,43000.0,45.2,24.89426263434745,26.737967914438503,19.054652880354507,43000.0,-1.0,9.0
44000.0,3.59375,-9.297056951456601E-13,44000.0,46.9,29.187537006513143,33.375156838143035,23.265895953757223,44000.0,-1.0,9.0
45000.0,3.671875,-9.499166885183918E-13,45000.0,50.0,32.32845601958685,32.61455525606468,26.79355783308931,45000.0,-1.0,9.0
46000.0,3.75,-9.701276818911234E-13,46000.0,47.9,30.819372169204396,31.806282722513085,27.437325905292482,46000.0,-1.0,9.0
47000.0,3.84375,-9.943808739384015E-13,47000.0,45.4,26.187888324708407,28.346456692913392,22.000000000000007,47000.0,-1.0,9.0
48000.0,3.921875,-1.0145918673111331E-12,48000.0,48.3,30.751354500827095,31.973684210526315,25.82496413199426,48000.0,-1.0,9.0
49000.0,4.0,-1.0348028606838648E-12,49000.0,49.0,31.51981695649897,34.193548387096776,26.406926406926406,49000.0,-1.0,9.0
50000.0,4.078125,-1.0550138540565965E-12,50000.0,51.9,36.194203090800556,36.876640419947506,32.821229050279335,50000.0,-1.0,9.0
51000.0,4.171875,-1.0792670461038745E-12,51000.0,49.6,31.816982712087743,33.77135348226019,26.207906295754025,51000.0,-1.0,9.0
52000.0,4.25,-1.0994780394766062E-12,52000.0,46.5,28.445707009913285,32.020330368487926,23.352435530085966,52000.0,-1.0,9.0
53000.0,4.328125,-1.1196890328493379E-12,53000.0,48.8,31.556841241280846,32.98429319371728,27.887323943661972,53000.0,-1.0,9.0
54000.0,4.40625,-1.1399000262220695E-12,54000.0,52.1,35.94406941041798,37.711313394018205,31.766381766381773,54000.0,-1.0,9.0
55000.0,4.5,-1.1641532182693476E-12,55000.0,48.5,31.00251338417264,33.634020618556704,25.578034682080926,55000.0,-1.0,9.0
56000.0,4.578125,-1.1843642116420792E-12,56000.0,47.099999999999994,29.20851371334131,30.849673202614376,25.387870239774323,56000.0,-1.0,9.0
57000.0,4.65625,-1.2045752050148109E-12,57000.0,47.3,28.978517012138333,32.17503217503217,25.35410764872521,57000.0,-1.0,9.0
58000.0,4.734375,-1.2247861983875426E-12,58000.0,44.5,26.168434411628937,30.624999999999996,22.48603351955308,58000.0,-1.0,9.0
59000.0,4.8125,-1.2449971917602742E-12,59000.0,44.3,26.028234106694644,28.589743589743588,20.42857142857143,59000.0,-1.0,9.0
60000.0,4.890625,-1.2652081851330059E-12,60000.0,41.5,22.94368302851083,26.322418136020147,16.068866571018646,60000.0,-1.0,9.0
61000.0,4.984375,-1.289461377180284E-12,61000.0,36.5,12.084321519404444,14.993306559571618,5.78635014836795,61000.0,-1.0,9.0
62000.0,5.0625,-1.3096723705530156E-12,62000.0,41.5,20.49826523137722,23.429319371727747,15.706051873198845,62000.0,-1.0,9.0
63000.0,5.140625,-1.3298833639257473E-12,63000.0,41.3,19.377434471846655,25.31806615776081,13.16568047337278,63000.0,-1.0,9.0
64000.0,5.203125,-1.3460521586239326E-12,64000.0,38.5,16.73875871704581,21.355498721227622,12.26818830242511,64000.0,-1.0,9.0
65000.0,5.28125,-1.3662631519966642E-12,65000.0,39.4,19.535697071816386,22.70408163265306,14.887640449438209,65000.0,-1.0,9.0
66000.0,5.375,-1.3905163440439423E-12,66000.0,41.199999999999996,20.524752890101137,24.518613607188698,14.160583941605834,66000.0,-1.0,9.0
67000.0,5.453125,-1.410727337416674E-12,67000.0,37.6,13.266235129120721,19.897304236200256,9.170305676855895,67000.0,-1.0,9.0
68000.0,5.53125,-1.4309383307894056E-12,68000.0,41.199999999999996,21.75232214622201,24.129032258064512,17.647058823529413,68000.0,-1.0,9.0
69000.0,5.609375,-1.4511493241621373E-12,69000.0,44.1,22.961795114206726,27.87096774193548,16.567164179104477,69000.0,-1.0,9.0
70000.0,5.703125,-1.4754025162094153E-12,70000.0,43.7,21.238031818156383,26.88311688311688,15.338345864661651,70000.0,-1.0,9.0
71000.0,5.78125,-1.495613509582147E-12,71000.0,43.2,21.993666105423916,25.164690382081687,17.20116618075802,71000.0,-1.0,9.0
72000.0,5.875,-1.519866701629425E-12,72000.0,42.5,24.06674730998198,26.376440460947503,21.874999999999996,72000.0,-1.0,9.0
73000.0,5.984375,-1.5481620923512494E-12,73000.0,42.4,22.202217506932243,24.902216427640152,17.002881844380404,73000.0,-1.0,9.0
74000.0,6.078125,-1.5724152843985275E-12,74000.0,44.9,24.63256666461492,27.500000000000004,20.144927536231886,74000.0,-1.0,9.0
75000.0,6.15625,-1.5926262777712591E-12,75000.0,44.7,25.040021579798495,28.18181818181818,19.27007299270073,75000.0,-1.0,9.0
76000.0,6.25,-1.6168794698185372E-12,76000.0,45.5,27.17165440611491,30.74968233799238,23.131170662905504,76000.0,-1.0,9.0
77000.0,6.34375,-1.6411326618658152E-12,77000.0,42.6,23.54098482941248,24.671916010498688,18.926553672316388,77000.0,-1.0,9.0
78000.0,6.4375,-1.6653858539130933E-12,78000.0,45.5,26.623538361079508,26.648721399730825,21.58273381294964,78000.0,-1.0,9.0
79000.0,6.515625,-1.685596847285825E-12,79000.0,41.9,21.22834965935667,20.95238095238095,14.180206794682418,79000.0,-1.0,9.0
80000.0,6.609375,-1.709850039333103E-12,80000.0,40.5,20.300153639871898,22.323759791122715,16.315049226441637,80000.0,-1.0,9.0
81000.0,6.703125,-1.734103231380381E-12,81000.0,41.6,22.299818921324572,24.450194049159116,17.045454545454547,81000.0,-1.0,9.0
82000.0,6.78125,-1.7543142247531127E-12,82000.0,42.1,22.70951860978585,25.097024579560152,17.521367521367523,82000.0,-1.0,9.0
83000.0,6.859375,-1.7745252181258443E-12,83000.0,41.0,20.770593267111874,22.673656618610746,16.193181818181817,83000.0,-1.0,9.0
84000.0,6.9375,-1.794736211498576E-12,84000.0,41.199999999999996,19.159367408301563,24.999999999999996,14.53488372093023,84000.0,-1.0,9.0
85000.0,7.015625,-1.8149472048713077E-12,85000.0,40.400000000000006,20.519238745004117,24.07643312101911,15.580736543909355,85000.0,-1.0,9.0
86000.0,7.109375,-1.8392003969185857E-12,86000.0,44.4,24.843028717803147,29.441624365482234,16.890881913303435,86000.0,-1.0,9.0
87000.0,7.1875,-1.8594113902913174E-12,87000.0,45.2,25.163499999317185,28.272251308900525,19.293078055964653,87000.0,-1.0,9.0
88000.0,7.265625,-1.879622383664049E-12,88000.0,46.7,30.099919083771248,30.958549222797927,25.66248256624826,88000.0,-1.0,9.0
89000.0,7.34375,-1.8998333770367807E-12,89000.0,45.1,28.62046369394951,29.795396419437342,24.587912087912088,89000.0,-1.0,9.0
90000.0,7.4375,-1.924086569084059E-12,90000.0,47.4,29.707900244017814,31.599479843953183,23.87843704775687,90000.0,-1.0,9.0
91000.0,7.515625,-1.9442975624567906E-12,91000.0,47.699999999999996,31.39778006889079,31.633986928104573,26.750700280112046,91000.0,-1.0,9.0
92000.0,7.59375,-1.9645085558295223E-12,92000.0,48.1,30.367442553140105,31.620553359683797,25.644699140401144,92000.0,-1.0,9.0
93000.0,7.6875,-1.9887617478768005E-12,93000.0,48.0,30.12893898106494,33.33333333333333,23.976608187134502,93000.0,-1.0,9.0
94000.0,7.765625,-2.0089727412495322E-12,94000.0,47.8,30.112623106212748,33.503184713375795,25.10760401721664,94000.0,-1.0,9.0
95000.0,7.84375,-2.029183734622264E-12,95000.0,48.1,30.42550367779635,31.800262812089354,26.173541963015644,95000.0,-1.0,9.0
96000.0,7.921875,-2.0493947279949955E-12,96000.0,44.7,26.694088998413257,27.90091264667536,21.112696148359486,96000.0,-1.0,9.0
97000.0,8.0,-2.0696057213677272E-12,97000.0,44.9,26.978569336565183,29.629629629629626,22.612359550561802,97000.0,-1.0,9.0
98000.0,8.09375,-2.0938589134150054E-12,98000.0,48.5,31.631148052417007,34.39490445859873,27.157001414427157,98000.0,-1.0,9.0
99000.0,8.171875,-2.114069906787737E-12,99000.0,48.199999999999996,30.86512025198196,33.16129032258065,25.360230547550433,99000.0,-1.0,9.0
100000.0,8.25,-2.1342809001604688E-12,100000.0,48.5,31.33946700761398,32.76762402088772,27.157001414427157,100000.0,-1.0,9.0
