learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0625,-1.616879469818539E-14,1000.0,67.5,56.60510377388722,58.01033591731267,52.69286754002911,1000.0,-1.0,10.0
2000.0,0.125,-3.233758939637078E-14,2000.0,81.89999999999999,75.90832919604364,76.64516129032258,73.38235294117646,2000.0,-1.0,10.0
3000.0,0.1875,-4.850638409455617E-14,3000.0,84.39999999999999,79.55042393544225,79.63446475195822,77.77777777777779,3000.0,-1.0,10.0
4000.0,0.265625,-6.871737746728791E-14,4000.0,72.0,62.86994136102882,63.06068601583114,59.94277539341917,4000.0,-1.0,10.0
5000.0,0.328125,-8.48861721654733E-14,5000.0,74.1,66.28973646122928,66.9220945083014,64.42307692307692,5000.0,-1.0,10.0
6000.0,0.375,-9.701276818911235E-14,6000.0,81.0,74.72927068675203,75.60975609756099,72.22222222222223,6000.0,-1.0,10.0
7000.0,0.4375,-1.1318156288729775E-13,7000.0,72.89999999999999,64.04123448697722,64.8051948051948,61.560283687943254,7000.0,-1.0,10.0
8000.0,0.5,-1.2935035758548313E-13,8000.0,85.2,80.47596432905914,81.0012836970475,78.64357864357862,8000.0,-1.0,10.0
9000.0,0.5625,-1.4551915228366852E-13,9000.0,76.1,68.32053783508653,69.51530612244898,66.19519094766619,9000.0,-1.0,10.0
10000.0,0.609375,-1.5764574830730757E-13,10000.0,65.5,53.356064928357625,55.019556714471975,49.56140350877194,10000.0,-1.0,10.0
11000.0,0.671875,-1.7381454300549296E-13,11000.0,75.7,67.84978573139091,68.84615384615384,65.28571428571429,11000.0,-1.0,10.0
12000.0,0.734375,-1.8998333770367835E-13,12000.0,68.8,58.5116313705257,59.74193548387097,55.30085959885387,12000.0,-1.0,10.0
13000.0,0.796875,-2.0615213240186375E-13,13000.0,70.89999999999999,61.327259099390275,62.740076824583866,59.12921348314607,13000.0,-1.0,10.0
14000.0,0.859375,-2.2232092710004914E-13,14000.0,74.4,66.294590545106,66.44823066841415,63.42857142857143,14000.0,-1.0,10.0
15000.0,0.90625,-2.3444752312368816E-13,15000.0,67.0,55.90204373982741,56.40686922060767,52.6542324246772,15000.0,-1.0,10.0
16000.0,0.984375,-2.546585164964199E-13,16000.0,77.9,70.94865141273685,71.91867852604828,68.69688385269123,16000.0,-1.0,10.0
17000.0,1.046875,-2.7082731119460527E-13,17000.0,71.7,61.87833396195915,64.04066073697585,58.62573099415205,17000.0,-1.0,10.0
18000.0,1.09375,-2.829539072182443E-13,18000.0,82.8,77.36356613326278,77.92041078305519,75.63739376770539,18000.0,-1.0,10.0
19000.0,1.15625,-2.991227019164297E-13,19000.0,61.199999999999996,48.20319831900689,50.32010243277849,44.172661870503596,19000.0,-1.0,10.0
20000.0,1.21875,-3.152914966146151E-13,20000.0,77.4,69.92785346082503,71.46464646464646,67.00729927007299,20000.0,-1.0,10.0
21000.0,1.296875,-3.355024899873468E-13,21000.0,76.8,69.39519900376096,69.55380577427822,66.66666666666667,21000.0,-1.0,10.0
22000.0,1.34375,-3.476290860109858E-13,22000.0,87.9,84.10734503347965,84.14154652686763,82.58992805755396,22000.0,-1.0,10.0
23000.0,1.40625,-3.637978807091712E-13,23000.0,62.9,50.436651762037144,51.692708333333336,47.450424929178475,23000.0,-1.0,10.0
24000.0,1.46875,-3.799666754073566E-13,24000.0,70.19999999999999,60.689179366831944,61.49870801033591,58.32167832167832,24000.0,-1.0,10.0
25000.0,1.53125,-3.96135470105542E-13,25000.0,71.7,62.30842892741508,63.43669250645995,59.68660968660969,25000.0,-1.0,10.0
26000.0,1.59375,-4.123042648037274E-13,26000.0,72.2,63.16578180628116,64.76552598225602,61.33518776077885,26000.0,-1.0,10.0
27000.0,1.65625,-4.284730595019128E-13,27000.0,63.6,52.14442916455218,53.39308578745199,49.44444444444444,27000.0,-1.0,10.0
28000.0,1.71875,-4.446418542000982E-13,28000.0,61.8,48.431410400925536,50.3896103896104,45.50641940085592,28000.0,-1.0,10.0
29000.0,1.78125,-4.608106488982836E-13,29000.0,74.2,65.97778270088932,66.2303664921466,63.76404494382023,29000.0,-1.0,10.0
30000.0,1.84375,-4.76979443596469E-13,30000.0,73.7,65.5462878417697,66.58195679796697,62.90550070521861,30000.0,-1.0,10.0
31000.0,1.890625,-4.89106039620108E-13,31000.0,59.199999999999996,44.99383202895912,46.315789473684205,40.611353711790386,31000.0,-1.0,10.0
