learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
100.0,0.015625,-4.042198674546348E-15,100.0,71.0,41.99999999999999,66.27906976744185,-20.833333333333353,100.0,-1.0,3.0
200.0,0.015625,-4.042198674546348E-15,200.0,74.0,47.87489975942261,68.29268292682927,19.999999999999986,200.0,-1.0,3.0
300.0,0.015625,-4.042198674546348E-15,300.0,75.0,49.97776789684303,69.00826446280992,36.974789915966376,300.0,-1.0,3.0
400.0,0.03125,-8.084397349092695E-15,400.0,78.75,57.47873936968484,74.24242424242425,49.101796407185624,400.0,-1.0,3.0
500.0,0.03125,-8.084397349092695E-15,500.0,80.2,60.40633498640218,75.85365853658537,54.377880184331815,500.0,-1.0,3.0
600.0,0.03125,-8.084397349092695E-15,600.0,81.66666666666667,63.33129618312129,78.0,56.52173913043478,600.0,-1.0,3.0
700.0,0.03125,-8.084397349092695E-15,700.0,82.0,63.99853055226743,78.42465753424656,56.40138408304497,700.0,-1.0,3.0
800.0,0.046875,-1.2126596023639042E-14,800.0,82.625,65.24522121791748,79.06626506024097,57.750759878419466,800.0,-1.0,3.0
900.0,0.046875,-1.2126596023639042E-14,900.0,83.44444444444444,66.89183183717003,80.23872679045094,60.892388451443566,900.0,-1.0,3.0
1000.0,0.046875,-1.2126596023639042E-14,1000.0,83.8,67.60816274298875,80.62200956937798,62.41299303944315,1000.0,-1.0,3.0
1100.0,0.046875,-1.2126596023639042E-14,1100.0,84.8,69.61458499920037,81.73076923076923,66.44591611479028,1100.0,-1.0,3.0
1200.0,0.046875,-1.2126596023639042E-14,1200.0,85.9,71.80563887222556,83.29383886255924,69.61206896551724,1200.0,-1.0,3.0
1300.0,0.046875,-1.2126596023639042E-14,1300.0,86.2,72.41103558576569,83.64928909952607,69.93464052287581,1300.0,-1.0,3.0
1400.0,0.046875,-1.2126596023639042E-14,1400.0,86.1,72.2040026236222,83.45238095238095,70.10752688172043,1400.0,-1.0,3.0
1500.0,0.0625,-1.616879469818539E-14,1500.0,85.9,71.80947201740214,83.13397129186603,69.54643628509719,1500.0,-1.0,3.0
