learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
100.0,0.078125,-2.021099337273174E-14,100.0,69.0,37.95036028823058,63.95348837209301,-29.166666666666696,100.0,-1.0,3.0
200.0,0.09375,-2.4253192047278088E-14,200.0,74.0,47.7491961414791,68.29268292682927,19.999999999999986,200.0,-1.0,3.0
300.0,0.109375,-2.8295390721824436E-14,300.0,75.33333333333333,50.640341515474915,69.42148760330578,37.81512605042015,300.0,-1.0,3.0
400.0,0.125,-3.233758939637078E-14,400.0,79.0,57.97478487092257,74.54545454545455,49.70059880239522,400.0,-1.0,3.0
500.0,0.125,-3.233758939637078E-14,500.0,80.60000000000001,61.20620700687891,76.34146341463416,55.299539170506925,500.0,-1.0,3.0
600.0,0.125,-3.233758939637078E-14,600.0,80.83333333333333,61.662406934103785,77.0,54.54545454545454,600.0,-1.0,3.0
700.0,0.140625,-3.637978807091713E-14,700.0,81.0,61.99503608634599,77.22602739726028,53.979238754325266,700.0,-1.0,3.0
800.0,0.140625,-3.637978807091713E-14,800.0,81.75,63.46734894311792,78.01204819277109,55.62310030395137,800.0,-1.0,3.0
900.0,0.140625,-3.637978807091713E-14,900.0,81.33333333333333,62.65172735760972,77.7188328912467,55.90551181102362,900.0,-1.0,3.0
1000.0,0.140625,-3.637978807091713E-14,1000.0,81.6,63.19337480746533,77.99043062200957,57.308584686774935,1000.0,-1.0,3.0
1100.0,0.140625,-3.637978807091713E-14,1100.0,83.1,66.19513209902226,79.68749999999999,62.69315673289182,1100.0,-1.0,3.0
1200.0,0.15625,-4.042198674546348E-14,1200.0,83.7,67.39869594783791,80.68720379146919,64.87068965517241,1200.0,-1.0,3.0
1300.0,0.15625,-4.042198674546348E-14,1300.0,83.8,67.59481517042727,80.80568720379146,64.70588235294117,1300.0,-1.0,3.0
1400.0,0.171875,-4.446418542000983E-14,1400.0,83.7,67.3973917913433,80.59523809523809,64.94623655913978,1400.0,-1.0,3.0
1500.0,0.171875,-4.446418542000983E-14,1500.0,83.3,66.58877382800621,80.02392344497608,63.930885529157656,1500.0,-1.0,3.0
1600.0,0.171875,-4.446418542000983E-14,1600.0,82.69999999999999,65.39501688243107,78.92813641900122,63.73165618448636,1600.0,-1.0,3.0
1700.0,0.1875,-4.8506384094556176E-14,1700.0,82.69999999999999,65.39750862062067,78.90243902439023,64.76578411405295,1700.0,-1.0,3.0
1800.0,0.1875,-4.8506384094556176E-14,1800.0,82.89999999999999,65.79808469274279,79.34782608695652,65.66265060240963,1800.0,-1.0,3.0
1900.0,0.203125,-5.2548582769102524E-14,1900.0,83.0,65.99510329487445,79.16666666666666,65.58704453441294,1900.0,-1.0,3.0
2000.0,0.203125,-5.2548582769102524E-14,2000.0,82.3,64.59376850325657,78.25552825552825,64.17004048582994,2000.0,-1.0,3.0
2100.0,0.203125,-5.2548582769102524E-14,2100.0,82.1,64.19828151751284,77.84653465346534,63.61788617886178,2100.0,-1.0,3.0
2200.0,0.203125,-5.2548582769102524E-14,2200.0,82.6,65.19832951981695,78.41191066997517,64.27104722792608,2200.0,-1.0,3.0
2300.0,0.21875,-5.659078144364887E-14,2300.0,83.5,66.99920798099154,79.67980295566502,65.97938144329896,2300.0,-1.0,3.0
2400.0,0.21875,-5.659078144364887E-14,2400.0,83.2,66.3989247655925,79.25925925925924,64.85355648535564,2400.0,-1.0,3.0
2500.0,0.21875,-5.659078144364887E-14,2500.0,84.0,67.99897596723095,80.440097799511,66.52719665271965,2500.0,-1.0,3.0
2600.0,0.21875,-5.659078144364887E-14,2600.0,85.5,71.0006959832964,82.63473053892216,69.60167714884695,2600.0,-1.0,3.0
2700.0,0.21875,-5.659078144364887E-14,2700.0,85.7,71.4002287981696,82.89473684210526,70.0836820083682,2700.0,-1.0,3.0
2800.0,0.234375,-6.063298011819522E-14,2800.0,85.3,70.59764781182494,82.41626794258373,69.18238993710692,2800.0,-1.0,3.0
2900.0,0.234375,-6.063298011819522E-14,2900.0,85.8,71.59488707967434,83.21513002364065,70.16806722689076,2900.0,-1.0,3.0
3000.0,0.25,-6.467517879274156E-14,3000.0,86.3,72.59232585123834,83.92018779342723,71.03594080338266,3000.0,-1.0,3.0
3100.0,0.25,-6.467517879274156E-14,3100.0,87.1,74.18864300292128,85.13824884792626,73.06889352818371,3100.0,-1.0,3.0
3200.0,0.265625,-6.871737746728791E-14,3200.0,86.5,72.98054599311504,84.33874709976799,71.875,3200.0,-1.0,3.0
3300.0,0.265625,-6.871737746728791E-14,3300.0,84.8,69.5883219156156,82.20140515222482,68.78850102669404,3300.0,-1.0,3.0
3400.0,0.28125,-7.275957614183426E-14,3400.0,84.5,68.99255821397135,81.8075117370892,68.43177189409369,3400.0,-1.0,3.0
3500.0,0.296875,-7.680177481638061E-14,3500.0,84.1,68.18549258461857,81.33802816901408,67.74847870182555,3500.0,-1.0,3.0
3600.0,0.296875,-7.680177481638061E-14,3600.0,82.8,65.57728100546359,79.42583732057416,64.89795918367346,3600.0,-1.0,3.0
3700.0,0.296875,-7.680177481638061E-14,3700.0,82.5,64.96496496496495,79.16666666666666,64.13934426229507,3700.0,-1.0,3.0
3800.0,0.3125,-8.084397349092696E-14,3800.0,82.1,64.17391861275007,78.43373493975902,63.69168356997971,3800.0,-1.0,3.0
3900.0,0.3125,-8.084397349092696E-14,3900.0,82.19999999999999,64.39729419435876,78.45036319612589,64.32865731462924,3900.0,-1.0,3.0
4000.0,0.3125,-8.084397349092696E-14,4000.0,82.1,64.20429548454184,78.2766990291262,64.3426294820717,4000.0,-1.0,3.0
4100.0,0.3125,-8.084397349092696E-14,4100.0,81.3,62.59551146137535,76.94204685573366,62.44979919678714,4100.0,-1.0,3.0
4200.0,0.328125,-8.48861721654733E-14,4200.0,81.3,62.59999999999999,76.625,62.52505010020039,4200.0,-1.0,3.0
4300.0,0.328125,-8.48861721654733E-14,4300.0,83.1,66.19107444365312,79.08415841584157,65.72008113590263,4300.0,-1.0,3.0
4400.0,0.328125,-8.48861721654733E-14,4400.0,83.3,66.59064538070659,79.65895249695492,66.05691056910568,4400.0,-1.0,3.0
4500.0,0.328125,-8.48861721654733E-14,4500.0,82.8,65.59518332566559,79.10085054678008,65.1821862348178,4500.0,-1.0,3.0
4600.0,0.328125,-8.48861721654733E-14,4600.0,83.39999999999999,66.80092957397193,79.85436893203882,66.8,4600.0,-1.0,3.0
4700.0,0.34375,-8.892837084001965E-14,4700.0,84.1,68.20076318168363,80.60975609756098,68.19999999999999,4700.0,-1.0,3.0
4800.0,0.34375,-8.892837084001965E-14,4800.0,84.2,68.40101116764264,80.75517661388551,68.33667334669337,4800.0,-1.0,3.0
4900.0,0.34375,-8.892837084001965E-14,4900.0,84.3,68.59698531058982,80.90024330900243,68.15415821501014,4900.0,-1.0,3.0
5000.0,0.34375,-8.892837084001965E-14,5000.0,84.3,68.5939700422481,80.90024330900243,68.15415821501014,5000.0,-1.0,3.0
5100.0,0.359375,-9.2970569514566E-14,5100.0,83.39999999999999,66.81911219137776,79.48084054388134,66.12244897959184,5100.0,-1.0,3.0
5200.0,0.359375,-9.2970569514566E-14,5200.0,83.3,66.62403069789751,79.38271604938272,65.91836734693877,5200.0,-1.0,3.0
5300.0,0.359375,-9.2970569514566E-14,5300.0,82.3,64.6404513236857,78.03970223325062,63.87755102040815,5300.0,-1.0,3.0
5400.0,0.359375,-9.2970569514566E-14,5400.0,82.1,64.22833116171991,77.2554002541296,63.61788617886178,5400.0,-1.0,3.0
5500.0,0.359375,-9.2970569514566E-14,5500.0,82.6,65.22225775503678,78.00252844500632,64.41717791411043,5500.0,-1.0,3.0
5600.0,0.375,-9.701276818911235E-14,5600.0,82.39999999999999,64.8147777933268,77.66497461928934,63.93442622950819,5600.0,-1.0,3.0
5700.0,0.375,-9.701276818911235E-14,5700.0,82.1,64.21603121801432,77.28426395939086,63.39468302658485,5700.0,-1.0,3.0
5800.0,0.375,-9.701276818911235E-14,5800.0,83.0,66.00870177234627,78.72340425531915,65.37678207739307,5800.0,-1.0,3.0
5900.0,0.375,-9.701276818911235E-14,5900.0,82.6,65.21266259081693,78.03030303030303,64.70588235294117,5900.0,-1.0,3.0
6000.0,0.375,-9.701276818911235E-14,6000.0,83.3,66.60400751909769,79.07268170426065,66.19433198380567,6000.0,-1.0,3.0
6100.0,0.375,-9.701276818911235E-14,6100.0,84.2,68.39999999999999,80.54187192118225,68.27309236947791,6100.0,-1.0,3.0
6200.0,0.390625,-1.010549668636587E-13,6200.0,84.7,69.39999999999999,81.47699757869249,69.3386773547094,6200.0,-1.0,3.0
6300.0,0.390625,-1.010549668636587E-13,6300.0,85.5,71.0006959832964,82.53012048192771,70.70707070707071,6300.0,-1.0,3.0
6400.0,0.390625,-1.010549668636587E-13,6400.0,85.6,71.2001151995392,82.89786223277909,70.61224489795917,6400.0,-1.0,3.0
6500.0,0.390625,-1.010549668636587E-13,6500.0,85.0,70.00035999568004,81.77399756986635,69.51219512195121,6500.0,-1.0,3.0
6600.0,0.40625,-1.0509716553820505E-13,6600.0,84.5,69.00371955365355,80.95823095823096,68.10699588477365,6600.0,-1.0,3.0
6700.0,0.40625,-1.0509716553820505E-13,6700.0,84.7,69.40440576556975,81.25,68.58316221765914,6700.0,-1.0,3.0
6800.0,0.40625,-1.0509716553820505E-13,6800.0,84.1,68.20178070028078,80.41871921182265,67.28395061728394,6800.0,-1.0,3.0
6900.0,0.40625,-1.0509716553820505E-13,6900.0,84.6,69.2080059184612,81.21951219512194,68.18181818181817,6900.0,-1.0,3.0
7000.0,0.40625,-1.0509716553820505E-13,7000.0,84.7,69.41076740987172,81.1576354679803,67.85714285714285,7000.0,-1.0,3.0
7100.0,0.421875,-1.091393642127514E-13,7100.0,84.89999999999999,69.81328215585143,81.35802469135803,68.6070686070686,7100.0,-1.0,3.0
7200.0,0.421875,-1.091393642127514E-13,7200.0,85.2,70.40568210903506,81.72839506172838,69.16666666666667,7200.0,-1.0,3.0
7300.0,0.421875,-1.091393642127514E-13,7300.0,84.8,69.6025533855156,81.07098381070985,69.04276985743381,7300.0,-1.0,3.0
7400.0,0.421875,-1.091393642127514E-13,7400.0,85.1,70.20238380929526,81.28140703517587,69.8989898989899,7400.0,-1.0,3.0
7500.0,0.421875,-1.091393642127514E-13,7500.0,85.3,70.6,81.73913043478261,70.18255578093306,7500.0,-1.0,3.0
7600.0,0.4375,-1.1318156288729775E-13,7600.0,85.7,71.4002287981696,82.51833740831296,71.285140562249,7600.0,-1.0,3.0
7700.0,0.4375,-1.1318156288729775E-13,7700.0,85.3,70.6035275766908,81.89655172413794,70.0,7700.0,-1.0,3.0
7800.0,0.4375,-1.1318156288729775E-13,7800.0,85.5,71.0,82.07663782447466,70.34764826175869,7800.0,-1.0,3.0
7900.0,0.4375,-1.1318156288729775E-13,7900.0,85.5,70.99651958234988,81.96517412935323,70.70707070707071,7900.0,-1.0,3.0
8000.0,0.4375,-1.1318156288729775E-13,8000.0,85.5,70.99791184965318,82.14285714285714,70.88353413654617,8000.0,-1.0,3.0
8100.0,0.453125,-1.1722376156184408E-13,8100.0,85.7,71.39313435224453,82.60340632603406,71.16935483870968,8100.0,-1.0,3.0
8200.0,0.453125,-1.1722376156184408E-13,8200.0,85.6,71.1926253120799,82.52427184466018,70.96774193548386,8200.0,-1.0,3.0
8300.0,0.453125,-1.1722376156184408E-13,8300.0,86.2,72.38132977893056,83.47305389221556,71.66324435318275,8300.0,-1.0,3.0
8400.0,0.453125,-1.1722376156184408E-13,8400.0,85.3,70.56420607458669,82.20338983050848,69.62809917355372,8400.0,-1.0,3.0
8500.0,0.453125,-1.1722376156184408E-13,8500.0,85.1,70.16156809971243,81.93939393939394,69.34156378600822,8500.0,-1.0,3.0
8600.0,0.46875,-1.2126596023639043E-13,8600.0,85.7,71.36678547114653,82.72946859903382,70.81632653061224,8600.0,-1.0,3.0
8700.0,0.46875,-1.2126596023639043E-13,8700.0,85.9,71.82096520188979,82.8883495145631,71.96819085487077,8700.0,-1.0,3.0
8800.0,0.46875,-1.2126596023639043E-13,8800.0,85.8,71.6136254597793,82.7460510328068,71.88118811881188,8800.0,-1.0,3.0
8900.0,0.46875,-1.2126596023639043E-13,8900.0,85.39999999999999,70.7970797079708,82.23844282238441,70.85828343313374,8900.0,-1.0,3.0
9000.0,0.484375,-1.2530815891093678E-13,9000.0,85.2,70.41739457199166,81.72839506172838,70.51792828685258,9000.0,-1.0,3.0
9100.0,0.484375,-1.2530815891093678E-13,9100.0,85.7,71.41943478434663,82.2139303482587,71.34268537074148,9100.0,-1.0,3.0
9200.0,0.484375,-1.2530815891093678E-13,9200.0,85.6,71.21761481973033,82.13399503722083,71.31474103585657,9200.0,-1.0,3.0
9300.0,0.484375,-1.2530815891093678E-13,9300.0,85.2,70.41408289654125,81.45363408521303,71.09375,9300.0,-1.0,3.0
9400.0,0.484375,-1.2530815891093678E-13,9400.0,85.6,71.20518306704793,82.04488778054862,72.09302325581395,9400.0,-1.0,3.0
9500.0,0.5,-1.2935035758548313E-13,9500.0,86.3,72.60547890421915,83.02354399008674,73.0844793713163,9500.0,-1.0,3.0
9600.0,0.5,-1.2935035758548313E-13,9600.0,85.9,71.8011279548818,82.375,72.29862475442043,9600.0,-1.0,3.0
