learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.125,-3.233758939637078E-14,1000.0,83.5,67.04982067114523,80.26315789473684,61.7169373549884,1000.0,-1.0,10.0
2000.0,0.15625,-4.042198674546348E-14,2000.0,86.3,72.61007949074741,83.16953316953317,72.2672064777328,2000.0,-1.0,10.0
3000.0,0.203125,-5.2548582769102524E-14,3000.0,91.3,82.58955373223935,89.7887323943662,81.60676532769557,3000.0,-1.0,10.0
4000.0,0.234375,-6.063298011819522E-14,4000.0,90.5,81.00319146383409,88.47087378640776,81.07569721115539,4000.0,-1.0,10.0
5000.0,0.28125,-7.275957614183426E-14,5000.0,89.7,79.39703317277689,87.46958637469587,79.10750507099392,5000.0,-1.0,10.0
6000.0,0.3125,-8.084397349092696E-14,6000.0,96.2,92.39817556213491,95.23809523809523,92.3076923076923,6000.0,-1.0,10.0
7000.0,0.34375,-8.892837084001965E-14,7000.0,98.3,96.60089736309614,97.90640394088669,96.42857142857143,7000.0,-1.0,10.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,99.1,98.20010079435552,98.89162561576353,98.19277108433735,8000.0,-1.0,10.0
9000.0,0.390625,-1.010549668636587E-13,9000.0,98.1,96.19744468282686,97.6543209876543,96.21513944223106,9000.0,-1.0,10.0
10000.0,0.40625,-1.0509716553820505E-13,10000.0,99.8,99.5997710690515,99.74937343358395,99.59919839679358,10000.0,-1.0,10.0
11000.0,0.421875,-1.091393642127514E-13,11000.0,100.0,100.0,100.0,100.0,11000.0,-1.0,10.0
12000.0,0.4375,-1.1318156288729775E-13,12000.0,100.0,100.0,100.0,100.0,12000.0,-1.0,10.0
13000.0,0.46875,-1.2126596023639043E-13,13000.0,100.0,100.0,100.0,100.0,13000.0,-1.0,10.0
14000.0,0.484375,-1.2530815891093678E-13,14000.0,100.0,100.0,100.0,100.0,14000.0,-1.0,10.0
15000.0,0.5,-1.2935035758548313E-13,15000.0,100.0,100.0,100.0,100.0,15000.0,-1.0,10.0
16000.0,0.515625,-1.3339255626002948E-13,16000.0,100.0,100.0,100.0,100.0,16000.0,-1.0,10.0
17000.0,0.53125,-1.3743475493457582E-13,17000.0,100.0,100.0,100.0,100.0,17000.0,-1.0,10.0
18000.0,0.5625,-1.4551915228366852E-13,18000.0,100.0,100.0,100.0,100.0,18000.0,-1.0,10.0
19000.0,0.578125,-1.4956135095821487E-13,19000.0,100.0,100.0,100.0,100.0,19000.0,-1.0,10.0
20000.0,0.59375,-1.5360354963276122E-13,20000.0,100.0,100.0,100.0,100.0,20000.0,-1.0,10.0
21000.0,0.625,-1.6168794698185392E-13,21000.0,100.0,100.0,100.0,100.0,21000.0,-1.0,10.0
22000.0,0.640625,-1.6573014565640026E-13,22000.0,100.0,100.0,100.0,100.0,22000.0,-1.0,10.0
23000.0,0.65625,-1.697723443309466E-13,23000.0,100.0,100.0,100.0,100.0,23000.0,-1.0,10.0
24000.0,0.6875,-1.778567416800393E-13,24000.0,100.0,100.0,100.0,100.0,24000.0,-1.0,10.0
25000.0,0.6875,-1.778567416800393E-13,25000.0,100.0,100.0,100.0,100.0,25000.0,-1.0,10.0
26000.0,0.703125,-1.8189894035458566E-13,26000.0,100.0,100.0,100.0,100.0,26000.0,-1.0,10.0
27000.0,0.734375,-1.8998333770367835E-13,27000.0,100.0,100.0,100.0,100.0,27000.0,-1.0,10.0
28000.0,0.75,-1.940255363782247E-13,28000.0,100.0,100.0,100.0,100.0,28000.0,-1.0,10.0
29000.0,0.765625,-1.9806773505277105E-13,29000.0,100.0,100.0,100.0,100.0,29000.0,-1.0,10.0
30000.0,0.796875,-2.0615213240186375E-13,30000.0,100.0,100.0,100.0,100.0,30000.0,-1.0,10.0
