learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.09375,-2.4253192047278088E-14,1000.0,83.39999999999999,66.87274744660724,80.14354066985645,61.484918793503475,1000.0,-1.0
2000.0,0.125,-3.233758939637078E-14,2000.0,84.3,68.63362475426342,80.71253071253071,68.21862348178136,2000.0,-1.0
3000.0,0.15625,-4.042198674546348E-14,3000.0,85.9,71.72422091204427,83.45070422535211,70.19027484143763,3000.0,-1.0
4000.0,0.21875,-5.6590781443648867E-14,4000.0,84.1,68.216527405749,80.70388349514563,68.32669322709162,4000.0,-1.0
5000.0,0.234375,-6.063298011819522E-14,5000.0,86.3,72.59276448982531,83.33333333333334,72.21095334685597,5000.0,-1.0
6000.0,0.25,-6.467517879274156E-14,6000.0,85.3,70.61762942234658,81.57894736842105,70.24291497975707,6000.0,-1.0
7000.0,0.28125,-7.275957614183426E-14,7000.0,87.1,74.1863704035731,84.11330049261085,72.89915966386555,7000.0,-1.0
8000.0,0.296875,-7.680177481638061E-14,8000.0,86.7,73.39553044911545,83.62068965517241,73.29317269076306,8000.0,-1.0
9000.0,0.3125,-8.084397349092696E-14,9000.0,86.3,72.61226970317297,83.08641975308642,72.70916334661355,9000.0,-1.0
10000.0,0.34375,-8.892837084001965E-14,10000.0,86.7,73.37230719948747,83.33333333333334,73.34669338677354,10000.0,-1.0
11000.0,0.359375,-9.2970569514566E-14,11000.0,85.3,70.59482468914528,81.29770992366412,70.36290322580645,11000.0,-1.0
12000.0,0.390625,-1.010549668636587E-13,12000.0,88.6,77.20729366602687,86.36363636363636,76.59137577002053,12000.0,-1.0
13000.0,0.40625,-1.0509716553820505E-13,13000.0,86.4,72.8,82.78481012658227,72.41379310344827,13000.0,-1.0
14000.0,0.421875,-1.091393642127514E-13,14000.0,88.9,77.79911196447858,86.84834123222748,77.8,14000.0,-1.0
15000.0,0.4375,-1.1318156288729775E-13,15000.0,89.2,78.39697557658072,86.95652173913042,78.18181818181819,15000.0,-1.0
16000.0,0.453125,-1.1722376156184408E-13,16000.0,88.6,77.20227977202279,86.26506024096385,77.06237424547284,16000.0,-1.0
17000.0,0.46875,-1.2126596023639043E-13,17000.0,88.8,77.60035839426568,86.53846153846155,77.64471057884231,17000.0,-1.0
18000.0,0.484375,-1.2530815891093678E-13,18000.0,87.1,74.20020639834881,84.28745432399512,74.35387673956262,18000.0,-1.0
19000.0,0.5,-1.2935035758548313E-13,19000.0,87.4,74.79929438024266,84.46362515413071,73.85892116182573,19000.0,-1.0
20000.0,0.515625,-1.3339255626002948E-13,20000.0,86.6,73.19614024419516,83.39529120198267,72.42798353909464,20000.0,-1.0
21000.0,0.53125,-1.3743475493457582E-13,21000.0,88.5,77.00386335095703,85.95848595848597,77.13717693836978,21000.0,-1.0
22000.0,0.546875,-1.4147695360912217E-13,22000.0,86.1,72.19844311281432,82.66832917705736,71.80527383367141,22000.0,-1.0
23000.0,0.5625,-1.4551915228366852E-13,23000.0,89.1,78.19302176696543,86.86746987951808,77.33887733887734,23000.0,-1.0
24000.0,0.578125,-1.4956135095821487E-13,24000.0,86.7,73.40425531914893,83.33333333333334,72.96747967479675,24000.0,-1.0
25000.0,0.59375,-1.5360354963276122E-13,25000.0,87.7,75.39350388502565,84.98168498168498,74.58677685950413,25000.0,-1.0
26000.0,0.609375,-1.5764574830730757E-13,26000.0,76.6,53.08289490568458,71.03960396039605,53.846153846153854,26000.0,-1.0
27000.0,0.625,-1.6168794698185392E-13,27000.0,86.5,72.96301340233438,83.59659781287971,71.99170124481327,27000.0,-1.0
28000.0,0.65625,-1.697723443309466E-13,28000.0,87.6,75.2044631966246,85.22050059594756,75.2,28000.0,-1.0
29000.0,0.671875,-1.7381454300549296E-13,29000.0,85.1,70.19069949824345,81.65024630541872,69.27835051546391,29000.0,-1.0
30000.0,0.6875,-1.778567416800393E-13,30000.0,84.1,68.37910077322049,80.8433734939759,67.21649484536081,30000.0,-1.0
