learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.015625,-4.042198674546348E-15,1000.0,66.0,31.938744870383356,59.33014354066985,21.113689095127626,1000.0,-1.0,1.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,83.89999999999999,67.81905112173592,80.22113022113022,67.4089068825911,2000.0,-1.0,1.0
3000.0,0.046875,-1.2126596023639042E-14,3000.0,84.1,68.09919345130612,81.33802816901408,66.38477801268499,3000.0,-1.0,1.0
4000.0,0.078125,-2.0210993372731736E-14,4000.0,83.39999999999999,66.81805098026673,79.85436893203882,66.93227091633466,4000.0,-1.0,1.0
5000.0,0.09375,-2.4253192047278085E-14,5000.0,82.0,63.95804716690227,78.10218978102188,63.48884381338742,5000.0,-1.0,1.0
6000.0,0.109375,-2.8295390721824433E-14,6000.0,82.89999999999999,65.85490531225788,78.57142857142857,65.38461538461537,6000.0,-1.0,1.0
7000.0,0.125,-3.233758939637078E-14,7000.0,82.39999999999999,64.6740984870077,78.32512315270934,63.0252100840336,7000.0,-1.0,1.0
8000.0,0.15625,-4.042198674546348E-14,8000.0,83.1,66.18241485572497,79.1871921182266,66.06425702811244,8000.0,-1.0,1.0
9000.0,0.171875,-4.446418542000983E-14,9000.0,83.2,66.44791238111975,79.25925925925924,66.53386454183267,9000.0,-1.0,1.0
10000.0,0.1875,-4.8506384094556176E-14,10000.0,83.6,67.09905991582174,79.44862155388469,67.13426853707413,10000.0,-1.0,1.0
11000.0,0.203125,-5.2548582769102524E-14,11000.0,82.3,64.55519776998125,77.48091603053435,64.31451612903226,11000.0,-1.0,1.0
12000.0,0.21875,-5.659078144364887E-14,12000.0,83.89999999999999,67.85246477748315,80.74162679425837,66.94045174537987,12000.0,-1.0,1.0
13000.0,0.234375,-6.063298011819522E-14,13000.0,82.1,64.06113221487828,77.34177215189872,63.69168356997971,13000.0,-1.0,1.0
14000.0,0.25,-6.467517879274156E-14,14000.0,85.3,70.60752447373471,82.58293838862559,70.6,14000.0,-1.0,1.0
15000.0,0.265625,-6.871737746728791E-14,15000.0,84.89999999999999,69.83860658357301,81.76328502415458,69.49494949494948,15000.0,-1.0,1.0
16000.0,0.28125,-7.275957614183426E-14,16000.0,83.3,66.6346999120914,79.87951807228914,66.39839034205231,16000.0,-1.0,1.0
17000.0,0.296875,-7.680177481638061E-14,17000.0,86.6,73.19313744318545,83.89423076923077,73.25349301397206,17000.0,-1.0,1.0
18000.0,0.3125,-8.084397349092696E-14,18000.0,82.6,65.19067109985475,78.80633373934228,65.40755467196819,18000.0,-1.0,1.0
19000.0,0.328125,-8.48861721654733E-14,19000.0,82.89999999999999,65.80902641702589,78.91491985203452,64.52282157676348,19000.0,-1.0,1.0
20000.0,0.34375,-8.892837084001965E-14,20000.0,83.0,65.7832023702177,78.93432465923172,65.02057613168724,20000.0,-1.0,1.0
21000.0,0.359375,-9.2970569514566E-14,21000.0,84.0,68.04448208094331,80.46398046398048,68.19085487077534,21000.0,-1.0,1.0
22000.0,0.359375,-9.2970569514566E-14,22000.0,81.6,63.28122193707518,77.05735660847878,62.677484787018244,22000.0,-1.0,1.0
23000.0,0.375,-9.701276818911235E-14,23000.0,83.3,66.4345896578338,79.87951807228914,65.28066528066527,23000.0,-1.0,1.0
24000.0,0.390625,-1.010549668636587E-13,24000.0,83.39999999999999,66.7340002565089,79.19799498746866,66.260162601626,24000.0,-1.0,1.0
25000.0,0.40625,-1.0509716553820505E-13,25000.0,81.69999999999999,63.32577136123513,77.65567765567765,62.190082644628085,25000.0,-1.0,1.0
26000.0,0.421875,-1.091393642127514E-13,26000.0,65.60000000000001,31.652732301236615,57.42574257425742,32.14990138067062,26000.0,-1.0,1.0
27000.0,0.4375,-1.1318156288729775E-13,27000.0,84.2,68.49979265686305,80.80194410692589,67.21991701244812,27000.0,-1.0,1.0
28000.0,0.4375,-1.1318156288729775E-13,28000.0,85.8,71.4888063447445,83.07508939213349,71.6,28000.0,-1.0,1.0
29000.0,0.453125,-1.1722376156184408E-13,29000.0,82.39999999999999,64.6916740560038,78.32512315270934,63.711340206185554,29000.0,-1.0,1.0
30000.0,0.46875,-1.2126596023639043E-13,30000.0,83.89999999999999,67.96300423445508,80.6024096385542,66.8041237113402,30000.0,-1.0,1.0
31000.0,0.484375,-1.2530815891093678E-13,31000.0,82.89999999999999,65.79124255809486,78.35443037974683,65.59356136820925,31000.0,-1.0,1.0
32000.0,0.5,-1.2935035758548313E-13,32000.0,84.1,68.19999999999999,80.68043742405831,67.01244813278008,32000.0,-1.0,1.0
33000.0,0.515625,-1.3339255626002948E-13,33000.0,83.1,66.11352170739727,79.23832923832923,65.15463917525773,33000.0,-1.0,1.0
34000.0,0.53125,-1.3743475493457582E-13,34000.0,82.19999999999999,64.42049379557373,77.94299876084263,64.61232604373757,34000.0,-1.0,1.0
35000.0,0.546875,-1.4147695360912217E-13,35000.0,81.2,62.40000000000001,76.67493796526055,60.914760914760926,35000.0,-1.0,1.0
36000.0,0.546875,-1.4147695360912217E-13,36000.0,85.8,71.51522932246365,83.25471698113208,70.72164948453607,36000.0,-1.0,1.0
37000.0,0.5625,-1.4551915228366852E-13,37000.0,85.39999999999999,70.7462901887866,82.36714975845409,70.26476578411405,37000.0,-1.0,1.0
38000.0,0.578125,-1.4956135095821487E-13,38000.0,83.7,67.45545590314104,80.02450980392156,66.80244399185335,38000.0,-1.0,1.0
39000.0,0.59375,-1.5360354963276122E-13,39000.0,82.89999999999999,65.815041381792,78.625,65.24390243902438,39000.0,-1.0,1.0
40000.0,0.609375,-1.5764574830730757E-13,40000.0,82.1,64.10523782786555,78.17073170731706,63.5437881873727,40000.0,-1.0,1.0
41000.0,0.609375,-1.5764574830730757E-13,41000.0,82.3,64.63536463536464,78.36185819070904,65.0887573964497,41000.0,-1.0,1.0
42000.0,0.625,-1.6168794698185392E-13,42000.0,86.5,73.02266096478958,84.00473933649289,72.5609756097561,42000.0,-1.0,1.0
43000.0,0.640625,-1.6573014565640026E-13,43000.0,85.8,71.56724546677773,82.59803921568626,71.37096774193547,43000.0,-1.0,1.0
44000.0,0.65625,-1.697723443309466E-13,44000.0,83.89999999999999,67.81776459394415,80.12345679012346,67.14285714285714,44000.0,-1.0,1.0
45000.0,0.671875,-1.7381454300549296E-13,45000.0,83.1,66.16752081998717,78.92768079800499,65.9274193548387,45000.0,-1.0,1.0
46000.0,0.6875,-1.778567416800393E-13,46000.0,83.3,66.59198207569817,78.96725440806046,66.6,46000.0,-1.0,1.0
47000.0,0.703125,-1.8189894035458566E-13,47000.0,83.0,66.06190308876609,79.61630695443644,65.86345381526102,47000.0,-1.0,1.0
48000.0,0.703125,-1.8189894035458566E-13,48000.0,86.0,72.01578309833255,82.96836982968368,71.65991902834008,48000.0,-1.0,1.0
49000.0,0.71875,-1.85941139029132E-13,49000.0,82.6,65.1793861966284,78.46534653465345,65.19999999999999,49000.0,-1.0,1.0
50000.0,0.734375,-1.8998333770367835E-13,50000.0,82.89999999999999,65.78330225149872,78.94088669950739,65.52419354838709,50000.0,-1.0,1.0
51000.0,0.75,-1.940255363782247E-13,51000.0,63.800000000000004,26.850953766569674,55.25339925834364,24.267782426778243,51000.0,-1.0,1.0
52000.0,0.765625,-1.9806773505277105E-13,52000.0,83.89999999999999,67.76002242781047,80.90154211150652,67.47474747474746,52000.0,-1.0,1.0
53000.0,0.78125,-2.021099337273174E-13,53000.0,85.6,71.27136193694862,82.89786223277909,69.74789915966386,53000.0,-1.0,1.0
54000.0,0.796875,-2.0615213240186375E-13,54000.0,82.6,65.30201208447164,78.11320754716981,64.12371134020619,54000.0,-1.0,1.0
55000.0,0.8125,-2.101943310764101E-13,55000.0,83.8,67.65162800170927,80.14705882352939,67.13995943204868,55000.0,-1.0,1.0
56000.0,0.828125,-2.1423652975095645E-13,56000.0,83.0,65.98693898457006,78.69674185463657,64.43514644351464,56000.0,-1.0,1.0
57000.0,0.84375,-2.182787284255028E-13,57000.0,81.89999999999999,63.660164312273615,77.14646464646464,62.75720164609052,57000.0,-1.0,1.0
58000.0,0.859375,-2.2232092710004914E-13,58000.0,82.69999999999999,65.38837049248546,78.79901960784314,65.33066132264528,58000.0,-1.0,1.0
59000.0,0.875,-2.263631257745955E-13,59000.0,83.39999999999999,66.83714240051142,78.93401015228426,65.91375770020534,59000.0,-1.0,1.0
60000.0,0.875,-2.263631257745955E-13,60000.0,84.8,69.5717625956888,81.14143920595532,69.7211155378486,60000.0,-1.0,1.0
61000.0,0.890625,-2.3040532444914184E-13,61000.0,83.8,67.55912449686605,79.99999999999999,66.66666666666666,61000.0,-1.0,1.0
62000.0,0.90625,-2.3444752312368816E-13,62000.0,85.5,71.01669438403479,82.61390887290167,70.58823529411764,62000.0,-1.0,1.0
63000.0,0.921875,-2.384897217982345E-13,63000.0,82.6,65.31653643756977,78.4919653893696,63.674321503131516,63000.0,-1.0,1.0
64000.0,0.9375,-2.425319204727808E-13,64000.0,82.69999999999999,65.28920313641142,77.84891165172854,64.83739837398373,64000.0,-1.0,1.0
65000.0,0.953125,-2.4657411914732713E-13,65000.0,86.0,71.98218066690416,83.25358851674642,71.42857142857143,65000.0,-1.0,1.0
66000.0,0.96875,-2.5061631782187346E-13,66000.0,84.0,67.99167783623741,80.39215686274508,67.21311475409836,66000.0,-1.0,1.0
67000.0,0.984375,-2.546585164964198E-13,67000.0,84.5,69.06311125304379,81.07448107448107,68.17248459958931,67000.0,-1.0,1.0
68000.0,1.0,-2.587007151709661E-13,68000.0,84.5,68.98958049904768,80.69738480697384,69.0,68000.0,-1.0,1.0
69000.0,1.0,-2.587007151709661E-13,69000.0,84.1,68.07716091520169,80.32178217821782,67.21649484536081,69000.0,-1.0,1.0
70000.0,1.03125,-2.667851125200588E-13,70000.0,84.0,68.14677963942152,80.67632850241544,67.0103092783505,70000.0,-1.0,1.0
71000.0,1.046875,-2.708273111946051E-13,71000.0,86.0,71.99361454411606,83.41232227488152,71.6024340770791,71000.0,-1.0,1.0
72000.0,1.046875,-2.708273111946051E-13,72000.0,85.8,71.49784828826515,82.9736211031175,70.47817047817048,72000.0,-1.0,1.0
73000.0,1.0625,-2.7486950986915145E-13,73000.0,84.39999999999999,68.8083593596916,81.42857142857143,68.8622754491018,73000.0,-1.0,1.0
74000.0,1.078125,-2.7891170854369777E-13,74000.0,82.39999999999999,64.9571322191294,77.94486215538845,63.33333333333332,74000.0,-1.0,1.0
75000.0,1.09375,-2.829539072182441E-13,75000.0,84.1,68.12196256435755,80.7738814993954,68.70078740157479,75000.0,-1.0,1.0
76000.0,1.109375,-2.869961058927904E-13,76000.0,75.2,50.36326881892601,70.40572792362768,48.760330578512395,76000.0,-1.0,1.0
77000.0,1.125,-2.9103830456733674E-13,77000.0,83.3,66.63683293643817,79.43349753694581,64.91596638655462,77000.0,-1.0,1.0
78000.0,1.125,-2.9103830456733674E-13,78000.0,83.7,67.4538963476483,80.5023923444976,66.93711967545639,78000.0,-1.0,1.0
79000.0,1.15625,-2.9912270191642944E-13,79000.0,84.1,68.10175340047346,80.32178217821782,67.61710794297352,79000.0,-1.0,1.0
80000.0,1.171875,-3.0316490059097576E-13,80000.0,86.4,72.78170930865542,83.41463414634146,72.58064516129032,80000.0,-1.0,1.0
81000.0,1.171875,-3.0316490059097576E-13,81000.0,85.6,71.170594005886,82.6923076923077,70.79107505070994,81000.0,-1.0,1.0
82000.0,1.1875,-3.072070992655221E-13,82000.0,81.89999999999999,63.92697704081631,77.8998778998779,63.36032388663967,82000.0,-1.0,1.0
83000.0,1.203125,-3.112492979400684E-13,83000.0,80.5,61.011540583987156,75.59449311639551,60.84337349397592,83000.0,-1.0,1.0
84000.0,1.21875,-3.1529149661461473E-13,84000.0,83.8,67.72998362595465,80.09828009828009,66.32016632016631,84000.0,-1.0,1.0
85000.0,1.234375,-3.1933369528916105E-13,85000.0,83.6,67.34576848946303,79.65260545905706,65.97510373443983,85000.0,-1.0,1.0
86000.0,1.25,-3.233758939637074E-13,86000.0,86.4,72.76721172291438,83.7708830548926,73.38551859099805,86000.0,-1.0,1.0
87000.0,1.25,-3.233758939637074E-13,87000.0,85.6,71.20564369383601,82.52427184466018,70.67209775967413,87000.0,-1.0,1.0
88000.0,1.265625,-3.274180926382537E-13,88000.0,85.1,70.07431211086563,82.04819277108435,69.34156378600822,88000.0,-1.0,1.0
89000.0,1.28125,-3.314602913128E-13,89000.0,85.39999999999999,70.70720041090172,82.45192307692307,70.08196721311475,89000.0,-1.0,1.0
90000.0,1.296875,-3.3550248998734635E-13,90000.0,83.89999999999999,67.89400634940893,80.78758949880668,67.34279918864097,90000.0,-1.0,1.0
91000.0,1.3125,-3.3954468866189267E-13,91000.0,84.0,68.03516132254519,80.34398034398032,67.67676767676767,91000.0,-1.0,1.0
92000.0,1.328125,-3.43586887336439E-13,92000.0,84.2,68.38026928803573,81.00961538461539,67.28778467908903,92000.0,-1.0,1.0
93000.0,1.34375,-3.476290860109853E-13,93000.0,83.8,67.59157380919038,80.24390243902437,66.39004149377593,93000.0,-1.0,1.0
94000.0,1.359375,-3.5167128468553164E-13,94000.0,80.5,61.00000000000001,75.44080604534005,61.00000000000001,94000.0,-1.0,1.0
95000.0,1.359375,-3.5167128468553164E-13,95000.0,85.7,71.45822522055008,82.89473684210526,70.63655030800821,95000.0,-1.0,1.0
96000.0,1.375,-3.5571348336007796E-13,96000.0,80.80000000000001,61.62808823940876,75.81863979848868,60.89613034623219,96000.0,-1.0,1.0
97000.0,1.390625,-3.597556820346243E-13,97000.0,88.5,77.00533476233514,86.30952380952381,76.81451612903226,97000.0,-1.0,1.0
98000.0,1.390625,-3.597556820346243E-13,98000.0,84.0,68.0,80.5115712545676,67.3469387755102,98000.0,-1.0,1.0
99000.0,1.40625,-3.637978807091706E-13,99000.0,85.39999999999999,70.76819579702716,82.55675029868577,70.32520325203252,99000.0,-1.0,1.0
100000.0,1.40625,-3.637978807091706E-13,100000.0,82.6,65.20779345426624,78.5185185185185,65.47619047619047,100000.0,-1.0,1.0
