learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.28125,-3.3146029131280053E-13,1000.0,64.9,30.460899610105557,58.01435406698565,18.561484918793518,1000.0,-1.0
2000.0,3.453125,-8.933259070747428E-13,2000.0,77.9,55.79929278868462,72.85012285012284,55.26315789473685,2000.0,-1.0
3000.0,5.453125,-1.4107273374166754E-12,3000.0,78.0,55.96477181745397,74.17840375586854,53.48837209302326,3000.0,-1.0
4000.0,7.46875,-1.932170966433154E-12,4000.0,76.9,53.80849923614055,71.96601941747572,53.98406374501993,4000.0,-1.0
5000.0,9.46875,-2.4495723967750867E-12,5000.0,79.4,58.79851674660289,74.93917274939173,58.21501014198783,5000.0,-1.0
6000.0,11.453125,-2.9629316284424728E-12,6000.0,77.2,54.402188694942645,71.42857142857143,53.846153846153854,6000.0,-1.0
7000.0,13.4375,-3.476290860109859E-12,7000.0,79.0,57.98336141111881,74.13793103448276,55.88235294117647,7000.0,-1.0
8000.0,15.40625,-3.985607893102698E-12,8000.0,78.60000000000001,57.2,73.64532019704434,57.02811244979921,8000.0,-1.0
9000.0,17.34375,-4.486840528746445E-12,9000.0,78.2,56.43293669985492,73.08641975308643,56.573705179282875,9000.0,-1.0
10000.0,19.328125,-5.000199760413832E-12,10000.0,78.10000000000001,56.20455472630847,72.5563909774436,56.1122244488978,10000.0,-1.0
