learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.125,-3.233758939637078E-14,1000.0,85.1,70.23429009780733,82.17703349282296,65.4292343387471,1000.0,-1.0
2000.0,0.265625,-6.871737746728791E-14,2000.0,85.6,71.20460726283794,82.3095823095823,70.85020242914979,2000.0,-1.0
3000.0,0.359375,-9.2970569514566E-14,3000.0,89.4,78.79660745719316,87.55868544600939,77.58985200845666,3000.0,-1.0
4000.0,0.453125,-1.1722376156184408E-13,4000.0,88.2,76.40264290399476,85.67961165048543,76.49402390438247,4000.0,-1.0
5000.0,0.546875,-1.4147695360912217E-13,5000.0,88.4,76.79916476993172,85.88807785888076,76.47058823529413,5000.0,-1.0
6000.0,0.65625,-1.697723443309466E-13,6000.0,87.1,74.20557159653515,83.83458646616542,73.88663967611336,6000.0,-1.0
7000.0,0.75,-1.940255363782247E-13,7000.0,88.2,76.4010383543124,85.46798029556649,75.21008403361344,7000.0,-1.0
8000.0,0.84375,-2.182787284255028E-13,8000.0,88.5,76.99944798675168,85.83743842364532,76.90763052208835,8000.0,-1.0
9000.0,0.9375,-2.4253192047278086E-13,9000.0,88.7,77.40253091653734,86.04938271604938,77.49003984063745,9000.0,-1.0
10000.0,1.03125,-2.6678511252005895E-13,10000.0,88.5,76.99042801805551,85.58897243107769,76.95390781563127,10000.0,-1.0
11000.0,1.140625,-2.9508050324188337E-13,11000.0,87.0,73.99833589349718,83.46055979643766,73.79032258064517,11000.0,-1.0
12000.0,1.234375,-3.1933369528916146E-13,12000.0,89.8,79.60130551644696,87.79904306220095,79.05544147843942,12000.0,-1.0
13000.0,1.34375,-3.4762908601098587E-13,13000.0,87.6,75.20277728894364,84.30379746835443,74.84787018255578,13000.0,-1.0
14000.0,1.453125,-3.759244767328103E-13,14000.0,90.9,81.80000000000001,89.21800947867298,81.80000000000001,14000.0,-1.0
15000.0,1.546875,-4.001776687800884E-13,15000.0,89.7,79.39917596703869,87.56038647342996,79.1919191919192,15000.0,-1.0
16000.0,1.671875,-4.3251525817645916E-13,16000.0,89.7,79.40411917616477,87.59036144578315,79.27565392354126,16000.0,-1.0
17000.0,1.765625,-4.567684502237372E-13,17000.0,90.2,80.4,88.22115384615384,80.43912175648703,17000.0,-1.0
18000.0,1.859375,-4.810216422710152E-13,18000.0,88.4,76.79953599071982,85.87088915956153,76.93836978131213,18000.0,-1.0
19000.0,1.953125,-5.052748343182933E-13,19000.0,88.8,77.60044799104018,86.18988902589398,76.76348547717843,19000.0,-1.0
20000.0,2.03125,-5.254858276910251E-13,20000.0,88.2,76.38639856557377,85.37794299876086,75.7201646090535,20000.0,-1.0
21000.0,2.125,-5.497390197383031E-13,21000.0,89.1,78.2067994785627,86.6910866910867,78.33001988071571,21000.0,-1.0
22000.0,2.21875,-5.739922117855811E-13,22000.0,86.9,73.8044008606554,83.66583541147132,73.42799188640974,22000.0,-1.0
23000.0,2.328125,-6.022876025074055E-13,23000.0,89.7,79.398681515617,87.59036144578315,78.5862785862786,23000.0,-1.0
24000.0,2.4375,-6.3058299322923E-13,24000.0,87.6,75.2,84.46115288220551,74.79674796747967,24000.0,-1.0
25000.0,2.546875,-6.588783839510544E-13,25000.0,87.6,75.19235924664797,84.85958485958487,74.3801652892562,25000.0,-1.0
26000.0,2.71875,-7.033425693710642E-13,26000.0,75.7,51.37082249349611,69.92574257425741,52.071005917159766,26000.0,-1.0
27000.0,2.859375,-7.397223574419813E-13,27000.0,84.7,69.33154801516986,81.40947752126367,68.25726141078837,27000.0,-1.0
28000.0,3.0,-7.761021455128985E-13,28000.0,87.6,75.2044631966246,85.22050059594756,75.2,28000.0,-1.0
29000.0,3.109375,-8.043975362347229E-13,29000.0,85.7,71.37618498590828,82.38916256157636,70.51546391752576,29000.0,-1.0
