learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,-3.233758939637078E-14,1000.0,84.5,69.06014707408796,81.45933014354067,64.03712296983758,1000.0,-1.0,399.0,343.5581788026916,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,-7.275957614183426E-14,2000.0,83.39999999999999,66.83502221653933,79.60687960687959,66.39676113360323,2000.0,-1.0,442.0,343.08405189787914,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,-1.0913936421275138E-13,3000.0,85.2,70.3192684100754,82.62910798122066,68.71035940803381,3000.0,-1.0,399.0,318.37957779285335,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.546875,-1.4147695360912217E-13,4000.0,85.6,71.21289662231321,82.52427184466018,71.31474103585657,4000.0,-1.0,456.0,319.62478001556764,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.6875,-1.778567416800393E-13,5000.0,84.5,68.97542853940321,81.14355231143551,68.55983772819472,5000.0,-1.0,519.0,339.42598604113977,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.828125,-2.1423652975095645E-13,6000.0,83.0,66.05377082701,78.69674185463657,65.58704453441294,6000.0,-1.0,547.0,322.8363878705951,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.953125,-2.4657411914732723E-13,7000.0,84.6,69.11165934572878,81.03448275862067,67.6470588235294,7000.0,-1.0,371.0,298.30819260921714,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.078125,-2.78911708543698E-13,8000.0,84.3,68.58366350502261,80.66502463054186,68.47389558232932,8000.0,-1.0,295.0,325.2776591706777,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.1875,-3.0720709926552244E-13,9000.0,84.7,69.44448882427186,81.11111111111111,69.5219123505976,9000.0,-1.0,277.99999999999994,182.50114154894118,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.3125,-3.395446886618932E-13,10000.0,85.1,70.11920232308161,81.32832080200501,70.14028056112224,10000.0,-1.0,418.0,317.34313710346197,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.4375,-3.71882278058264E-13,11000.0,82.39999999999999,64.75601550735317,77.60814249363868,64.51612903225805,11000.0,-1.0,316.0,320.9084327689477,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.5625,-4.042198674546348E-13,12000.0,85.6,71.25151728103238,82.77511961722487,70.4312114989733,12000.0,-1.0,515.0,318.6516732874455,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.6875,-4.365574568510056E-13,13000.0,82.69999999999999,65.26969188394857,78.10126582278481,64.90872210953346,13000.0,-1.0,387.0,201.82775935050273,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.796875,-4.648528475728301E-13,14000.0,86.2,72.40673275720724,83.64928909952607,72.39999999999999,14000.0,-1.0,431.0,274.6492712938125,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.9375,-5.012326356437472E-13,15000.0,85.8,71.62326891948602,82.85024154589371,71.31313131313131,15000.0,-1.0,424.0,357.90128992968624,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,2.0625,-5.33570225040118E-13,16000.0,86.2,72.42812331421949,83.37349397590361,72.23340040241449,16000.0,-1.0,370.0,377.8300617414601,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,2.1875,-5.659078144364888E-13,17000.0,86.8,73.59239460964757,84.13461538461539,73.65269461077844,17000.0,-1.0,540.0,357.3980040981389,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,2.3125,-5.982454038328596E-13,18000.0,84.0,67.99347066801627,80.5115712545676,68.19085487077534,18000.0,-1.0,436.0,285.58711455526145,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,2.453125,-6.346251919037767E-13,19000.0,84.2,68.40593968333953,80.51787916152898,67.21991701244812,19000.0,-1.0,396.0,234.293263525295,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.5625,-6.629205826256012E-13,20000.0,83.5,66.81122223205594,79.55390334572489,66.04938271604938,20000.0,-1.0,351.0,240.29842557397944,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.6875,-6.952581720219719E-13,21000.0,85.2,70.44256270969802,81.92918192918194,70.57654075546719,21000.0,-1.0,466.0,327.1153381369398,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.8125,-7.275957614183427E-13,22000.0,83.3,66.65601788994489,79.17705735660847,66.12576064908721,22000.0,-1.0,253.0,200.8896878056877,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.9375,-7.599333508147135E-13,23000.0,84.1,68.04251350656033,80.8433734939759,66.94386694386694,23000.0,-1.0,353.0,253.20391431062478,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,3.0625,-7.922709402110843E-13,24000.0,84.5,68.94136129011574,80.57644110275689,68.4959349593496,24000.0,-1.0,416.0,276.1722489880384,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.1875,-8.246085296074551E-13,25000.0,83.2,66.2798212830528,79.48717948717949,65.2892561983471,25000.0,-1.0,372.0,271.73516518846066,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,3.296875,-8.529039203292795E-13,26000.0,84.5,69.02750357682378,80.81683168316832,69.42800788954635,26000.0,-1.0,537.0,292.61464989527326,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,3.421875,-8.852415097256503E-13,27000.0,83.8,67.7393659391429,80.31591737545565,66.39004149377593,27000.0,-1.0,455.0,281.2768505701574,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,3.546875,-9.17579099122021E-13,28000.0,86.0,71.89375840677762,83.3134684147795,72.0,28000.0,-1.0,337.0,290.70985917615906,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,3.671875,-9.499166885183918E-13,29000.0,83.39999999999999,66.67349257782543,79.55665024630541,65.77319587628865,29000.0,-1.0,529.0,352.182086742387,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.796875,-9.822542779147626E-13,30000.0,85.5,71.13577730356403,82.53012048192771,70.10309278350515,30000.0,-1.0,311.0,228.5436987147583,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,3.921875,-1.0145918673111333E-12,31000.0,82.8,65.59160435146175,78.22784810126582,65.3923541247485,31000.0,-1.0,340.0,281.4644244344607,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,4.046875,-1.0469294567075041E-12,32000.0,85.3,70.6,82.13851761846901,69.50207468879668,32000.0,-1.0,467.0,257.42528581663805,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,4.171875,-1.079267046103875E-12,33000.0,84.1,68.10738384267914,80.46683046683046,67.21649484536081,33000.0,-1.0,454.0,272.36413534498666,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,4.28125,-1.1075624368256993E-12,34000.0,82.39999999999999,64.82026352820773,78.19083023543992,65.00994035785287,34000.0,-1.0,435.99999999999994,323.8380939777022,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.40625,-1.1399000262220701E-12,35000.0,82.19999999999999,64.39999999999999,77.91563275434241,62.99376299376298,35000.0,-1.0,550.0,361.1401697709938,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,4.546875,-1.1762798142929873E-12,36000.0,86.6,73.11741670411504,84.19811320754717,72.37113402061856,36000.0,-1.0,430.0,315.3833646003966,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,4.65625,-1.2045752050148117E-12,37000.0,85.3,70.53423240673182,82.2463768115942,70.061099796334,37000.0,-1.0,295.0,295.94481467552924,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,4.765625,-1.2328705957366361E-12,38000.0,82.89999999999999,65.85981360656129,79.04411764705883,65.17311608961303,38000.0,-1.0,576.0,374.14198136833323,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39000.0,4.890625,-1.265208185133007E-12,39000.0,82.6,65.21892090702657,78.24999999999999,64.6341463414634,39000.0,-1.0,360.0,382.2738983155054,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.03125,-1.301587973203924E-12,40000.0,83.5,66.89804598162338,79.8780487804878,66.39511201629327,40000.0,-1.0,220.0,170.68489485989477,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41000.0,5.15625,-1.3339255626002949E-12,41000.0,84.89999999999999,69.83258081272226,81.54034229828851,70.21696252465482,41000.0,-1.0,259.0,217.3808741459203,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42000.0,5.265625,-1.3622209533221193E-12,42000.0,86.2,72.42702151891146,83.64928909952607,71.95121951219512,42000.0,-1.0,477.0,300.63081826201534,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43000.0,5.390625,-1.39455854271849E-12,43000.0,85.7,71.3539371309065,82.47549019607843,71.16935483870968,43000.0,-1.0,456.0,390.95893504163433,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44000.0,5.515625,-1.4268961321148608E-12,44000.0,85.2,70.41467432153652,81.72839506172838,69.79591836734693,44000.0,-1.0,491.00000000000006,372.6317813129262,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.640625,-1.4592337215112316E-12,45000.0,82.8,65.54832248372557,78.55361596009973,65.32258064516128,45000.0,-1.0,375.0,301.9289835559202,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46000.0,5.75,-1.487529112233056E-12,46000.0,83.6,67.1919948467426,79.34508816120906,67.19999999999999,46000.0,-1.0,392.0,252.79767931424266,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47000.0,5.859375,-1.5158245029548805E-12,47000.0,83.1,66.26073068476741,79.73621103117506,66.06425702811244,47000.0,-1.0,602.0,356.86287438049806,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48000.0,6.0,-1.5522042910257976E-12,48000.0,85.8,71.61941232197177,82.7250608272506,71.25506072874494,48000.0,-1.0,436.0,354.09352185859353,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49000.0,6.125,-1.5845418804221684E-12,49000.0,83.0,65.98312763130511,78.96039603960394,65.99999999999999,49000.0,-1.0,534.0,235.47587750954213,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.25,-1.6168794698185392E-12,50000.0,83.6,67.18109631147541,79.80295566502461,66.93548387096774,50000.0,-1.0,285.0,239.31615537239065,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51000.0,6.375,-1.64921705921491E-12,51000.0,83.7,67.35298830315654,79.85166872682323,65.89958158995816,51000.0,-1.0,433.0,386.2655965926957,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
52000.0,6.5,-1.6815546486112808E-12,52000.0,86.2,72.36628686998138,83.62989323843416,72.12121212121212,52000.0,-1.0,382.0,286.5426088152802,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53000.0,6.625,-1.7138922380076516E-12,53000.0,87.5,75.09682355003746,85.1543942992874,73.73949579831933,53000.0,-1.0,340.0,310.5192783422991,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54000.0,6.75,-1.7462298274040224E-12,54000.0,83.1,66.31318768936373,78.74213836477986,65.15463917525773,54000.0,-1.0,314.0,309.2715455532385,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,6.859375,-1.7745252181258468E-12,55000.0,84.5,69.04333932494508,81.00490196078431,68.55983772819472,55000.0,-1.0,159.0,116.75710780171896,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56000.0,6.984375,-1.8068628075222176E-12,56000.0,83.5,66.9719922494275,79.32330827067669,65.48117154811715,56000.0,-1.0,385.0,214.22988690760317,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57000.0,7.109375,-1.839200396918588E-12,57000.0,82.1,64.0729619936094,77.3989898989899,63.168724279835374,57000.0,-1.0,394.0,247.03575989452756,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58000.0,7.234375,-1.8715379863149587E-12,58000.0,84.1,68.19109350618172,80.51470588235294,68.13627254509016,58000.0,-1.0,570.0000000000001,268.57649437978256,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59000.0,7.34375,-1.899833377036783E-12,59000.0,84.0,68.03171254115917,79.69543147208121,67.14579055441477,59000.0,-1.0,443.0,351.3798198214829,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,7.484375,-1.9362131651077003E-12,60000.0,84.39999999999999,68.77201972967778,80.64516129032256,68.92430278884461,60000.0,-1.0,414.0,260.1367161919115,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61000.0,7.609375,-1.968550754504071E-12,61000.0,84.7,69.35709993991588,81.11111111111111,68.5185185185185,61000.0,-1.0,481.00000000000006,373.2276636168451,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62000.0,7.734375,-2.0008883439004415E-12,62000.0,86.1,72.2153371339021,83.33333333333333,71.80527383367141,62000.0,-1.0,564.0,371.5493088257451,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63000.0,7.859375,-2.033225933296812E-12,63000.0,84.6,69.33736858872251,80.96415327564895,67.84968684759916,63000.0,-1.0,366.0,379.2448637314244,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64000.0,7.96875,-2.0615213240186365E-12,64000.0,83.2,66.27535370730219,78.48911651728552,65.85365853658536,64000.0,-1.0,423.0,221.06057490601478,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,8.09375,-2.093858913415007E-12,65000.0,86.6,73.18358835607391,83.97129186602871,72.65306122448979,65000.0,-1.0,420.0,269.36138467782564,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
