learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,16.400000000000002,-67.25419035767588,0.0,-93.96751740139207,1000.0,-1.0
2000.0,0.015625,-4.042198674546348E-15,2000.0,18.6,-62.81041986687149,0.0,-64.77732793522267,2000.0,-1.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,14.799999999999999,-70.46818727490995,0.0,-80.12684989429177,3000.0,-1.0
4000.0,0.015625,-4.042198674546348E-15,4000.0,17.599999999999998,-64.80263684218947,0.0,-64.14342629482071,4000.0,-1.0
5000.0,0.03125,-8.084397349092695E-15,5000.0,17.8,-64.40591861307006,0.0,-66.7342799188641,5000.0,-1.0
6000.0,0.03125,-8.084397349092695E-15,6000.0,20.200000000000003,-59.62298570994221,0.0,-61.53846153846154,6000.0,-1.0
7000.0,0.03125,-8.084397349092695E-15,7000.0,18.8,-62.478639661596205,0.0,-70.58823529411765,7000.0,-1.0
8000.0,0.046875,-1.2126596023639042E-14,8000.0,18.8,-62.402598441575066,0.0,-63.05220883534136,8000.0,-1.0
9000.0,0.046875,-1.2126596023639042E-14,9000.0,19.0,-62.031758224612034,0.0,-61.354581673306775,9000.0,-1.0
10000.0,0.046875,-1.2126596023639042E-14,10000.0,20.200000000000003,-59.70796258270589,0.0,-59.91983967935871,10000.0,-1.0
11000.0,0.0625,-1.616879469818539E-14,11000.0,21.4,-57.210061443932425,0.0,-58.46774193548387,11000.0,-1.0
12000.0,0.0625,-1.616879469818539E-14,12000.0,16.400000000000002,-67.24281416042507,0.0,-71.66324435318275,12000.0,-1.0
13000.0,0.0625,-1.616879469818539E-14,13000.0,21.0,-58.123969191846406,0.0,-60.243407707910755,13000.0,-1.0
14000.0,0.078125,-2.021099337273174E-14,14000.0,15.6,-68.80067520270079,0.0,-68.8,14000.0,-1.0
15000.0,0.078125,-2.021099337273174E-14,15000.0,17.2,-65.61656165616562,0.0,-67.27272727272727,15000.0,-1.0
16000.0,0.078125,-2.021099337273174E-14,16000.0,17.0,-66.016601660166,0.0,-67.0020120724346,16000.0,-1.0
17000.0,0.09375,-2.4253192047278088E-14,17000.0,16.8,-66.40266244259908,0.0,-66.06786427145708,17000.0,-1.0
18000.0,0.09375,-2.4253192047278088E-14,18000.0,17.9,-64.20131361050889,0.0,-63.22067594433399,18000.0,-1.0
