learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.109375,-2.8295390721824433E-14,1000.0,77.4,54.82764548096566,72.96650717703349,47.56380510440836,1000.0,-1.0,10.0
2000.0,0.203125,-5.254858276910252E-14,2000.0,78.4,56.831771815943476,73.46437346437347,56.275303643724705,2000.0,-1.0,10.0
3000.0,0.296875,-7.680177481638061E-14,3000.0,79.2,58.289885297184576,75.5868544600939,56.02536997885835,3000.0,-1.0,10.0
4000.0,0.390625,-1.010549668636587E-13,4000.0,81.6,63.21353741823008,77.66990291262134,63.34661354581672,4000.0,-1.0,10.0
5000.0,0.484375,-1.2530815891093678E-13,5000.0,81.69999999999999,63.37538826091132,77.73722627737226,62.880324543610534,5000.0,-1.0,10.0
6000.0,0.5625,-1.4551915228366852E-13,6000.0,75.5,51.04112545461812,69.29824561403508,50.40485829959515,6000.0,-1.0,10.0
7000.0,0.65625,-1.697723443309466E-13,7000.0,80.0,59.90650196257674,75.36945812807883,57.98319327731093,7000.0,-1.0,10.0
8000.0,0.75,-1.940255363782247E-13,8000.0,79.3,58.588404753330934,74.50738916256157,58.43373493975904,8000.0,-1.0,10.0
9000.0,0.84375,-2.182787284255028E-13,9000.0,79.9,59.8562013181546,75.18518518518518,59.96015936254982,9000.0,-1.0,10.0
10000.0,0.9375,-2.4253192047278086E-13,10000.0,80.30000000000001,60.46843896487511,75.31328320802004,60.52104208416834,10000.0,-1.0,10.0
11000.0,1.03125,-2.6678511252005895E-13,11000.0,76.1,52.15330162238344,69.59287531806616,51.81451612903226,11000.0,-1.0,10.0
12000.0,1.125,-2.9103830456733704E-13,12000.0,79.3,58.643672282070135,75.23923444976077,57.494866529774136,12000.0,-1.0,10.0
13000.0,1.234375,-3.1933369528916146E-13,13000.0,77.3,54.40338740649682,71.26582278481013,53.9553752535497,13000.0,-1.0,10.0
14000.0,1.328125,-3.4358688733643955E-13,14000.0,80.0,60.00815833569953,76.30331753554502,60.00000000000001,14000.0,-1.0,10.0
15000.0,1.421875,-3.6784007938371764E-13,15000.0,80.4,60.81018935076881,76.32850241545894,60.404040404040416,15000.0,-1.0,10.0
16000.0,1.515625,-3.9209327143099573E-13,16000.0,82.69999999999999,65.42627603021702,79.15662650602408,65.19114688128772,16000.0,-1.0,10.0
17000.0,1.59375,-4.1230426480372745E-13,17000.0,81.0,61.985402394519504,77.16346153846155,62.07584830339322,17000.0,-1.0,10.0
18000.0,1.703125,-4.4059965552555186E-13,18000.0,80.30000000000001,60.5908570788423,76.00487210718637,60.83499005964216,18000.0,-1.0,10.0
19000.0,1.796875,-4.6485284757283E-13,19000.0,80.4,60.806114246177614,75.83230579531444,59.33609958506225,19000.0,-1.0,10.0
20000.0,1.875,-4.850638409455617E-13,20000.0,77.7,55.144863986354395,72.36679058240398,54.11522633744856,20000.0,-1.0,10.0
21000.0,1.96875,-5.093170329928398E-13,21000.0,79.10000000000001,58.243093127892024,74.4810744810745,58.4493041749503,21000.0,-1.0,10.0
22000.0,2.0625,-5.335702250401178E-13,22000.0,80.0,60.04139711259137,75.06234413965089,59.432048681541595,22000.0,-1.0,10.0
23000.0,2.15625,-5.578234170873958E-13,23000.0,79.2,58.13204508856684,74.93975903614458,56.756756756756765,23000.0,-1.0,10.0
24000.0,2.25,-5.820766091346739E-13,24000.0,79.2,58.295906582830746,73.93483709273183,57.72357723577236,24000.0,-1.0,10.0
25000.0,2.34375,-6.063298011819519E-13,25000.0,78.2,56.286519805414855,73.38217338217339,54.95867768595042,25000.0,-1.0,10.0
26000.0,2.421875,-6.265407945546837E-13,26000.0,78.9,57.827327891526295,73.88613861386138,58.38264299802762,26000.0,-1.0,10.0
27000.0,2.515625,-6.507939866019617E-13,27000.0,80.80000000000001,61.67175048309566,76.67071688942893,60.165975103734446,27000.0,-1.0,10.0
28000.0,2.609375,-6.750471786492398E-13,28000.0,83.8,67.50446312157743,80.69129916567341,67.6,28000.0,-1.0,10.0
29000.0,2.703125,-6.993003706965178E-13,29000.0,79.60000000000001,59.074440383095336,74.8768472906404,57.938144329896915,29000.0,-1.0,10.0
30000.0,2.796875,-7.235535627437959E-13,30000.0,81.2,62.47205365697861,77.34939759036145,61.23711340206187,30000.0,-1.0,10.0
31000.0,2.875,-7.437645561165276E-13,31000.0,79.2,58.38918118710866,73.67088607594937,58.14889336016097,31000.0,-1.0,10.0
32000.0,2.96875,-7.680177481638057E-13,32000.0,80.10000000000001,60.20000000000001,75.82017010935603,58.7136929460581,32000.0,-1.0,10.0
